model,batch,threads,prompt_tokens,output_tokens,affinity,measured_runs,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
H128-Q4,1,8,512,2,65535,3,2162.97053586,2113.65084057,2193.44468492,110.325349456,106.381847002,110.406960055
Q4_0-pure,1,8,512,2,65535,3,887.313599155,842.06316,1090.6045272,84.2467080599,81.3689512356,84.3497477943
Q4_0,1,8,512,2,65535,3,907.88254837,735.568244427,910.948876019,76.250895948,75.9226500042,76.7807372486
Q4_K_M,1,8,512,2,65535,3,681.309679468,671.939466653,685.254003048,72.1865299935,71.1353919916,72.564201177
IQ4_XS,1,8,512,2,65535,3,821.91903969,792.397441794,870.487893163,77.437740057,74.0433597915,78.3674492963
H128-Q4,1,12,512,2,65535,3,1710.1696642,1686.49395036,1720.82966845,98.176855788,93.8905424057,101.435309631
Q4_0-pure,1,12,512,2,65535,3,1015.56129498,1012.23559546,1017.69294971,81.600013056,74.6502635154,83.2099053071
Q4_0,1,12,512,2,65535,3,860.391700043,858.465094591,862.619576848,74.3345202078,73.3084084745,75.6075063132
Q4_K_M,1,12,512,2,65535,3,673.025442596,668.243215994,676.584443156,70.3254662578,68.914188053,72.2851504615
IQ4_XS,1,12,512,2,65535,3,819.147312445,818.343685168,820.142836205,73.208585903,73.1042246931,75.6515489655
H128-Q4,1,8,1024,2,65535,3,1706.13747969,1289.53417089,1798.17709797,105.687018464,98.4232593847,106.689427078
Q4_0-pure,1,8,1024,2,65535,3,1004.16227223,846.462596438,1065.79659917,82.0896747607,80.9736268897,84.278658958
Q4_0,1,8,1024,2,65535,3,915.973395266,912.197027431,924.914885701,75.633811339,75.1224495928,75.6985079824
Q4_K_M,1,8,1024,2,65535,3,685.006191145,656.705310739,690.079826197,72.2841054481,69.4796667755,73.4182047781
IQ4_XS,1,8,1024,2,65535,3,869.234456556,859.975136305,876.718558873,76.3609429049,75.7667596072,77.22365515
H128-Q4,1,12,1024,2,65535,3,1686.7145206,1686.54561529,1704.08894812,98.6193293886,98.5309042181,104.187287067
Q4_0-pure,1,12,1024,2,65535,3,986.375685839,978.477508108,987.03456838,81.2017864393,75.6864763404,82.7034090345
Q4_0,1,12,1024,2,65535,3,863.776389887,860.126830069,867.954165917,74.0444562916,73.3148579891,75.3012048193
Q4_K_M,1,12,1024,2,65535,3,679.737947745,679.425670334,680.35952217,71.8019415245,71.2118838392,72.1547575239
IQ4_XS,1,12,1024,2,65535,3,836.646283763,832.827117046,838.951124297,75.4352614586,73.9694210413,75.4631551145
H128-Q4,1,8,2048,2,65535,3,2103.25049765,1210.33157471,2105.43543653,98.0382545269,90.5124816712,98.6679822398
Q4_0-pure,1,8,2048,2,65535,3,962.923269544,952.347825699,985.883524697,79.5646223863,79.3972163336,79.8977309044
Q4_0,1,8,2048,2,65535,3,879.623558913,857.965560894,904.379288902,73.5461759666,73.2761779146,73.6095162383
Q4_K_M,1,8,2048,2,65535,3,665.769806254,615.981180572,666.175362337,70.0446885113,69.5381277554,70.2987697715
IQ4_XS,1,8,2048,2,65535,3,828.625616386,758.239626751,844.87026786,73.5056305313,72.0450713967,74.2914453401
H128-Q4,1,12,2048,2,65535,3,1533.52240287,1524.91508725,1617.99961367,95.0597450498,91.1336109871,96.2454644325
Q4_0-pure,1,12,2048,2,65535,3,952.397472296,948.306374823,953.265151912,79.2455820588,78.4332180365,79.7702616465
Q4_0,1,12,2048,2,65535,3,835.26716579,833.541379509,836.449324894,70.177900979,69.8109519421,70.2992639667
Q4_K_M,1,12,2048,2,65535,3,665.290390485,664.766283366,671.186733522,69.2746253975,67.5406425817,69.4661526171
IQ4_XS,1,12,2048,2,65535,3,818.610076834,818.156980755,821.375264541,72.7024217177,72.1266544051,72.8793918944
H128-Q4,1,8,4096,2,65535,3,1590.1790912,1209.85087997,1864.30635287,83.7051235906,79.723201046,85.0962438518
Q4_0-pure,1,8,4096,2,65535,3,996.025987621,991.619867947,998.512421265,73.2418298739,72.1688172974,73.8198058539
Q4_0,1,8,4096,2,65535,3,851.037199509,813.762019033,867.013744517,67.9657180918,67.3500451245,67.9860492627
Q4_K_M,1,8,4096,2,65535,3,656.419313734,655.673779244,669.37024043,65.169930594,61.8280068505,65.3804159502
IQ4_XS,1,8,4096,2,65535,3,837.284011745,837.19315624,838.193618265,68.8245455859,64.4325745324,68.9464975179
H128-Q4,1,12,4096,2,65535,3,1381.10541911,1350.90089358,1424.66220358,79.0538831267,76.3691071688,79.2732230907
Q4_0-pure,1,12,4096,2,65535,3,886.885966255,872.765976923,894.02959788,72.7595515101,70.5905606302,73.0476197433
Q4_0,1,12,4096,2,65535,3,787.154681045,786.76039001,796.364518204,63.6217306383,62.2358864568,65.3517886785
Q4_K_M,1,12,4096,2,65535,3,635.100221637,631.997294755,641.04311738,62.5257918892,59.6391829432,63.2135226368
IQ4_XS,1,12,4096,2,65535,3,771.144118439,767.780064602,771.861691581,65.6482435812,61.5729423862,67.0434508605
H128-Q4,1,8,512,128,65535,3,1579.83342631,1284.13491442,2161.3972758,120.757363561,118.545213144,124.430253952
Q4_0-pure,1,8,512,128,65535,3,1070.93590804,852.576529567,1081.82597857,103.291342014,102.236722126,105.844976281
Q4_0,1,8,512,128,65535,3,903.711004517,728.643695225,912.190770447,90.4307465678,90.4249710195,92.7378589165
Q4_K_M,1,8,512,128,65535,3,681.574058013,595.512949499,690.061922275,85.3331412554,85.1907030782,87.5581279107
IQ4_XS,1,8,512,128,65535,3,724.453020283,712.580015638,860.722347782,86.5823413747,81.5942514473,90.4539012376
H128-Q4,1,12,512,128,65535,3,1672.91067507,1672.01308089,1682.36545841,119.252902165,116.540790378,123.078938858
Q4_0-pure,1,12,512,128,65535,3,1006.31422869,989.088346453,1006.93407846,100.360023805,96.7676776451,103.218893381
Q4_0,1,12,512,128,65535,3,863.006776289,842.557999504,867.139201077,86.4925650787,85.8411046006,89.7520412582
Q4_K_M,1,12,512,128,65535,3,675.20466482,675.10495113,675.396162061,83.0362879039,82.7497898514,83.6214267066
IQ4_XS,1,12,512,128,65535,3,831.788621717,829.197333742,835.155750838,88.250097162,87.6433382644,91.0565804081
H128-Q4,1,8,512,256,65535,3,1794.59651196,1264.57502993,2215.17768797,121.730282833,120.954699714,125.428831337
Q4_0-pure,1,8,512,256,65535,3,945.748399155,850.833584263,957.452637417,103.07947298,102.53450829,106.115489774
Q4_0,1,8,512,256,65535,3,899.224032886,737.804679469,911.584331788,90.6681366994,89.397191582,93.0073873032
Q4_K_M,1,8,512,256,65535,3,689.905430405,592.649319559,697.884741336,85.4829931585,85.4257247946,87.975650272
IQ4_XS,1,8,512,256,65535,3,718.94037176,716.734189467,879.374544855,91.0706902483,87.280257832,92.9465183546
H128-Q4,1,12,512,256,65535,3,1676.80225949,1631.98538353,1679.49523296,119.635385126,117.3575714,123.041279336
Q4_0-pure,1,12,512,256,65535,3,1012.07432342,1005.57386451,1015.04345952,99.4465700878,98.3099668533,103.25620257
Q4_0,1,12,512,256,65535,3,853.183030923,851.668746768,858.605169071,87.9397496152,85.8637290092,88.0054415663
Q4_K_M,1,12,512,256,65535,3,675.99486772,669.741460175,683.147511428,84.2053012422,83.7505836677,84.4393648372
IQ4_XS,1,12,512,256,65535,3,830.130628837,829.616532443,834.740871652,87.8803608485,86.0108627335,90.1465029149
H128-Q4,1,8,512,512,65535,3,2124.29005355,2081.18829348,2186.02659353,120.423123021,120.274209192,123.33758852
Q4_0-pure,1,8,512,512,65535,3,1074.97916703,992.675913029,1113.08146822,102.281225613,101.364390483,105.494008209
Q4_0,1,8,512,512,65535,3,734.415439019,734.212600723,922.499252271,89.6575348859,89.1628131813,92.3495900781
Q4_K_M,1,8,512,512,65535,3,686.101013902,582.404623565,698.463775309,85.1353297707,84.9690470731,87.3393016671
IQ4_XS,1,8,512,512,65535,3,820.021464702,764.099729342,865.227032532,89.3499525178,86.800483229,89.9766203412
H128-Q4,1,12,512,512,65535,3,1641.50125549,1636.98355087,1691.1179644,118.128971176,114.353793316,120.690533129
Q4_0-pure,1,12,512,512,65535,3,1012.33306391,994.809890276,1016.91151658,100.307592939,92.1966721368,102.296400036
Q4_0,1,12,512,512,65535,3,871.240817088,847.79047918,873.481792255,88.6320175376,85.770822042,89.6167130014
Q4_K_M,1,12,512,512,65535,3,670.898305314,668.088268031,684.382550598,81.8956939581,81.3969837782,84.9053576926
IQ4_XS,1,12,512,512,65535,3,825.953391386,815.105691507,840.399031965,86.8391496105,86.3798018802,89.2145851705
H128-Q4,1,8,512,1024,65535,3,2160.70405191,1436.18392467,2190.35559054,117.929467043,117.905190581,122.126482064
Q4_0-pure,1,8,512,1024,65535,3,989.414425121,863.571258459,1080.61310442,101.601198135,101.145143964,102.89693703
Q4_0,1,8,512,1024,65535,3,917.983054965,728.429419386,923.587227222,91.50571582,88.9168903213,91.6931779908
Q4_K_M,1,8,512,1024,65535,3,627.467282238,599.828299149,690.615000751,86.3388370614,84.1163271082,86.3639925873
IQ4_XS,1,8,512,1024,65535,3,849.643332341,721.604442377,879.222629817,91.3530441353,88.5335737616,91.8101916636
H128-Q4,1,12,512,1024,65535,3,1668.6672205,1652.45512229,1672.232064,118.397954157,114.285015904,119.837715134
Q4_0-pure,1,12,512,1024,65535,3,1008.21518148,1007.68735555,1017.1690992,99.2854793822,93.3161474727,101.00940286
Q4_0,1,12,512,1024,65535,3,862.249278287,852.047735309,877.437416605,87.91607777,86.7197832545,88.0605159441
Q4_K_M,1,12,512,1024,65535,3,681.567616167,674.376067131,682.853495383,83.5947480566,82.4423388974,83.7062495847
IQ4_XS,1,12,512,1024,65535,3,827.87172451,823.625040839,842.965975786,87.9494954278,87.5796170846,90.0890634748
H128-Q4,4,8,512,128,65535,3,2114.2871301,2109.19556743,2214.47947352,324.678561832,324.447661387,325.472426751
Q4_0-pure,4,8,512,128,65535,3,1040.98042057,900.538669869,1050.26895962,245.117895676,243.897907217,245.411623893
Q4_0,4,8,512,128,65535,3,802.721099101,751.905040268,887.993033417,208.987791493,207.379670906,209.028861784
Q4_K_M,4,8,512,128,65535,3,675.358588865,603.696503256,704.888487708,193.141720018,181.591231774,194.668586886
IQ4_XS,4,8,512,128,65535,3,881.716371131,846.946159451,891.828905063,169.242004706,169.217120655,169.973225871
H128-Q4,16,8,512,128,65535,3,2115.07773388,1684.96065251,2184.46057623,620.741149047,614.916909806,624.047172561
Q4_0-pure,16,8,512,128,65535,3,1045.61569967,1003.55386944,1102.80026187,360.892335426,360.353535192,361.020258886
Q4_0,16,8,512,128,65535,3,948.991520427,930.838093349,950.772213431,299.550247122,299.21786776,300.48589249
Q4_K_M,16,8,512,128,65535,3,699.230397594,665.138288437,715.559618546,269.346776671,267.167423266,269.955887853
IQ4_XS,16,8,512,128,65535,3,907.179341117,902.724364168,911.791841484,270.918869878,270.287094909,271.356928735
H128-Q4,4,16,512,128,1431655765,3,2478.56609142,2452.71605369,2506.42424192,313.875910271,308.937432203,318.099637698
Q4_0-pure,4,16,512,128,1431655765,3,1354.95258989,1353.03550344,1360.92176933,199.355086296,194.145541205,211.10674122
Q4_0,4,16,512,128,1431655765,3,1216.53410029,1207.71337282,1222.94196125,189.509231524,186.649971047,196.516497502
Q4_K_M,4,16,512,128,1431655765,3,966.073143341,957.46136599,968.613700019,180.031252433,178.763413238,181.488378331
IQ4_XS,4,16,512,128,1431655765,3,1187.5120353,1172.83727204,1192.14106615,173.004417879,171.360349192,175.832026419
H128-Q4,16,16,512,128,1431655765,3,2611.71131268,2547.18677493,2612.84045228,660.587398736,657.739876309,662.523611777
Q4_0-pure,16,16,512,128,1431655765,3,1396.7467259,1395.27424429,1398.85216257,301.636068394,295.411534873,302.305349052
Q4_0,16,16,512,128,1431655765,3,1267.64119162,1256.51433353,1273.40750963,315.917004063,294.479122227,322.39767404
Q4_K_M,16,16,512,128,1431655765,3,997.040522784,986.758334332,1004.67444654,268.738748218,256.358161823,280.085898155
IQ4_XS,16,16,512,128,1431655765,3,1222.30748765,1180.95855979,1226.35824715,268.29783653,253.836757581,276.22011263
H128-Q4,1,8,512,2,21845,3,2200.98898345,2198.86217472,2201.97343267,104.128703077,103.778578026,104.675871165
Q4_0-pure,1,8,512,2,21845,3,1114.81555028,1112.01872883,1115.8763487,83.6421121306,82.6432620948,83.8159736483
Q4_0,1,8,512,2,21845,3,929.980294226,927.070513309,932.974016856,72.5105321548,72.3625653977,73.0092210646
Q4_K_M,1,8,512,2,21845,3,698.465395132,697.226712662,699.882373285,69.4232317903,69.3284156377,69.8299640376
IQ4_XS,1,8,512,2,21845,3,872.430547201,871.13364262,877.08524018,72.0866192817,71.1981944138,73.4187438053
H128-Q4,1,8,1024,2,21845,3,2177.85504248,2173.83458902,2179.14532388,101.839216245,101.216623818,102.258899081
Q4_0-pure,1,8,1024,2,21845,3,1100.78610533,1100.0285857,1103.73991059,82.5791107881,81.9920795651,83.0557885732
Q4_0,1,8,1024,2,21845,3,938.352443712,935.654731708,941.45310897,71.610667125,71.1708313465,71.6994930846
Q4_K_M,1,8,1024,2,21845,3,707.405778593,705.895864229,708.628647171,69.0474217693,68.9969227372,69.4270876725
IQ4_XS,1,8,1024,2,21845,3,892.789339816,887.744299819,893.649511883,72.481100553,71.8917597665,72.9825790584
H128-Q4,1,8,2048,2,21845,3,2096.50795276,2095.1608128,2096.56225213,94.8235807281,93.7804786556,95.5721426319
Q4_0-pure,1,8,2048,2,21845,3,1067.40673534,1065.65490504,1076.578478,80.2478052225,79.6317826371,80.5886192752
Q4_0,1,8,2048,2,21845,3,923.052986937,921.788040151,925.71733149,68.9897826132,68.528823223,69.1672949363
Q4_K_M,1,8,2048,2,21845,3,701.362441062,699.299266624,703.159645119,66.5982924198,66.1760813172,66.639122496
IQ4_XS,1,8,2048,2,21845,3,882.367868643,882.293096991,882.446949556,69.5608622764,68.836389669,69.8304516634
H128-Q4,1,8,4096,2,21845,3,1929.51831384,1924.62011072,1934.19103876,81.4557776583,81.001174517,82.0398385456
Q4_0-pure,1,8,4096,2,21845,3,1014.76731715,1012.40845471,1019.36317177,72.3363931628,72.0341730117,72.6221686432
Q4_0,1,8,4096,2,21845,3,883.895149837,882.005589409,884.070875289,64.2566152185,63.7852732561,64.5673663617
Q4_K_M,1,8,4096,2,21845,3,682.21479033,680.638251238,682.395255327,61.9828307559,61.8199802176,62.0952168054
IQ4_XS,1,8,4096,2,21845,3,844.783246892,843.903398526,845.410899728,64.7370703886,64.2450563429,64.7613866708
H128-Q4,1,8,512,128,21845,3,2192.30168126,2191.24332944,2193.33850539,125.651458289,125.603080223,125.794423979
Q4_0-pure,1,8,512,128,21845,3,1111.04866285,1096.55345966,1112.35140224,105.966489057,105.689454756,105.997134238
Q4_0,1,8,512,128,21845,3,926.350771404,924.199903717,928.707547454,92.8058172732,92.3164576184,92.8692978708
Q4_K_M,1,8,512,128,21845,3,698.188609653,695.001837275,698.336975961,86.6518844465,85.9847731123,87.6282019569
IQ4_XS,1,8,512,128,21845,3,874.197514001,871.449163792,876.831691985,89.1859569337,87.0915329955,92.4172383619
