position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,13,0.00032656501940918857,0.0013831952076266418,0.001520381571893381,0.00013718636426673925,13,13,True,7.358606338500977,True,True,0.8,0.8,0.56922277951072,0.9681685361445013
1,561,0.001371102582496037,0.008797680063647562,0.013609921381789292,0.00481224131814173,561,561,True,5.070096969604492,True,True,1.0,0.8,0.5088055244725271,0.9776123112818467
2,6463,0.00030943915927534194,0.00032771825696187307,0.0008287028941325048,0.0005009846371706317,6463,6463,True,9.033266067504883,True,True,1.0,0.9,0.6298833134517454,0.9775188465848721
3,1881,0.0016776383948107181,0.0040586857610840354,0.0015562237297039871,-0.0025024620313800483,1881,1881,True,5.552574157714844,True,True,0.6,0.8,0.5668863989548261,0.9785362249114883
4,23173,0.001351737374930485,0.0003987879362234992,0.002306337705753947,0.0019075497695304477,23173,23173,True,9.024517059326172,True,True,0.8,0.9,0.6579215098273775,0.9748561664906562
5,30308,4.605000091708082e-05,8.024832994379949e-05,0.0001651422250930068,8.489389514920731e-05,30308,30308,True,10.68648910522461,True,True,0.8,0.9,0.6453705246957036,0.9788920428405399
6,369,0.00016284780539815941,0.0002469618894771486,0.000607274600572083,0.00036031271109493446,369,369,True,9.624122619628906,True,True,0.8,0.8,0.6382444523782107,0.9683985372465718
7,318,0.002616115717897118,0.002721213052012672,0.007369567801685406,0.004648354749672734,318,318,True,6.6432037353515625,True,True,0.8,0.8,0.5494899674926921,0.9705483133482169
8,18,0.007211508926402738,0.04117849421092501,0.027234758912850765,-0.013943735298074245,18,18,True,3.4459095001220703,True,True,0.8,0.9,0.6121121830944275,0.9628382854973181
9,10,0.0058438376654167574,0.0023157156935980083,0.011424238683503063,0.009108522989905055,10,10,True,7.0112152099609375,True,True,1.0,0.7,0.6314908251211102,0.9531549721403779
10,16,0.17922822689172085,0.1400392604249241,0.5126410627446347,0.37260180231971063,16,16,True,1.9172096252441406,True,True,0.8,0.8,0.641969609097842,0.9548484954080756
11,28803,0.0018684684575311441,0.00019148138988711594,0.0025167920224191676,0.0023253106325320516,28803,28803,True,9.749652862548828,True,True,0.8,0.9,0.7465794148658341,0.9520078510204922
12,17,0.00010855580396894782,8.599197787972912e-05,0.00029090205135062774,0.00020491007347089862,17,17,True,9.792850494384766,True,True,1.0,0.8,0.6286424696543134,0.9666861773823775
13,471,0.0003652672798309943,0.0002994563000235928,0.0010211685064867027,0.0007217122064631099,471,471,True,8.416116714477539,True,True,1.0,0.9,0.5783628574200548,0.9615687899869418
14,220,6.772499071819e-05,0.00020402682699582897,0.00034692223709598125,0.00014289541010015228,220,220,True,9.440650939941406,True,True,1.0,0.9,0.550273821364726,0.9696603552227486
15,18,0.0008402709928118699,0.002782313494851252,0.005352680689881595,0.002570367195030343,18,18,True,6.283262252807617,True,True,1.0,0.9,0.5936021270677818,0.9602700607682286
16,61,8.56765208368154e-05,0.0001637943117316354,0.00036883464722592407,0.00020504033549428868,61,61,True,9.075214385986328,True,True,1.0,0.7,0.6328012592056447,0.9629895566193705
17,17,0.00014880096491808585,3.0468602577826687e-05,0.00023898708150937864,0.00020851847893155195,17,17,True,11.37841796875,True,True,1.0,1.0,0.6297856198779568,0.9597434551976437
18,283,8.423297072352037e-05,0.00020829371873176683,0.0004188957819657446,0.0002106020632339778,283,283,True,10.268160820007324,True,True,0.8,1.0,0.5706327559900829,0.9605290668814528
19,220,0.0004828644845149388,0.004064635663791449,0.002693178706973498,-0.0013714569568179513,220,220,True,5.811285018920898,True,True,0.8,0.9,0.6552979664172869,0.958144187169636
20,17,0.11570448809068802,0.2960788380434458,0.39567371591972744,0.09959487787628163,17,17,True,1.8142719268798828,True,True,1.0,0.9,0.7162563322701833,0.9313859939697501
21,9,0.0026079944750052606,0.0027663347593964716,0.006783058452835888,0.004016723693439417,9,9,True,7.380006790161133,True,True,1.0,0.8,0.6421589514837266,0.9562675518993176
22,18,0.006561672426579397,0.0094976538206204,0.02339958778428297,0.013901933963662572,18,18,True,5.183917999267578,True,True,1.0,0.8,0.672162432967191,0.9549415023663784
23,10,0.010497891882613021,0.003685029511839133,0.01842500791466506,0.014739978402825926,10,10,True,6.386270523071289,True,True,0.8,0.9,0.5927947708504259,0.9597455244497621
24,16,0.0009295813500183358,0.003768244740740556,0.006781371650212975,0.003013126909472419,16,16,True,5.820613861083984,True,True,1.0,0.7,0.5911015977320913,0.9638969701044791
25,283,0.0005788971557176261,0.0020379076212719838,0.003390487804242781,0.0013525801829707973,283,283,True,6.940683364868164,True,True,1.0,0.9,0.6471412227101682,0.958748874208485
26,220,0.00012094887998355313,0.00035785858265313664,0.0005692448391307892,0.00021138625647765252,220,220,True,9.315346717834473,True,True,0.8,0.8,0.6425991211138639,0.9578854027253602
27,22,0.0012206665221617282,0.002874364556824105,0.0034807474795783833,0.0006063829227542783,22,22,True,6.219329833984375,True,True,0.8,0.9,0.5916996516897225,0.9585272303623006
28,13,0.0005396557548659921,0.0007267448157257661,0.0015848592812730544,0.0008581144655472883,13,13,True,8.930683135986328,True,True,1.0,0.8,0.6564161506102115,0.9619521684544217
29,1061,0.004381883686110315,0.134608368330003,0.12843762116092705,-0.006170747169075952,1061,1061,True,2.0455970764160156,True,True,0.6,0.8,0.6030687972923328,0.9698158080401924
30,10695,0.00016896563025096655,0.0011496169193492278,0.0015125564920630552,0.0003629395727138274,10695,10695,True,7.793863296508789,True,True,1.0,0.7,0.6231538610802171,0.9760055742437491
31,539,5.487083641691943e-05,0.000342750033411221,0.0004257046338160819,8.295460040486091e-05,539,539,True,9.222061157226562,True,True,0.8,0.8,0.5798913234391312,0.9743572500077681
32,22451,0.0016000026382383204,0.0022992925035048017,0.004861204294492438,0.0025619117909876366,22451,22451,True,6.827442169189453,True,True,0.6,0.8,0.6638884684511468,0.9766523211092154
33,279,6.314597098010973e-05,0.0013004715937015021,0.001615258218730986,0.00031478662502948396,279,279,True,6.743734359741211,True,True,0.8,0.8,0.5716223168122164,0.9746602303208135
34,1918,4.325117260158988e-05,0.0001673793509056054,0.00025426567634667663,8.688632544107122e-05,1918,1918,True,9.97042465209961,True,True,0.8,0.8,0.5869837513185608,0.9806509796041067
35,321,8.660804488276254e-05,0.0011416876326251213,0.001442723828500192,0.0003010361958750707,321,321,True,7.875953674316406,True,True,0.8,0.9,0.5018095964181534,0.9779115831271944
36,93571,0.00011928003753472832,0.0004754911131961137,0.0008408121708889382,0.0003653210576928245,93571,93571,True,7.842729568481445,True,True,0.6,0.9,0.5789219838919782,0.9805070400633251
37,279,5.9954686598397775e-05,0.00024398733251018712,0.00037933322908756395,0.00013534589657737683,279,279,True,9.036247253417969,True,True,0.8,0.9,0.5409998060947774,0.9752933962651388
38,4047,0.00014973725684688723,0.00043685138909665966,0.0007031362742040415,0.0002662848851073818,4047,4047,True,8.943147659301758,True,True,0.8,0.9,0.6182449883757378,0.9767777311318809
39,76436,0.00027048330034568714,0.002007048519935495,0.0019326787338442841,-7.43697860912107e-05,76436,76436,True,6.632236480712891,True,True,1.0,1.0,0.5359216439620755,0.9823525077619665
40,4496,4.15987824301944e-05,8.220459067587171e-05,0.00016573855631918377,8.353396564331206e-05,4496,4496,True,10.152385711669922,True,True,0.8,0.9,0.6321785058798012,0.9759790094251891
41,13,0.0004481333740833109,0.001429699835828302,0.0023936746979309476,0.0009639748621026456,13,13,True,7.960222244262695,True,True,0.8,0.9,0.5489841374949709,0.9680866004932587
42,198,0.01344046735716726,0.10249430608896759,0.10359726890873588,0.001102962819768294,198,198,True,2.3899269104003906,True,True,0.6,0.8,0.5045803886443856,0.976106500600565
43,2381,0.05012091192958084,0.5334276623239873,0.5703597464171288,0.036932084093141526,2381,2381,True,1.709238052368164,True,True,0.6,0.8,0.5424267691009487,0.9742044760209156
44,830,0.0036880190034787974,0.031185262223882404,0.03429693475314721,0.0031116725292648084,830,830,True,5.351736068725586,True,True,0.6,1.0,0.47410901552071927,0.9818731457320085
45,283,0.000807219081900328,0.007453757573617992,0.006683404954717531,-0.0007703526189004606,283,283,True,5.551975250244141,True,True,1.0,0.8,0.5299227254543168,0.9726476853520015
46,220,0.008178987755921038,0.04298003674546891,0.02770272038090482,-0.015277316364564086,220,220,True,3.5784130096435547,True,True,1.0,0.9,0.43296710509237085,0.9835162138068713
47,19,0.0093564441372202,0.10810120420734037,0.11511413132135573,0.007012927114015355,19,19,True,3.2946853637695312,True,True,0.8,1.0,0.44408905688155725,0.9726989360196244
48,11,0.00032182413203151757,0.0012409440988427889,0.0019783240862238927,0.0007373799873811038,11,11,True,7.892848968505859,True,True,0.8,0.9,0.4980150825292916,0.9767907450415484
49,279,0.0002701766903515351,0.002278014138333617,0.0027691442350210593,0.0004911300966874421,279,279,True,7.5546722412109375,True,True,1.0,0.9,0.470649818339353,0.9823554716899195
50,9057,0.00013029003591849084,0.0008886121272162484,0.001358925835940994,0.00047031370872474554,9057,9057,True,7.815116882324219,True,True,1.0,0.8,0.5774521723149217,0.9815175404827144
51,369,0.0002061381733493994,8.887018724124118e-05,0.0003552121004908315,0.00026634191324959033,369,369,True,10.098068237304688,True,True,0.8,0.8,0.621197098260112,0.9713950172404056
52,830,0.0033379861680068253,0.0059360095492593246,0.014507664510933438,0.008571654961674113,830,830,True,5.200725555419922,True,True,0.8,0.9,0.5925412488170718,0.9740825413660883
53,17930,0.0011062635187190086,0.00038259820644981346,0.001885340499836019,0.0015027422933862056,17930,17930,True,9.149526596069336,True,True,1.0,0.8,0.7071633287545579,0.9601058001189167
54,283,0.00010730659346276753,6.887148220258155e-05,0.00024367746784648148,0.00017480598564389993,283,283,True,11.000444412231445,True,True,0.8,1.0,0.6300036500899355,0.9632855132941538
55,220,2.1056385852077072e-05,0.0003053486706789954,0.0003248649866627318,1.9516315983736376e-05,220,220,True,8.621479034423828,True,True,1.0,0.9,0.6062231817790626,0.9719288702039285
56,16,0.0001374127192321276,0.0018313110042882386,0.0017068930559815954,-0.0001244179483066432,16,16,True,6.7303924560546875,True,True,0.8,1.0,0.5884527281974322,0.9668980860768899
57,21,0.0002129346323820024,0.000593104615020934,0.001156611215986203,0.0005635066009652689,21,21,True,8.898548126220703,True,True,0.8,1.0,0.5234314459587434,0.9713222365186706
58,13,0.0002023013881394822,0.0005810605404654723,0.0005180020383441786,-6.305850212129371e-05,13,13,True,8.072948455810547,True,True,0.8,0.7,0.5640886803035969,0.9689772856724607
59,561,0.0009052649181268715,0.00794579204741197,0.010643943525202815,0.0026981514777908444,561,561,True,5.126720428466797,True,True,1.0,0.8,0.4992006219615837,0.9787990770419542
60,6463,0.00012809877907700185,0.0002087833762729474,0.0004388176215819328,0.00023003424530898542,6463,6463,True,9.569726943969727,True,True,1.0,0.9,0.6378552502921041,0.9777604001089842
61,1881,8.727401099988062e-05,0.0007022043240212383,0.0005042394295600161,-0.00019796489446122223,1881,1881,True,7.409626007080078,True,True,0.6,0.8,0.5637759121089698,0.9799227664851361
62,23173,0.0006443338598395887,0.00016535473865531003,0.0010398735900665201,0.0008745188514112101,23173,23173,True,9.969522476196289,True,True,0.8,0.9,0.6858173905940453,0.9742770296513703
63,30308,2.0482555376817883e-05,4.414694362253613e-05,8.206605605565187e-05,3.791911243311574e-05,30308,30308,True,11.217283248901367,True,True,0.6,0.9,0.6465001775216689,0.9790483564998582
64,369,5.568839427846939e-05,0.00021543436685078632,0.00037662107273916945,0.00016118670588838313,369,369,True,9.357793807983398,True,True,1.0,0.9,0.6455711698053621,0.9687982934484453
65,318,0.0015557102088046212,0.001888175636771905,0.004800604699262578,0.0029124290624906735,318,318,True,6.846210479736328,True,True,0.8,0.9,0.5328507143858767,0.9741666362793554
66,19,0.0004574876585373346,0.00701905447577289,0.007448276297040479,0.0004292218212675891,19,19,True,5.349876403808594,True,True,1.0,0.9,0.5804659280501027,0.9684777609796252
67,10,0.004619702470539669,0.0022725918723658367,0.01017073031270499,0.007898138440339153,10,10,True,6.392387390136719,True,True,1.0,0.8,0.5949803192952178,0.95597284742584
68,16,0.041409605221372624,0.03622632018241134,0.11996727413700725,0.08374095395459591,16,16,True,3.4258766174316406,True,True,1.0,0.8,0.580146576937166,0.9608719716727088
69,28803,0.00027198158303494793,7.012010162910087e-05,0.0004513380000759071,0.0003812178984468062,28803,28803,True,10.578437805175781,True,True,0.8,0.8,0.719478710863885,0.957414314564743
70,17,4.297706352070286e-05,3.803747350161757e-05,0.00012294508589860698,8.490761239698941e-05,17,17,True,11.271430969238281,True,True,1.0,0.8,0.6238693862526777,0.9689436028934617
71,471,4.589978453967254e-05,0.00012526045951943843,0.00025927338386111387,0.00013401292434167544,471,471,True,9.234333038330078,True,True,1.0,0.9,0.552385748672276,0.9672748100676568
72,220,2.1568458734547074e-05,9.118051725920395e-05,0.00010171189770247224,1.053138044326829e-05,220,220,True,10.466140747070312,True,True,0.8,0.8,0.5708366319615052,0.972104691746764
73,19,1.8296505118332258e-05,0.0006585182719369698,0.0007701457854736304,0.00011162751353666067,19,19,True,8.255905151367188,True,True,1.0,1.0,0.646665639429174,0.960408418653696
74,61,1.714285398294965e-05,5.328020515449339e-05,9.541373606580805e-05,4.2133530911314665e-05,61,61,True,10.831647872924805,True,True,1.0,0.8,0.6499959715216358,0.9630569756650958
75,17,0.0002361995322482859,7.550069079442778e-05,0.00044255785337199427,0.0003670571625775665,17,17,True,10.45657730102539,True,True,0.8,1.0,0.6300018212786812,0.9622551358729514
76,283,3.400422375098055e-05,0.00010028562294550625,0.00018517236666681924,8.4886743721313e-05,283,283,True,10.891399383544922,True,True,0.8,0.8,0.5968230212181186,0.9612541203568398
77,220,7.19002045118471e-05,0.0008788590952413244,0.0008281326796719668,-5.072641556935764e-05,220,220,True,7.863077163696289,True,True,1.0,0.7,0.5945188303097045,0.9672734120089171
78,17,0.01203125295870063,0.027198596281781562,0.05547385881788003,0.028275262536098467,17,17,True,3.850400924682617,True,True,1.0,0.9,0.5840014183328496,0.9556781421622949
79,9,6.768669320947744e-05,0.0004431598107856871,0.0004635530159617929,2.0393205176105766e-05,9,9,True,8.97384262084961,True,True,0.8,0.9,0.5950724377437121,0.9657782548836027
80,19,0.00016527330357135576,0.0009384221692450012,0.0015480608179672117,0.0006096386487222105,19,19,True,7.77186393737793,True,True,1.0,0.9,0.6418014476228704,0.9626927210886673
81,10,0.00041127521469770277,0.0004497713435007711,0.0012142528525416196,0.0007644815090408486,10,10,True,8.517425537109375,True,True,0.6,0.9,0.6270476560742672,0.9540544385968506
82,16,0.0008691269230451445,0.0007535297042799982,0.002489941755303704,0.0017364120510237058,16,16,True,7.450080871582031,True,True,0.8,0.9,0.6314770552825809,0.9624957428374352
83,283,0.00013178307091311293,0.0004952406633655926,0.0005175145162894523,2.227385292385975e-05,283,283,True,8.592325210571289,True,True,1.0,1.0,0.7251837220074123,0.9472899821121407
84,220,0.0001242596000840884,0.000200777545366293,0.0004172338143071386,0.00021645626894084558,220,220,True,10.14216136932373,True,True,0.8,0.6,0.6390751259207691,0.9623595577583589
85,24,0.0007296073384176155,0.00040945846135898023,0.0016786273809188401,0.0012691689195598599,24,24,True,8.259756088256836,True,True,1.0,0.9,0.6614025459656945,0.9554721881617984
86,13,0.0004280104410956655,0.0007344443426084979,0.0010663171054545728,0.0003318727628460749,13,13,True,8.920312881469727,True,True,0.8,0.7,0.6651883372589231,0.9580800677209677
87,1061,0.003001416499993103,0.06230114507181739,0.07832482041346012,0.01602367534164273,1061,1061,True,2.8653182983398438,True,True,0.8,0.9,0.6352498017167192,0.9681372268250863
88,10695,3.444948038594936e-05,0.00031419750193961704,0.0003728620964587037,5.866459451908668e-05,10695,10695,True,9.3699951171875,True,True,1.0,0.7,0.6454990644802429,0.9756080656190825
89,539,1.0843281834982616e-05,0.00011834079343486792,0.00013433093153025766,1.599013809538974e-05,539,539,True,10.508474349975586,True,True,0.8,0.9,0.5827387851332247,0.9755085597414462
90,22451,0.0004199715260529595,0.000721672943704732,0.0012209629196782146,0.0004992899759734826,22451,22451,True,8.19935417175293,True,True,0.6,0.7,0.6379962158154243,0.9788626853936563
91,279,2.2261120518528502e-05,0.0003876640926776531,0.0004954502039780095,0.00010778611130035642,279,279,True,8.045536041259766,True,True,0.8,0.9,0.5652476518506098,0.9751921126653658
92,1918,1.874722372082451e-05,7.93524377549204e-05,7.396351227839659e-05,-5.388925476523809e-06,1918,1918,True,10.94415283203125,True,True,0.8,0.8,0.6036608711663802,0.9804182114765045
93,321,4.540536187365029e-05,0.0006071492418016078,0.0005501280009987397,-5.702124080286808e-05,321,321,True,8.716459274291992,True,True,0.8,1.0,0.5040648139364678,0.9777299187574285
94,93571,2.3773419333444166e-05,0.00029545038981382277,0.00037856299337235555,8.311260355853278e-05,93571,93571,True,8.347356796264648,True,True,0.8,0.9,0.5809193227585854,0.9803044487273948
95,279,1.3984802716653715e-05,6.512262925895129e-05,8.892288373019142e-05,2.3800254471240123e-05,279,279,True,10.688766479492188,True,True,1.0,0.8,0.5435025153284381,0.9752596692323431
96,4047,2.7104583001280654e-05,0.00017133763143561964,0.0001560706813670265,-1.5266950068593133e-05,4047,4047,True,10.22712516784668,True,True,0.8,0.8,0.652879780389735,0.976002060121864
