position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,13,0.000789359578007326,0.0023153675046216904,0.001520381571893381,-0.0007949859327283093,13,13,True,6.807920455932617,True,True,0.8,0.7,0.6764158305504884,0.9549304311708444
1,561,0.0015179914682281596,0.011729682077216808,0.013609921381789292,0.0018802393045724841,561,561,True,4.903436660766602,True,True,0.8,0.8,0.6037635531092334,0.9683505255576753
2,6463,0.0003054900579358571,0.0006694027900167043,0.0008287028941325048,0.00015930010411580042,6463,6463,True,8.221778869628906,True,True,1.0,0.8,0.7162906895942823,0.9700015436164349
3,1881,0.0012557344865074384,0.0036724945038493217,0.0015562237297039871,-0.0021162707741453346,1881,1881,True,5.669376373291016,True,True,0.8,0.8,0.6743639002156339,0.9693840355360036
4,23173,0.0009079619481809737,0.0007446385210592155,0.002306337705753947,0.0015616991846947315,23173,23173,True,8.23182487487793,True,True,0.8,0.9,0.7897891752515995,0.9631943743477156
5,30308,6.645496287647067e-05,7.544741684029077e-05,0.0001651422250930068,8.969480825271603e-05,30308,30308,True,10.310287475585938,True,True,0.6,0.9,0.7454177102140831,0.9716982514839516
6,369,0.0001066920615079279,0.0003426219171380751,0.000607274600572083,0.00026465268343400794,369,369,True,9.317218780517578,True,True,0.8,0.8,0.7359542696497525,0.95754028300278
7,318,0.0025038970432058336,0.003370871547584642,0.007369567801685406,0.003998696254100764,318,318,True,6.515058517456055,True,True,0.8,0.9,0.6361658668348185,0.9602708185936139
8,18,0.047902468570847706,0.0907741029579121,0.027234758912850765,-0.06353934404506134,18,18,True,2.818695068359375,True,True,0.8,0.9,0.7078107839654615,0.9492526991539321
9,10,0.0025875241313166493,0.005626655722604568,0.011424238683503063,0.005797582960898495,10,10,True,5.909551620483398,True,True,1.0,0.7,0.6897457661130534,0.9436863006991167
10,16,0.1411910036359063,0.17584725915376254,0.5126410627446347,0.3367938035908722,16,16,True,1.6832141876220703,True,True,0.8,0.7,0.6741348251205228,0.9496876827456812
11,28803,0.001481698497915713,0.00042074483785370376,0.0025167920224191676,0.002096047184565464,28803,28803,True,9.259809494018555,True,True,0.8,0.8,0.7859870635527704,0.9445906943601474
12,17,4.775178750449791e-05,0.00020326856120433945,0.00029090205135062774,8.76334901462883e-05,17,17,True,8.884235382080078,True,True,0.8,0.8,0.6757936367124335,0.9606589033679613
13,471,0.00029434128141091176,0.00041676293519898877,0.0010211685064867027,0.0006044055712877139,471,471,True,8.524459838867188,True,True,1.0,0.9,0.6310016929497492,0.9534647414434304
14,220,0.00039005994440998213,0.0007268881257012083,0.00034692223709598125,-0.00037996588860522706,220,220,True,7.850519180297852,True,True,1.0,0.8,0.6340305415252445,0.9594328704409941
15,18,0.001168140139410791,0.005759242588698754,0.005352680689881595,-0.0004065618988171593,18,18,True,5.330278396606445,True,True,0.8,0.9,0.6576276766546649,0.9508023324957608
16,61,5.409772277716826e-05,0.0002217199162046768,0.00036883464722592407,0.00014711473102124728,61,61,True,8.967439651489258,True,True,1.0,0.7,0.7362241318014708,0.9494955863352664
17,17,9.6842899172681e-05,6.279358202121443e-05,0.00023898708150937864,0.0001761934994881642,17,17,True,10.774681091308594,True,True,1.0,0.9,0.7026190021603711,0.9500742308464614
18,283,8.968880921809374e-05,0.00019514873891779416,0.0004188957819657446,0.00022374704304795046,283,283,True,10.622272491455078,True,True,0.8,0.9,0.6410807631453151,0.9502674527540975
19,220,0.0006027189639270529,0.0034876580748708363,0.002693178706973498,-0.0007944793678973383,220,220,True,6.047006607055664,True,True,0.8,0.9,0.7149431089880478,0.9498947738306082
