position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,4599,0.09302692591110027,11.503782925039133,11.353896572972744,-0.1498863520663889,20029,13640,False,0.18971920013427734,True,True,0.4,0.8,0.344184512528378,0.9927457135132033
1,7189,0.039801995218929416,1.0483940285787803,1.2629213218091806,0.21452729323040032,7189,7189,True,0.8791580200195312,True,True,1.0,0.8,0.36116453699059464,0.9923749881109215
2,466,0.03728408106009057,1.8258147396262316,1.485407056405542,-0.3404076832206897,11,11,True,1.5644664764404297,True,True,1.0,0.9,0.37550591078711143,0.9899252385574544
3,23487,0.050393739239906,4.1193522350319896,3.9992162487439558,-0.12013598628803379,3813,3813,True,0.05274200439453125,True,True,0.8,0.9,0.3377962393376009,0.9932022034161647
4,13,0.007343740791913038,0.5406288966787969,0.4951245661606585,-0.0455043305181384,13,13,True,1.7857704162597656,True,True,1.0,0.9,0.3290316938489369,0.9914711496293936
5,1368,0.02849536193848652,2.5767912607858676,2.729796274196481,0.15300501341061334,248046,248046,True,0.4299602508544922,True,True,0.8,0.9,0.3484145803132746,0.9905260705475616
6,421,0.027137771179537914,5.325706282219123,5.533020772634419,0.20731449041529615,279,279,True,1.4281272888183594,True,True,0.8,0.9,0.3557755382534464,0.9910562258211221
7,5721,0.04221762433723343,4.182056420217847,4.772500067744119,0.5904436475262713,14107,14107,True,0.7658615112304688,True,True,1.0,1.0,0.32601282436342777,0.9923247385455745
8,1503,0.0339526313560053,3.829182081975098,3.633760930240687,-0.19542115173441132,369,369,True,1.9487113952636719,True,True,0.8,0.7,0.36864523998081,0.9901511883012774
9,524,0.0015479520668751252,0.005275510938339778,0.008755477346745977,0.0034799664084061988,524,524,True,6.556428909301758,True,True,0.8,0.8,0.33598394473926896,0.9914860478886339
10,8563,0.088058120685004,4.76097471535526,4.906697710209272,0.14572299485401174,2905,2905,True,1.1188182830810547,True,True,0.6,1.0,0.36700015614679943,0.990998073202866
11,279,0.0034871021228699644,0.04917937139556017,0.03982357504022005,-0.009355796355340118,279,279,True,4.305454254150391,True,True,1.0,1.0,0.32123988297119993,0.991759153509399
12,59469,0.010380420263510154,2.7570985122297067,2.7061322887471313,-0.0509662234825754,11712,11712,True,1.3568401336669922,True,True,1.0,0.9,0.2827209775834807,0.9941454905793565
13,11,0.002079601049940554,0.025124908411100932,0.024025157399268693,-0.0010997510118322396,11,11,True,4.748237609863281,True,True,1.0,0.8,0.33629126789125907,0.9908217559656938
14,279,0.02083491314342406,2.547726975370768,2.611315427781715,0.06358845241094713,353,353,True,2.221393585205078,True,True,1.0,0.8,0.34873576199062734,0.9907844402111501
15,1534,0.05923296740452676,6.396750750176107,5.649235873657869,-0.7475148765182382,7916,7916,True,0.8543701171875,True,True,0.8,0.9,0.39051148652029666,0.9893765153549532
16,2605,0.04590517542077345,8.09639653060244,8.2311160495695,0.13471951896706003,16198,16198,True,0.6160507202148438,True,True,0.8,0.8,0.3679402332041265,0.9910785229091932
17,1220,0.042621703472908376,2.286650373320416,2.0210222572760195,-0.26562811604439673,1000,668,False,0.04601287841796875,True,True,0.8,0.9,0.33805290773603475,0.9913595036403461
18,1528,0.02782849455291206,4.904445055008004,4.559902827589756,-0.34454222741824836,381,381,True,1.4001007080078125,True,True,1.0,0.8,0.33001099804939177,0.9927705106256931
19,1092,0.08537543960430764,2.2968626572825457,2.924912588953241,0.6280499316706951,421,421,True,1.08673095703125,True,True,1.0,0.9,0.37220280004750295,0.9900942550996932
20,8198,0.016294683066943545,3.41058891116084,3.159509368626651,-0.25107954253418896,369,369,True,1.5368766784667969,True,True,1.0,1.0,0.3288792001790721,0.992889607913258
21,33955,0.10189293438709984,0.9567752673450016,1.3025936513386291,0.3458183839936275,33955,33955,True,0.6024971008300781,True,True,0.8,0.9,0.36936179853557205,0.9907016663021784
22,13,0.058186727988976956,0.6249538528699077,0.4199800403954441,-0.20497381247446356,13,13,True,1.6655120849609375,True,True,1.0,0.8,0.32640729333026286,0.9904468529205668
23,357,0.0028806326591305376,6.34175920794463,6.27231553377441,-0.0694436741702198,248046,248046,True,1.9759140014648438,True,True,1.0,0.9,0.3396909353105579,0.989669554906419
