"name","run","warmup","profile","peak_working_set_bytes","operation_instrumentation","prefill_only","cpu_batch","cpu_batch_serial","prompt_tokens","generated_tokens","decode_forwards","load_time_ms","prefill_time_ms","prefill_forward_time_ms","prefill_forward_tokens_per_second","prefill_tokens_per_second","new_prefill_tokens","cached_prefix_tokens","prefix_build_time_ms","prefix_cache_restore_time_ms","prefix_cache_bytes","decode_time_ms","tokens_per_second","per_request_tokens_per_second","tick_p50_ms","tick_p95_ms","tick_p99_ms","peak_rss_bytes","physical_kv_bytes","batch_ticks","batch_rows","projection_batches","lm_head_batches","greedy_lm_head_batches","state_batches"
"calibrated-g32-b1-t8-p512-n128","0","True","case-0-run-0.json",,"False","False","1","False","512","128","127","565.7616","249.2836","244.5527","2093.61826715","2053.88561462","512","0","0","0","0","1049.6029","120.998141297","120.998141297","8.2478","8.3751","8.5521","493207552","7852032","0","0","0","0","0","0"
"calibrated-g16-b1-t8-p512-n128","0","True","case-1-run-0.json",,"False","False","1","False","512","128","127","634.951","242.1229","237.4618","2156.13627118","2114.6285626","512","0","0","0","0","1095.0724","115.974067103","115.974067103","8.5905","8.9049","9.1123","508739584","7852032","0","0","0","0","0","0"
"calibrated-g32-b2-t8-p512-n128","0","True","case-2-run-0.json",,"False","False","2","False","1024","256","254","581.0974","475.7119","467.0409","2192.52746387","2152.56334769","1024","0","0","0","0","1563.2982","162.47699895","81.238499475","12.2593","12.6191","13.1283","524984320","15704064","127","254","12319","127","0","0"
"calibrated-g16-b2-t8-p512-n128","0","True","case-3-run-0.json",,"False","False","2","False","1024","256","254","629.0932","481.8107","472.9962","2164.92225519","2125.31602142","1024","0","0","0","0","1389.5945","182.787136823","91.3935684115","10.5938","12.6143","13.9585","540905472","15704064","127","254","12319","127","0","0"
"calibrated-g32-b4-t8-p512-n128","0","True","case-4-run-0.json",,"False","False","4","False","2048","512","508","570.8321","977.6235","960.9524","2131.2189865","2094.87599265","2048","0","0","0","0","1619.7956","313.619817216","78.4049543041","12.7088","13.0211","13.3093","587714560","31408128","127","508","12319","127","0","0"
"calibrated-g16-b4-t8-p512-n128","0","True","case-5-run-0.json",,"False","False","4","False","2048","512","508","637.7405","981.7035","965.0295","2122.21491675","2086.16960213","2048","0","0","0","0","1673.8986","303.483138106","75.8707845266","13.1677","13.4024","13.8367","603639808","31408128","127","508","12319","127","0","0"
"calibrated-g32-b8-t8-p512-n128","0","True","case-6-run-0.json",,"False","False","8","False","4096","1024","1016","592.3273","1950.4734","1918.9401","2134.51165047","2100.0030044","4096","0","0","0","0","2519.2613","403.292822384","50.411602798","19.8426","20.1723","20.2653","714440704","62816256","127","1016","12319","127","0","3048"
"calibrated-g16-b8-t8-p512-n128","0","True","case-7-run-0.json",,"False","False","8","False","4096","1024","1016","645.7807","1977.8614","1946.4036","2104.3939705","2070.92367544","4096","0","0","0","0","2242.6393","453.037632935","56.6297041169","17.6592","17.9973","18.1311","730497024","62816256","127","1016","12319","127","0","3048"
"calibrated-g32-b16-t8-p512-n128","0","True","case-8-run-0.json",,"False","False","16","False","8192","2048","2032","578.6568","3867.1469","3805.1259","2152.88540124","2118.35759329","8192","0","0","0","0","3299.9122","615.773959077","38.4858724423","26.0249","26.4131","27.4159","966721536","125632512","127","2032","12319","127","0","3048"
"calibrated-g16-b16-t8-p512-n128","0","True","case-9-run-0.json",,"False","False","16","False","8192","2048","2032","642.0954","3907.8691","3845.0926","2130.50785825","2096.28311245","8192","0","0","0","0","3369.6455","603.030793595","37.6894245997","26.5589","26.9743","27.2253","982827008","125632512","127","2032","12319","127","0","3048"
"calibrated-g16-b16-t8-p512-n128","1","False","case-9-run-1.json",,"False","False","16","False","8192","2048","2032","624.3067","3941.5212","3878.5943","2112.10540891","2078.3853706","8192","0","0","0","0","3368.9021","603.163861603","37.6977413502","26.5195","26.8192","27.188","982913024","125632512","127","2032","12319","127","0","3048"
"calibrated-g32-b16-t8-p512-n128","1","False","case-8-run-1.json",,"False","False","16","False","8192","2048","2032","572.8669","3901.1793","3839.441","2133.6439341","2099.87784976","8192","0","0","0","0","3303.7826","615.052576401","38.4407860251","26.0072","26.3834","26.6821","966610944","125632512","127","2032","12319","127","0","3048"
"calibrated-g16-b8-t8-p512-n128","1","False","case-7-run-1.json",,"False","False","8","False","4096","1024","1016","632.4665","1950.7101","1918.8574","2134.60364486","2099.74818913","4096","0","0","0","0","2266.2288","448.32189936","56.04023742","17.8215","18.3923","18.6541","730759168","62816256","127","1016","12319","127","0","3048"
"calibrated-g32-b8-t8-p512-n128","1","False","case-6-run-1.json",,"False","False","8","False","4096","1024","1016","586.1664","1941.9986","1910.3162","2144.14765472","2109.16732896","4096","0","0","0","0","2522.7036","402.742517987","50.3428147484","19.961","20.2911","20.6835","714469376","62816256","127","1016","12319","127","0","3048"
"calibrated-g16-b4-t8-p512-n128","1","False","case-5-run-1.json",,"False","False","4","False","2048","512","508","640.8243","979.9413","963.5371","2125.50196562","2089.92110038","2048","0","0","0","0","1658.1171","306.371606686","76.5929016714","13.0247","13.4023","13.598","603648000","31408128","127","508","12319","127","0","0"
"calibrated-g32-b4-t8-p512-n128","1","False","case-4-run-1.json",,"False","False","4","False","2048","512","508","580.4106","971.5511","955.5712","2143.22072494","2107.96941098","2048","0","0","0","0","1598.6387","317.770362997","79.4425907492","12.5679","12.8605","13.3694","587706368","31408128","127","508","12319","127","0","0"
"calibrated-g16-b2-t8-p512-n128","1","False","case-3-run-1.json",,"False","False","2","False","1024","256","254","633.2325","481.8344","473.2186","2163.90480002","2125.21148345","1024","0","0","0","0","1353.7575","187.625922663","93.8129613317","10.6075","10.8358","11.7183","540905472","15704064","127","254","12319","127","0","0"
"calibrated-g32-b2-t8-p512-n128","1","False","case-2-run-1.json",,"False","False","2","False","1024","256","254","588.1282","482.6095","473.1675","2164.13849218","2121.79826547","1024","0","0","0","0","1573.2375","161.450512081","80.7252560405","12.355","12.6677","12.8896","524976128","15704064","127","254","12319","127","0","0"
"calibrated-g16-b1-t8-p512-n128","1","False","case-1-run-1.json",,"False","False","1","False","512","128","127","624.0412","243.85","239.3097","2139.48703291","2099.65142506","512","0","0","0","0","1082.308","117.341828759","117.341828759","8.501","8.6536","8.8952","508657664","7852032","0","0","0","0","0","0"
"calibrated-g32-b1-t8-p512-n128","1","False","case-0-run-1.json",,"False","False","1","False","512","128","127","570.0743","245.1899","240.6631","2127.45535149","2088.17736783","512","0","0","0","0","1056.5347","120.204286712","120.204286712","8.2957","8.5253","8.7347","492769280","7852032","0","0","0","0","0","0"
"calibrated-g32-b1-t8-p512-n128","2","False","case-0-run-2.json",,"False","False","1","False","512","128","127","576.3931","243.3856","238.8304","2143.78069124","2103.65773489","512","0","0","0","0","1044.9393","121.538160159","121.538160159","8.2162","8.3057","8.6482","492761088","7852032","0","0","0","0","0","0"
"calibrated-g16-b1-t8-p512-n128","2","False","case-1-run-2.json",,"False","False","1","False","512","128","127","634.3517","240.2385","235.844","2170.92654467","2131.21543799","512","0","0","0","0","1093.9371","116.09442627","116.09442627","8.5822","8.8821","8.9413","508661760","7852032","0","0","0","0","0","0"
"calibrated-g32-b2-t8-p512-n128","2","False","case-2-run-2.json",,"False","False","2","False","1024","256","254","581.0942","474.3559","466.1727","2196.61082685","2158.71669352","1024","0","0","0","0","1555.8853","163.251108549","81.6255542745","12.227","12.4084","12.6076","524984320","15704064","127","254","12319","127","0","0"
"calibrated-g16-b2-t8-p512-n128","2","False","case-3-run-2.json",,"False","False","2","False","1024","256","254","642.8077","485.5586","476.7069","2148.07043909","2108.9112622","1024","0","0","0","0","1341.5075","189.33923217","94.6696160849","10.5331","10.7817","10.884","540909568","15704064","127","254","12319","127","0","0"
"calibrated-g32-b4-t8-p512-n128","2","False","case-4-run-2.json",,"False","False","4","False","2048","512","508","567.112","980.4142","964.6712","2123.00315382","2088.91303288","2048","0","0","0","0","1613.7703","314.790772888","78.6976932219","12.6572","12.9794","13.7104","587702272","31408128","127","508","12319","127","0","0"
"calibrated-g16-b4-t8-p512-n128","2","False","case-5-run-2.json",,"False","False","4","False","2048","512","508","632.9431","968.6898","952.1921","2150.82649814","2114.19589635","2048","0","0","0","0","1644.1452","308.975144044","77.2437860111","12.9022","13.2849","13.4757","603639808","31408128","127","508","12319","127","0","0"
"calibrated-g32-b8-t8-p512-n128","2","False","case-6-run-2.json",,"False","False","8","False","4096","1024","1016","571.5509","1932.7234","1901.2803","2154.33779017","2119.28928889","4096","0","0","0","0","2535.7052","400.677492005","50.0846865006","19.9727","20.231","20.6498","714780672","62816256","127","1016","12319","127","0","3048"
"calibrated-g16-b8-t8-p512-n128","2","False","case-7-run-2.json",,"False","False","8","False","4096","1024","1016","626.0065","1938.4639","1907.1881","2147.66440709","2113.01329883","4096","0","0","0","0","2261.3343","449.292260768","56.161532596","17.7685","18.144","18.4288","730345472","62816256","127","1016","12319","127","0","3048"
