engine,model,batch,threads,prompt_tokens,output_tokens,tensor_bytes,loaded_model_tensor_bytes,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
native,bc256,1,8,512,128,424934656,,2758.48875482,2724.86407226,2761.28116025,122.937210648,122.881917527,123.06881279
llama,Q4_0-pure,1,8,512,128,424934656,424934656,1105.2933869,1097.35668572,1110.87816179,108.638753789,107.830130064,108.893193318
ik,Q4_0-pure,1,8,512,128,424934656,567966976,2860.44787161,2691.63351616,2886.23883434,122.224069431,122.110027038,122.551051482
ik,IQ4_K_R4-pure,1,8,512,128,424934656,567966976,1992.59387106,1992.02167307,1992.91479089,117.831749804,117.789695325,118.82479838
ik,IQ4_KS_R4-pure,1,8,512,128,401437952,540110336,2060.3769066,2054.79928975,2061.82539701,129.208332428,129.068424893,129.400243961
llama,Q4_0,1,8,512,128,496192768,496192768,953.585423362,913.069355899,1015.55544524,93.7330983355,93.5736100381,94.352373809
ik,Q4_0,1,8,512,128,496192768,704781568,2730.89014815,2723.24142576,2731.30918712,103.998249043,103.741911102,104.276976175
llama,Q4_K_M,1,8,512,128,521555200,521555200,663.210363989,652.876919168,704.871708145,88.4100572343,87.34456917,88.5916793837
ik,Q4_K_M,1,8,512,128,521555200,730144000,1984.34101471,1983.05233895,1991.00624371,98.6253377546,98.618447491,98.8447908887
llama,IQ4_XS,1,8,512,128,481643776,481643776,940.310745153,902.306363089,985.002699042,94.1231288177,91.5038237121,94.1749176223
ik,IQ4_XS,1,8,512,128,481643776,690232576,1957.49559818,1953.75705841,1960.07395956,107.684366574,107.510944049,107.727885391
native,bc256,1,8,4096,2,424934656,,2464.27628286,2461.76303972,2478.85800706,84.3994602823,84.1071612706,84.450736212
llama,Q4_0-pure,1,8,4096,2,424934656,424934656,994.715799864,862.700579904,1089.07432698,75.5733599674,73.8379730531,76.0951847271
ik,Q4_0-pure,1,8,4096,2,424934656,567966976,2517.56267487,2504.38637067,2530.04663557,84.092845902,81.2245213906,85.0309623243
ik,IQ4_K_R4-pure,1,8,4096,2,424934656,567966976,1802.05702742,1797.39268357,1804.6758971,82.0527564762,80.69967913,83.7134762289
ik,IQ4_KS_R4-pure,1,8,4096,2,401437952,540110336,1841.84769866,1830.71658217,1842.1927092,84.8550099416,84.3308620174,86.5167608056
llama,Q4_0,1,8,4096,2,496192768,496192768,843.958613798,831.314804853,895.277538696,71.5842928313,71.280272821,71.6708547531
ik,Q4_0,1,8,4096,2,496192768,704781568,2409.68066806,2402.07060316,2428.0332731,79.1890659539,78.6989985238,80.532863408
llama,Q4_K_M,1,8,4096,2,521555200,521555200,695.110195974,692.340684432,697.841870383,68.2048683271,67.9757758806,68.6700277441
ik,Q4_K_M,1,8,4096,2,521555200,730144000,1794.75208732,1794.12819756,1796.05989483,75.5088199587,74.3246803797,75.6931448352
llama,IQ4_XS,1,8,4096,2,481643776,481643776,887.652343905,795.301902972,992.102109327,71.745913855,71.5266344444,71.9883424958
ik,IQ4_XS,1,8,4096,2,481643776,690232576,1774.74020054,1770.65175903,1779.0243457,79.2010765644,77.1245678228,79.3495998955
native,bc256,16,8,512,128,424934656,,2911.64934,2909.416895,2914.30090603,615.422547369,614.095117553,616.59489406
llama,Q4_0-pure,16,8,512,128,424934656,424934656,1279.13901672,1224.52649755,1405.91132186,465.484656881,463.74547079,471.895821787
llama,Q4_0,16,8,512,128,496192768,496192768,1185.19543064,1184.34140995,1187.9643656,372.752418735,370.018393611,376.810216167
llama,Q4_K_M,16,8,512,128,521555200,521555200,811.035038329,809.940516226,811.94687274,325.931760689,323.493345389,327.192381735
llama,IQ4_XS,16,8,512,128,481643776,481643776,1123.10050744,1122.19389516,1123.42725656,336.28233952,335.318191612,338.839876698
