"name","run","warmup","profile","peak_working_set_bytes","operation_instrumentation","prefill_only","cpu_batch","cpu_batch_serial","prompt_tokens","generated_tokens","decode_forwards","load_time_ms","prefill_time_ms","prefill_forward_time_ms","prefill_forward_tokens_per_second","prefill_tokens_per_second","new_prefill_tokens","cached_prefix_tokens","prefix_build_time_ms","prefix_cache_restore_time_ms","prefix_cache_bytes","decode_time_ms","tokens_per_second","per_request_tokens_per_second","tick_p50_ms","tick_p95_ms","tick_p99_ms","peak_rss_bytes","physical_kv_bytes","batch_ticks","batch_rows","projection_batches","lm_head_batches","greedy_lm_head_batches","state_batches"
"mse16-b1-t8-p512-n128","0","True","case-0-run-0.json",,"False","False","1","False","512","128","127","564.9721","236.1464","231.1329","2215.17577117","2168.1465396","512","0","0","0","0","1009.8981","125.755261843","125.755261843","7.9309","7.9785","8.2257","493215744","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","0","True","case-1-run-0.json",,"False","False","1","False","512","128","127","623.6212","237.6058","232.8985","2198.38255721","2154.82955382","512","0","0","0","0","1054.5548","120.429967224","120.429967224","8.2875","8.359","8.4244","508719104","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","0","True","case-2-run-0.json",,"False","False","1","False","512","128","127","633.1001","237.3798","232.6326","2200.89531734","2156.88108255","512","0","0","0","0","1054.6098","120.423686562","120.423686562","8.2894","8.3536","8.6117","508641280","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","0","True","case-3-run-0.json",,"False","False","1","False","512","128","127","572.0162","235.5721","231.2383","2214.16607889","2173.4322528","512","0","0","0","0","1023.9618","124.028064328","124.028064328","8.0306","8.2127","8.3385","492822528","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","1","False","case-3-run-1.json",,"False","False","1","False","512","128","127","569.4799","241.0157","236.0121","2169.38029872","2124.342937","512","0","0","0","0","1017.9291","124.763109729","124.763109729","7.9877","8.1045","8.2532","492822528","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","1","False","case-2-run-1.json",,"False","False","1","False","512","128","127","628.6163","244.2956","239.4458","2138.27095735","2095.82161938","512","0","0","0","0","1069.243","118.775619761","118.775619761","8.3777","8.6748","8.9625","508641280","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","1","False","case-1-run-1.json",,"False","False","1","False","512","128","127","632.371","243.533","238.2633","2148.88318931","2102.38448177","512","0","0","0","0","1046.0916","121.404282378","121.404282378","8.2036","8.3342","8.4204","508719104","7852032","0","0","0","0","0","0"
"mse16-b1-t8-p512-n128","1","False","case-0-run-1.json",,"False","False","1","False","512","128","127","573.3566","240.0449","235.1153","2177.65496333","2132.93429688","512","0","0","0","0","1030.6791","123.219729594","123.219729594","7.9617","9.3363","9.4086","492822528","7852032","0","0","0","0","0","0"
"mse16-b1-t8-p512-n128","2","False","case-0-run-2.json",,"False","False","1","False","512","128","127","563.6477","235.0312","230.3482","2222.72194877","2178.43418236","512","0","0","0","0","1050.5539","120.888609333","120.888609333","7.9777","9.3597","11.278","492822528","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","2","False","case-1-run-2.json",,"False","False","1","False","512","128","127","637.1486","241.908","237.0098","2160.24822602","2116.50710187","512","0","0","0","0","1103.8181","115.055188894","115.055188894","8.6225","9.0621","9.4014","508719104","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","2","False","case-2-run-2.json",,"False","False","1","False","512","128","127","621.3548","240.1719","235.695","2172.29894567","2131.80642698","512","0","0","0","0","1086.2453","116.916501273","116.916501273","8.5359","8.6183","8.8789","508641280","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","2","False","case-3-run-2.json",,"False","False","1","False","512","128","127","567.1204","238.8071","234.1907","2186.25248569","2143.98985625","512","0","0","0","0","1057.2765","120.119949701","120.119949701","8.2625","8.5756","8.7412","492822528","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","3","False","case-3-run-3.json",,"False","False","1","False","512","128","127","568.043","236.7121","232.186","2205.12864686","2162.96505333","512","0","0","0","0","1044.719","121.563788923","121.563788923","8.2098","8.2957","8.5701","492822528","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","3","False","case-2-run-3.json",,"False","False","1","False","512","128","127","628.8446","238.2071","233.6116","2191.67198889","2149.39017351","512","0","0","0","0","1091.4996","116.353684417","116.353684417","8.5551","8.7934","8.9785","508637184","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","3","False","case-1-run-3.json",,"False","False","1","False","512","128","127","629.4473","237.072","232.567","2201.51612224","2159.68144699","512","0","0","0","0","1082.7719","117.291555128","117.291555128","8.5104","8.6061","8.754","508719104","7852032","0","0","0","0","0","0"
"mse16-b1-t8-p512-n128","3","False","case-0-run-3.json",,"False","False","1","False","512","128","127","572.2712","237.2431","232.6041","2201.16498376","2158.12388221","512","0","0","0","0","1054.7667","120.405773144","120.405773144","8.2553","8.5322","8.8339","492830720","7852032","0","0","0","0","0","0"
