"name","run","warmup","profile","peak_working_set_bytes","operation_instrumentation","prefill_only","cpu_batch","cpu_batch_serial","prompt_tokens","generated_tokens","decode_forwards","load_time_ms","prefill_time_ms","prefill_forward_time_ms","prefill_forward_tokens_per_second","prefill_tokens_per_second","new_prefill_tokens","cached_prefix_tokens","prefix_build_time_ms","prefix_cache_restore_time_ms","prefix_cache_bytes","decode_time_ms","tokens_per_second","per_request_tokens_per_second","tick_p50_ms","tick_p95_ms","tick_p99_ms","peak_rss_bytes","physical_kv_bytes","batch_ticks","batch_rows","projection_batches","lm_head_batches","greedy_lm_head_batches","state_batches"
"mse16-b1-t8-p4096-n2","0","True","case-0-run-0.json",,"False","False","1","False","4096","2","1","567.6936","2105.8697","2096.3454","1953.87649383","1945.0396195","4096","0","0","0","0","12.3176","81.1846463597","81.1846463597","12.3175","12.3175","12.3175","536268800","50343936","0","0","0","0","0","0"
"g16-head-b1-t8-p4096-n2","0","True","case-1-run-0.json",,"False","False","1","False","4096","2","1","626.2643","2123.6837","2114.234","1937.3446837","1928.72413156","4096","0","0","0","0","12.2041","81.9396760105","81.9396760105","12.204","12.204","12.204","552169472","50343936","0","0","0","0","0","0"
"mse16-b1-t8-p8192-n128","0","True","case-2-run-0.json",,"False","False","1","False","8192","128","127","570.0878","4921.7064","4906.9369","1669.4732716","1664.4633658","8192","0","0","0","0","1790.617","70.9252732438","70.9252732438","14.0698","14.315","14.4141","589488128","102223872","0","0","0","0","0","0"
"g16-head-b1-t8-p8192-n128","0","True","case-3-run-0.json",,"False","False","1","False","8192","128","127","634.5718","4928.9192","4912.5465","1667.5669126","1662.02765101","8192","0","0","0","0","1863.9055","68.1365015555","68.1365015555","14.6513","14.9291","15.1155","605376512","102223872","0","0","0","0","0","0"
"mse16-b16-t8-p512-n128","0","True","case-4-run-0.json",,"False","False","16","False","8192","2048","2032","569.6885","3755.9088","3692.5737","2218.50683711","2181.09662301","8192","0","0","0","0","3198.8806","635.222208669","39.7013880418","25.2415","25.6201","25.7246","967233536","125632512","127","2032","12319","127","0","3048"
"g16-head-b16-t8-p512-n128","0","True","case-5-run-0.json",,"False","False","16","False","8192","2048","2032","631.7338","3772.5996","3708.1305","2209.19948745","2171.44697783","8192","0","0","0","0","4844.7228","419.425441637","26.2140901023","38.0802","38.4263","40.0926","983126016","125632512","127","2032","12319","127","0","3048"
"g16-head-b16-t8-p512-n128","1","False","case-5-run-1.json",,"False","False","16","False","8192","2048","2032","631.6378","3771.8425","3708.3965","2209.04102353","2171.88283975","8192","0","0","0","0","4859.1538","418.179807357","26.1362379598","38.23","38.5873","38.7114","982315008","125632512","127","2032","12319","127","0","3048"
"mse16-b16-t8-p512-n128","1","False","case-4-run-1.json",,"False","False","16","False","8192","2048","2032","571.4318","3768.2956","3703.7682","2211.80148369","2173.92711973","8192","0","0","0","0","3202.0341","634.596614696","39.6622884185","25.322","25.6834","25.719","966598656","125632512","127","2032","12319","127","0","3048"
"g16-head-b1-t8-p8192-n128","1","False","case-3-run-1.json",,"False","False","1","False","8192","128","127","635.5129","4969.7783","4954.9107","1653.30931191","1648.36326804","8192","0","0","0","0","1805.7533","70.3307589137","70.3307589137","14.1904","14.3795","14.5825","605376512","102223872","0","0","0","0","0","0"
"mse16-b1-t8-p8192-n128","1","False","case-2-run-1.json",,"False","False","1","False","8192","128","127","571.7569","4987.3817","4972.2673","1647.53813617","1642.54522568","8192","0","0","0","0","1795.3838","70.7369644307","70.7369644307","14.1341","14.2309","14.2815","589484032","102223872","0","0","0","0","0","0"
