"name","run","warmup","profile","peak_working_set_bytes","operation_instrumentation","prefill_only","cpu_batch","cpu_batch_serial","prompt_tokens","generated_tokens","decode_forwards","load_time_ms","prefill_time_ms","prefill_forward_time_ms","prefill_forward_tokens_per_second","prefill_tokens_per_second","new_prefill_tokens","cached_prefix_tokens","prefix_build_time_ms","prefix_cache_restore_time_ms","prefix_cache_bytes","decode_time_ms","tokens_per_second","per_request_tokens_per_second","tick_p50_ms","tick_p95_ms","tick_p99_ms","peak_rss_bytes","physical_kv_bytes","batch_ticks","batch_rows","projection_batches","lm_head_batches","greedy_lm_head_batches","state_batches"
"mse16-b1-t8-p512-n128","0","True","case-0-run-0.json",,"False","False","1","False","512","128","127","567.4622","236.013","231.4053","2212.56816503","2169.37202612","512","0","0","0","0","1013.0767","125.360695789","125.360695789","7.9576","8.0262","8.118","493252608","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","0","True","case-1-run-0.json",,"False","False","1","False","512","128","127","627.3468","236.4379","231.7681","2209.10470423","2165.47347105","512","0","0","0","0","1046.8845","121.312331972","121.312331972","8.2237","8.2827","8.4","508755968","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","0","True","case-2-run-0.json",,"False","False","1","False","512","128","127","631.627","237.5578","232.9755","2197.6559767","2155.26495026","512","0","0","0","0","1047.4743","121.244024794","121.244024794","8.2288","8.2708","8.3606","508669952","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","0","True","case-3-run-0.json",,"False","False","1","False","512","128","127","569.3595","242.4108","236.9726","2160.58734217","2112.11711689","512","0","0","0","0","1009.1353","125.850319576","125.850319576","7.9262","7.9873","8.1974","492859392","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","1","False","case-3-run-1.json",,"False","False","1","False","512","128","127","572.9941","243.8827","238.7489","2144.51249828","2099.36990201","512","0","0","0","0","1013.2994","125.33314438","125.33314438","7.9375","8.1201","8.2809","492871680","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","1","False","case-2-run-1.json",,"False","False","1","False","512","128","127","633.1403","242.1508","237.3539","2157.11644089","2114.38492047","512","0","0","0","0","1044.1022","121.635602339","121.635602339","8.1986","8.2636","8.4533","508657664","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","1","False","case-1-run-1.json",,"False","False","1","False","512","128","127","629.9749","236.6157","231.6718","2210.02297215","2163.84627056","512","0","0","0","0","1057.6379","120.078904132","120.078904132","8.2801","8.4012","9.6633","508755968","7852032","0","0","0","0","0","0"
"mse16-b1-t8-p512-n128","1","False","case-0-run-1.json",,"False","False","1","False","512","128","127","571.1172","236.5347","231.6536","2210.19660389","2164.58726775","512","0","0","0","0","1022.243","124.236605191","124.236605191","7.9949","8.2573","9.0526","492855296","7852032","0","0","0","0","0","0"
"mse16-b1-t8-p512-n128","2","False","case-0-run-2.json",,"False","False","1","False","512","128","127","571.3923","237.2609","232.5027","2202.12496457","2157.96197351","512","0","0","0","0","1020.2798","124.47565854","124.47565854","8.0145","8.094","8.3092","492859392","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","2","False","case-1-run-2.json",,"False","False","1","False","512","128","127","627.6009","238.63","233.6969","2190.87202269","2145.58102502","512","0","0","0","0","1062.194","119.563846152","119.563846152","8.3264","8.5472","8.8162","508755968","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","2","False","case-2-run-2.json",,"False","False","1","False","512","128","127","624.4718","238.3832","233.796","2189.94336943","2147.80236191","512","0","0","0","0","1054.8604","120.39507787","120.39507787","8.288","8.3448","8.5261","508669952","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","2","False","case-3-run-2.json",,"False","False","1","False","512","128","127","567.7975","236.4929","231.9009","2207.83964185","2164.96985745","512","0","0","0","0","1020.8624","124.404621034","124.404621034","8.0189","8.0838","8.263","492859392","7852032","0","0","0","0","0","0"
"calibrated-b1-t8-p512-n128","3","False","case-3-run-3.json",,"False","False","1","False","512","128","127","569.9145","237.7203","232.625","2200.96722192","2153.79166188","512","0","0","0","0","1021.9155","124.276420115","124.276420115","8.027","8.0818","8.3326","492867584","7852032","0","0","0","0","0","0"
"h128-g16-head-b1-t8-p512-n128","3","False","case-2-run-3.json",,"False","False","1","False","512","128","127","629.4084","238.1966","233.6225","2191.56973322","2149.48492128","512","0","0","0","0","1055.8189","120.285780071","120.285780071","8.2942","8.3579","8.402","508661760","7852032","0","0","0","0","0","0"
"g16-head-b1-t8-p512-n128","3","False","case-1-run-3.json",,"False","False","1","False","512","128","127","629.239","237.6115","232.9317","2198.06921943","2154.77786218","512","0","0","0","0","1055.1129","120.366266018","120.366266018","8.2949","8.3496","8.4957","508755968","7852032","0","0","0","0","0","0"
"mse16-b1-t8-p512-n128","3","False","case-0-run-3.json",,"False","False","1","False","512","128","127","572.8184","238.4501","232.3816","2203.27254826","2147.19977052","512","0","0","0","0","1021.7071","124.301769069","124.301769069","8.0349","8.093","8.2784","492855296","7852032","0","0","0","0","0","0"
