position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,310,0.12000562829694895,0.7425557870381674,1.072110157489206,0.32955437045103864,310,310,True,1.4897785186767578,True,True,0.8,0.8,0.54196755858127,0.9783898870275798
1,2306,0.08452791699513111,7.120976712095494,7.428613738800351,0.3076370267048567,4300,4300,True,1.3344268798828125,True,True,0.8,0.9,0.5301478648637538,0.9824377415504847
2,1754,0.10005951982734268,2.6131306959576257,2.967114968565646,0.35398427260802023,836,836,True,0.9808158874511719,True,True,1.0,1.0,0.5354505342892546,0.9811121306639385
3,9849,0.14725066103332407,4.856093106600348,5.857815998860339,1.0017228922599912,10014,10014,True,0.9473533630371094,True,True,0.8,0.9,0.5345882972494866,0.981525339205961
4,440,0.049460809062383336,0.6219192311416712,0.7055626149743119,0.0836433838326407,440,440,True,2.1484947204589844,True,True,0.8,0.9,0.5638311473499077,0.9777048326084705
5,279,0.19794261439637714,1.2953412216933131,1.9849868199719296,0.6896455982786165,836,264,False,0.23670387268066406,True,True,1.0,0.8,0.6253451033476287,0.9738942983297577
6,5819,0.18597736027772618,3.5758454304122367,3.796375565679142,0.22053013526690535,803,803,True,0.8067340850830078,True,True,0.6,0.7,0.5552241955287966,0.9794561853834286
7,803,0.13332368774394074,1.2870396853397281,1.3666213409537136,0.07958165561398545,803,803,True,0.5744895935058594,True,True,0.8,0.9,0.6039210899641784,0.9762664858681144
8,11,0.022963677934542234,0.8632424096311233,0.7557903770189895,-0.10745203261213376,321,11,False,0.039432525634765625,True,True,1.0,0.9,0.5204287481357788,0.9799494432713161
9,22700,0.12961540510632957,4.734393615994943,5.134404511457721,0.4000108954627777,9140,9140,True,0.2000141143798828,True,True,0.8,0.9,0.5783575677647231,0.9794891640055502
10,1007,0.07000768825382304,4.4973031943461805,4.769457053939771,0.2721538595935904,2321,2321,True,2.6380538940429688,True,True,0.8,0.9,0.6415519326653607,0.9752666943572729
11,11,0.0049154650329312774,0.032612905008399196,0.038201578563814564,0.005588673555415369,11,11,True,4.01690673828125,True,True,1.0,0.9,0.5479964654347446,0.9792906984903664
12,321,0.04824183470750687,0.23816375149396762,0.15622773508003363,-0.081936016413934,321,321,True,3.2636642456054688,True,True,0.8,0.9,0.5533968865778204,0.9809007814827598
13,7578,0.14582086368210118,6.614847947200591,5.3199173001361295,-1.2949306470644615,264,264,True,0.6430263519287109,True,True,0.8,0.8,0.5742910474737689,0.9797020964445542
14,4530,0.3336405358603249,1.193742393357823,1.5132313176621004,0.31948892430427733,4530,4530,True,1.0110549926757812,True,True,0.4,0.7,0.6281719768711942,0.9770950475375838
