position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,220,5.804122105544523e-07,6.17632505139909e-07,1.7517690906743155e-06,1.1341365855344065e-06,220,220,True,15.751730918884277,True,True,1.0,0.9,0.4516461221066152,0.9821661079384499
1,20,9.602434176516593e-07,2.945989205471733e-06,5.703304317705715e-06,2.7573151122339823e-06,20,20,True,14.032587051391602,True,True,0.8,1.0,0.46749530985696586,0.98143636251959
2,17,2.8000608556737424e-06,2.111299045637338e-05,3.0438507558017136e-05,9.325517101643754e-06,17,17,True,11.335514068603516,True,True,1.0,1.0,0.372871866409017,0.9840513404599281
3,198,3.1106077984471174e-06,1.2130322485148781e-05,2.22362406070431e-05,1.010591812189432e-05,198,198,True,12.630012512207031,True,True,1.0,0.9,0.42079100489719057,0.9806404642726497
4,262,3.00007251485101e-07,5.380597585258329e-07,1.0577867897154647e-06,5.197270311896318e-07,262,262,True,15.490711212158203,True,True,0.8,1.0,0.4771125398331878,0.9775467724210798
5,413,5.977498566261008e-07,2.6129014898401692e-06,2.6109127730933324e-06,-1.9887167468368716e-09,413,413,True,14.85555648803711,True,True,0.6,0.9,0.5113780499334178,0.9840788136869946
6,2343,2.4032713794594736e-07,8.121228233903821e-06,7.717790555972215e-06,-4.0343767793160623e-07,2343,2343,True,12.167957305908203,True,True,1.0,0.8,0.49740183410661676,0.9869453842764448
7,19490,4.932920484459649e-06,7.412520288596625e-05,7.852993768509009e-05,4.404734799123844e-06,19490,19490,True,10.91836929321289,True,True,1.0,0.8,0.4394947428459501,0.985152762183677
8,8,8.667282707700279e-08,2.585585860970241e-07,5.130807139153148e-07,2.5452212781829076e-07,8,8,True,15.611043930053711,True,True,1.0,1.0,0.494637251271771,0.9809211592629868
9,361,1.6451315225986695e-06,2.6781397295394527e-06,6.425082965222373e-06,3.74694323568292e-06,361,361,True,14.218910217285156,True,True,1.0,0.9,0.48159819322826103,0.9841334623656743
10,2297,1.066250088171374e-05,3.064242162409414e-05,5.226881627962143e-05,2.1626394655527292e-05,2297,2297,True,11.598430633544922,True,True,1.0,0.9,0.5167659768622344,0.9856334035691359
11,25,8.053375258255195e-06,1.1142955791854092e-05,3.0209326496333233e-05,1.906637070447914e-05,25,25,True,11.464853286743164,True,True,0.8,0.9,0.440300166824417,0.9797619480498575
12,198,1.42469850890502e-06,1.9751930082634317e-06,5.0134050653127815e-06,3.03821205704935e-06,198,198,True,13.769721984863281,True,True,1.0,0.9,0.4478274231262493,0.9784843086400546
13,285,2.805484956389949e-06,1.2550517567433417e-06,5.412491404399589e-06,4.157439647656247e-06,285,285,True,14.654594421386719,True,True,0.8,0.9,0.5235077155629243,0.9761388988229466
14,460,5.311512502447728e-07,2.5700115813265256e-06,3.4510329243175875e-06,8.810213429910618e-07,460,460,True,14.19841194152832,True,True,1.0,0.9,0.5301668921446866,0.9836557188002519
15,2958,2.2327028901055983e-06,5.010470465904859e-05,5.2543533364257655e-05,2.438828705209062e-06,2958,2958,True,11.047012329101562,True,True,1.0,0.9,0.5007030978385577,0.9828404416532295
16,198,7.06758073436233e-07,3.7084800155184894e-06,5.456075086840428e-06,1.747595071321939e-06,198,198,True,12.858993530273438,True,True,0.8,0.9,0.39597002930997555,0.9838147703519511
17,262,8.970176806018555e-07,1.3693085065824562e-06,3.507461450169558e-06,2.1381529435871016e-06,262,262,True,13.712270736694336,True,True,0.8,0.9,0.4622292012571918,0.9807680319729652
18,2702,7.236040334630603e-07,4.354563579056503e-06,6.257276297105818e-06,1.9027127180493153e-06,2702,2702,True,13.264026641845703,True,True,0.8,0.7,0.5455482164802616,0.9847071416937189
19,283,1.8246355214932148e-07,3.3780489872015096e-07,6.906714702381578e-07,3.528665715180068e-07,283,283,True,15.704143524169922,True,True,1.0,0.8,0.45121987124682567,0.9815524947300358
20,2542,7.18495465437814e-07,1.016870953662874e-06,2.5560792629164553e-06,1.5392083092535813e-06,2542,2542,True,15.385961532592773,True,True,0.8,0.9,0.4794513715108085,0.9885224563244794
21,19490,3.109385807583121e-06,4.109528350326741e-05,4.50427761222727e-05,3.947492619005288e-06,19490,19490,True,11.395317077636719,True,True,0.8,0.7,0.4838861395859027,0.9821931863029599
22,3337,2.4482963990524443e-05,8.862155353384082e-05,0.00014613697919685364,5.751542566301282e-05,3337,3337,True,10.117778778076172,True,True,1.0,0.8,0.5131177751851599,0.9788012375040513
23,2998,1.3361719081015748e-05,4.6936474404901674e-05,7.578628027715695e-05,2.8849805872255274e-05,2998,2998,True,11.613656997680664,True,True,0.8,0.9,0.5521667228999615,0.9806356461238448
24,2387,1.3130355613538646e-06,3.446961827080486e-06,5.4241697640122766e-06,1.9772079369317908e-06,2387,2387,True,13.380565643310547,True,True,0.8,1.0,0.5417768490480579,0.9764266245707354
25,198,3.1425810191408667e-07,2.234235367382098e-06,3.2441105766167766e-06,1.0098752092346786e-06,198,198,True,13.621383666992188,True,True,0.8,0.8,0.4350362314074352,0.9803247359509769
26,262,3.012000515661337e-07,4.97709571334326e-07,1.2471413057824066e-06,7.494317344480805e-07,262,262,True,14.680868148803711,True,True,0.8,0.9,0.5009813186821543,0.9767119096125647
27,1067,1.2225990476548306e-06,3.565007137495968e-06,4.5139983626540925e-06,9.489912251581245e-07,1067,1067,True,14.273168563842773,True,True,0.8,0.8,0.5374458269268875,0.9848324557543146
28,283,1.8693228569149273e-07,2.5294874461678774e-07,6.38899322780162e-07,3.859505781633743e-07,283,283,True,16.473583221435547,True,True,0.8,0.9,0.47256082732225435,0.9807249746411291
29,498,1.6777173168148973e-06,5.498572480888697e-06,2.754133959115279e-06,-2.744438521773418e-06,498,498,True,12.786687850952148,True,True,0.8,0.8,0.5051511630530984,0.981818201048315
