position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,303,0.00026059859895386346,0.00023453292367392464,5.57870316590936e-05,-0.00017874589201483104,303,303,True,9.726289749145508,True,True,0.8,0.8,0.7692641863286125,0.9477239539980025
1,2020,2.864005727042457e-05,0.0006009390296100037,0.0005785039405203918,-2.2435089089611893e-05,2020,2020,True,7.732448577880859,True,True,0.8,0.8,0.9268571799855976,0.939533752631478
2,15943,0.0005797522434721308,0.00517546265997737,0.0036476589368881207,-0.0015278037230892494,15943,15943,True,5.460603713989258,True,True,1.0,0.6,0.9162755359154718,0.9299314961303295
3,11,0.0009697194742653667,0.007287847165915906,0.008994088912078979,0.001706241746163073,11,11,True,6.082231521606445,True,True,1.0,0.9,0.7532059996451437,0.9429594958649797
4,2343,0.000567584036198031,0.002079980947492288,0.001736167234053454,-0.00034381371343883416,2343,2343,True,6.829521179199219,True,True,0.8,0.8,0.9275320105742063,0.9454956326795267
5,19490,9.845419956390069e-05,0.00019303896564792922,0.00036779870487180233,0.0001747597392238731,19490,19490,True,10.194978713989258,True,True,0.8,0.9,0.819362183368704,0.9462770357330889
6,35497,0.002312072125298614,0.005144958708743985,0.0025769714362198215,-0.0025679872725241637,35497,35497,True,6.036947250366211,True,True,1.0,0.9,0.8479477094964898,0.9383242505573968
7,198,0.00042942040700098296,0.000460233785684494,8.922602644290123e-05,-0.0003710077592415928,198,198,True,8.867168426513672,True,True,1.0,0.9,0.7996578609809849,0.937156067094658
8,285,0.0004710112513461589,0.0005149449507051429,0.00011138068012428448,-0.0004035642705808584,285,285,True,8.961301803588867,True,True,0.8,0.9,0.8184200753479718,0.9307242601340008
9,2702,0.038099551491834645,0.02936930006460514,0.09090546643525244,0.061536166370647294,2702,2702,True,4.117593765258789,True,True,0.6,1.0,0.8703543163507839,0.9503312896698459
10,1373,0.020876893427402936,0.026271607473042025,0.039561672917695745,0.01329006544465372,1373,1373,True,4.010309219360352,True,True,0.6,0.9,0.7124622318067774,0.9431201673863995
11,2663,0.0004493841934341314,0.0011600248768246502,0.0018456179045500676,0.0006855930277254174,2663,2663,True,7.636579513549805,True,True,0.8,0.8,0.9260843199572751,0.9490098217213765
12,957,0.00045109817703133554,0.0011376850481710221,0.0011079574208281429,-2.972762734287926e-05,957,957,True,8.209583282470703,True,True,0.6,0.9,0.8122688060009249,0.933499844180585
13,60,0.000948238518244195,0.008943150669477262,0.007017408074787568,-0.0019257425946896944,60,60,True,5.392738342285156,True,True,0.8,0.8,0.7310752103419518,0.9413464535328773
14,471,0.05034068168047515,0.026549159797280453,0.0015533105959093518,-0.0249958492013711,471,471,True,3.6996421813964844,True,True,1.0,0.9,0.7233731339750895,0.9422749725559026
15,2663,0.0003422907322142988,0.0009757119345579213,0.0007388818820075471,-0.00023683005255037415,2663,2663,True,7.713172912597656,True,True,1.0,0.7,0.9443566142508399,0.9459179162745587
16,957,0.00036647341887040817,0.0008190717416844961,0.0007532928369435865,-6.577890474090964e-05,957,957,True,8.212118148803711,True,True,1.0,0.8,0.883130292724687,0.9296377803646427
17,9069,0.0015708479004077197,0.007231173481514475,0.007830357370529839,0.0005991838890153645,9069,9069,True,5.803863525390625,True,True,0.8,0.7,0.6708515553743828,0.9589408354280037
18,60,0.002602150950241694,0.014293105368221148,0.013237331603850322,-0.0010557737643708265,60,60,True,4.654842376708984,True,True,0.8,0.9,0.8273334185539786,0.9320112857068629
19,198,0.001333290363724203,0.013175320985475025,0.009794985237974174,-0.003380335747500851,198,198,True,5.402797698974609,True,True,0.8,0.9,0.782571060311089,0.932320631264494
20,285,0.0001663959958211052,0.0003049233046041877,0.00010197974588521674,-0.00020294355871897096,285,285,True,8.776390075683594,True,True,1.0,0.9,0.8306650928091383,0.9203984457878609
21,1067,0.0034290164959192267,0.005776080375696324,0.0030938561703166556,-0.0026822242053796685,1067,1067,True,5.866312026977539,True,True,1.0,0.8,0.9434551887782745,0.9446506634463485
22,1989,0.005476561064774702,0.0011599970202382792,0.008265026004995235,0.007105028984756956,1989,1989,True,8.056093215942383,True,True,0.8,0.9,0.8846425543014308,0.9282313951019574
23,22131,0.0008679659489746554,0.004086360086326124,0.0026894027033073087,-0.0013969573830188153,22131,22131,True,5.868707656860352,True,True,0.6,0.8,0.9020466013969093,0.9354477182388322
24,593,0.0013393565997461064,0.0028857991385571324,0.001261474085684,-0.0016243250528731323,593,593,True,6.040370941162109,True,True,0.8,0.8,0.7768165628708847,0.9429269966206064
25,2297,0.00015683356972529867,0.0006667663929427192,0.0006515540591287561,-1.5212333813963141e-05,2297,2297,True,8.44436264038086,True,True,0.6,0.9,0.8897265667447576,0.9529118179840441
26,8,0.0009687694039183006,0.001611747035106248,0.0034986424275160743,0.0018868953924098264,8,8,True,7.51524543762207,True,True,1.0,0.9,0.8260194567030801,0.9347965930582287
27,198,0.0005832866529139529,0.0013477319890711215,0.0014532903732806801,0.00010555838420955865,198,198,True,7.154439926147461,True,True,0.8,0.8,0.7262670321547335,0.9435897177808421
28,262,0.0002829117213280161,0.0005163566995847191,0.0005525952884646301,3.623858887991105e-05,262,262,True,7.8462677001953125,True,True,1.0,0.8,0.8147338664282289,0.9295868989426374
29,460,0.00021151392051054957,0.00146274936751567,0.0017272234991203561,0.00026447413160468614,460,460,True,7.733554840087891,True,True,0.8,0.8,0.7422576609733587,0.9575486268811592
30,1067,0.0013626989602000031,0.003370718529883021,0.002658911445536205,-0.0007118070843468161,1067,1067,True,6.692392349243164,True,True,0.8,0.9,0.8511613864542154,0.9532308169997871
31,271,0.07094982561898043,0.09706433882573151,0.25897919065981867,0.16191485183408716,271,271,True,3.1226024627685547,True,True,0.8,0.9,0.7454408401178351,0.9331731878810049
32,727,0.028068938414594034,0.23981940174683203,0.24926796789842243,0.009448566151590398,727,727,True,2.259296417236328,True,True,1.0,0.6,0.6585137605510337,0.9610134477003047
