position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,32,0.031124092028846823,2.972106074897596,2.677421249030985,-0.2946848258666108,760,760,True,0.06959724426269531,True,True,0.8,0.9,0.3249324849019186,0.9907555251173236
1,3618,0.043496022774735785,0.6113239178775736,0.5221102864102214,-0.08921363146735217,3618,3618,True,1.3423919677734375,True,True,1.0,0.8,0.3218627778810845,0.9920089551826131
2,5435,0.005758269554226216,0.06786787412577411,0.08190064307397549,0.01403276894820138,5435,5435,True,4.244220733642578,True,True,0.8,0.8,0.3554025143940938,0.9897470784274783
3,220,0.0007550359160363615,0.02569453897693208,0.02605845744126256,0.0003639184643304816,220,220,True,5.133627891540527,True,True,1.0,0.8,0.3274609986826583,0.9913374502760463
4,19,0.03458702882509447,2.2327840770296667,2.0895196438684245,-0.14326443316124227,18,18,True,1.710103988647461,True,True,1.0,1.0,0.3313650047769544,0.9819349959116038
5,2438,0.008667192723885973,0.35948104342310927,0.36775689830692215,0.008275854883812883,2438,2438,True,2.3603944778442383,True,True,0.8,1.0,0.28354162247921455,0.9941526472936386
6,19715,0.01028994770069578,0.03447624244615355,0.06746632024723098,0.03299007780107743,19715,19715,True,3.6098766326904297,True,True,0.8,0.9,0.35415923556817197,0.9911690589820894
7,321,0.003874651142837094,0.08688022725249311,0.08317886809883746,-0.003701359153655659,321,321,True,2.784252166748047,True,True,0.8,0.9,0.36969813942368585,0.9884019594523356
8,220,0.000551351639058429,0.004356202651521812,0.006566296442020558,0.002210093790498746,220,220,True,6.965999603271484,True,True,0.8,0.9,0.3284744394051328,0.990626928430599
9,22,0.019786683145128083,4.160813315813208,4.115269519354008,-0.04554379645919937,21,21,True,0.7414512634277344,True,True,0.8,1.0,0.3035757734276006,0.9841962420976993
10,6105,0.0016848537997319099,0.03836472487623155,0.0460624725851666,0.007697747708935054,6105,6105,True,4.232662200927734,True,True,1.0,0.9,0.33185613031483435,0.9920927616138667
11,19715,9.602896257482503e-05,0.0003822431895024181,0.0006671854709736635,0.00028494228147124545,19715,19715,True,9.544879913330078,True,True,0.8,0.8,0.4626962302153767,0.9874383089112527
12,13,0.00020267940897541144,0.007670198993395161,0.008539906918478835,0.0008697079250836737,13,13,True,6.18269157409668,True,True,0.8,1.0,0.3544477099823118,0.9882908117706406
13,2532,0.007343681998358939,0.33907295516914004,0.2949849999065144,-0.044087955262625655,2532,2532,True,1.4150657653808594,True,True,1.0,0.9,0.38227536602795625,0.9883392831393256
14,513,0.00018377641481556655,0.004305039841149494,0.005436496197784635,0.001131456356635141,513,513,True,5.505109786987305,True,True,1.0,0.9,0.4045461624641175,0.9875430403535255
15,220,0.0004415558217877416,0.006247993046184064,0.005252116401660345,-0.0009958766445237188,220,220,True,6.370931625366211,True,True,1.0,0.8,0.3708529551506173,0.9875868045127002
16,16,0.0317550241274616,0.19428886526879197,0.31961243228288794,0.12532356701409597,16,16,True,2.727853775024414,True,True,1.0,1.0,0.33583077212427176,0.9854607107823499
17,16,0.006156172951297921,0.0410551853568748,0.06729198711174789,0.026236801754873085,16,16,True,3.7942867279052734,True,True,1.0,1.0,0.3507710150029857,0.985455740949284
18,19715,0.0006081691365560502,0.009674052443987335,0.011259110501750769,0.0015850580577634332,19715,19715,True,5.389293670654297,True,True,0.8,0.8,0.35785935156620735,0.9913829685635307
19,303,5.077101199700288e-05,0.0077643892694645444,0.007728907413461883,-3.5481856002661516e-05,303,303,True,5.573240280151367,True,True,0.8,0.9,0.3646716939340364,0.9898430544580017
