position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,220,7.9640252446291e-07,1.7517690906743155e-06,1.1397271784119312e-06,-6.120419122623844e-07,220,220,True,14.76778507232666,True,True,0.6,0.9,0.7741773250310477,0.9469780521483068
1,20,9.19685912291482e-07,5.703304317705715e-06,3.74388623924915e-06,-1.959418078456565e-06,20,20,True,13.44156265258789,True,True,1.0,0.9,0.7658654268802412,0.9503070646647602
2,17,4.1995661225768135e-06,3.0438507558017136e-05,1.9322376218156023e-05,-1.1116131339861113e-05,17,17,True,10.92620849609375,True,True,1.0,1.0,0.6593219368374013,0.9508567700451417
3,198,4.737639544920324e-06,2.22362406070431e-05,2.0209476510046898e-05,-2.026764096996203e-06,198,198,True,12.192407608032227,True,True,0.8,0.9,0.7820703635629697,0.935125330994889
4,262,4.361851578610775e-07,1.0577867897154647e-06,7.505896491011299e-07,-3.071971406143348e-07,262,262,True,14.558734893798828,True,True,0.6,1.0,0.8282264098846697,0.9321401394169236
5,413,1.2391473546013542e-06,2.6109127730933324e-06,4.5288706616020136e-06,1.917957888508681e-06,413,413,True,14.771976470947266,True,True,0.8,0.8,0.8696803691016091,0.9534735798971735
6,2343,6.124363240096738e-06,7.717790555972215e-06,1.8380282043040097e-05,1.0662491487067882e-05,2343,2343,True,12.350080490112305,True,True,0.8,0.7,0.9447928702329424,0.9523065072040258
7,19490,1.8266080313359358e-05,7.852993768509009e-05,6.965696561067602e-05,-8.872972074414065e-06,19490,19490,True,11.035686492919922,True,True,0.8,0.7,0.7902157411275047,0.9513096633470751
8,8,2.2050605210932734e-07,5.130807139153148e-07,1.016843178547333e-06,5.037624646320182e-07,8,8,True,15.029014587402344,True,True,0.8,1.0,0.8672034042473126,0.93935539282712
9,361,6.143996138604207e-06,6.425082965222373e-06,5.998232914805612e-06,-4.268500504167605e-07,361,361,True,12.900123596191406,True,True,0.8,0.7,0.8535639303908416,0.9509618911098165
10,2297,1.8766072825749804e-05,5.226881627962143e-05,6.0018076563750355e-05,7.749260284128923e-06,2297,2297,True,11.383161544799805,True,True,1.0,0.7,0.9567296799232077,0.9504484654906286
11,25,6.030304352748597e-06,3.0209326496333233e-05,1.557953888919883e-05,-1.4629787607134404e-05,25,25,True,10.471851348876953,True,True,0.8,0.7,0.8437755997866381,0.9254245267087918
12,198,5.238185018043062e-06,5.0134050653127815e-06,8.867579808224946e-07,-4.126647084490287e-06,198,198,True,12.592077255249023,True,True,0.8,1.0,0.7489711039611173,0.9394758250552743
13,285,1.1741881301955082e-05,5.412491404399589e-06,7.83350309063735e-07,-4.629141095335854e-06,285,285,True,12.786815643310547,True,True,0.8,0.9,0.8928470421822736,0.931051989918157
14,460,2.7622350990338453e-06,3.4510329243175875e-06,5.50044313385456e-06,2.0494102095369726e-06,460,460,True,13.916746139526367,True,True,0.6,0.9,0.9785926191920501,0.9450230819959499
15,2958,5.700183174692547e-05,5.2543533364257655e-05,0.00015131447445071444,9.877094108645679e-05,2958,2958,True,11.209949493408203,True,True,0.8,0.9,0.9856196872259237,0.9350134116659937
16,198,4.406289818767863e-06,5.456075086840428e-06,9.766259399413002e-06,4.310184312572574e-06,198,198,True,12.809154510498047,True,True,0.6,0.8,0.7326414799152847,0.9427713919908906
17,262,3.85712135188153e-06,3.507461450169558e-06,6.722558367755482e-07,-2.8352056133940096e-06,262,262,True,12.789409637451172,True,True,0.8,0.9,0.8495786496100184,0.9385256160038783
