position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,321,0.12221823580836785,0.9673784330469211,1.5448455870234703,0.5774671539765492,321,321,True,0.7985477447509766,True,True,0.8,0.8,0.6242668246890736,0.9721272988018282
1,6650,0.16114324965654536,5.7241628344652185,5.329240431605847,-0.39492240285937186,42536,42536,True,1.7667608261108398,True,True,0.8,0.9,0.6798874294567189,0.9700052434013077
2,321,0.04061774325925758,1.849569332882858,2.120433340535463,0.2708640076526052,641,641,True,0.8114738464355469,True,True,1.0,0.8,0.6047794664507435,0.9699810905817008
3,279,0.30592815516182154,4.066234163908355,2.777074380628253,-1.2891597832801018,42536,42536,True,2.178715705871582,True,True,0.6,0.7,0.7015744953562726,0.9680809768895311
4,3074,0.2059232607317279,5.864521506654668,6.656462180778615,0.7919406741239463,3516,3516,True,0.00225830078125,True,True,0.8,0.8,0.6807287587325209,0.9676896335528781
5,328,0.3335193392930521,0.7171517880778744,1.4892209504001208,0.7720691623222464,328,328,True,1.3179645538330078,True,True,0.8,0.7,0.8788229618041424,0.9485101499978483
6,220,0.07706204004999026,5.783104657100793,5.164294026385427,-0.618810630715366,27909,27909,True,0.21781635284423828,True,True,0.8,0.9,0.4986235826280014,0.9781059494552621
7,18,0.11172569610267045,3.09619777640847,3.0051332031320044,-0.09106457327646567,16,16,True,0.3947172164916992,True,True,0.6,0.9,0.4922959511590541,0.974966615056377
8,15,0.08198432192790986,1.332713080071393,1.4098926824318774,0.07717960236048427,15,15,True,1.4624300003051758,True,True,0.8,0.9,0.4883067999938691,0.9803714806013418
9,593,0.07139570327166286,5.842389843601143,6.1906494110161745,0.34825956741503106,15,15,True,1.6573076248168945,True,True,0.8,0.8,0.4897818593060562,0.9821032963655151
10,220,0.029818192563906457,0.2390537327507296,0.17629236404480864,-0.06276136870592097,220,220,True,3.1663360595703125,True,True,0.8,1.0,0.4914484230012414,0.9794470833521198
11,18,0.06248434105149067,0.7960230432409716,1.001591166938443,0.20556812369747135,18,18,True,1.2108383178710938,True,True,0.6,1.0,0.46659328987468984,0.970020027726444
12,15,0.024317693592316728,0.15629908397217562,0.2500950275273901,0.09379594355521448,15,15,True,2.656278610229492,True,True,0.8,1.0,0.49411945004114827,0.9732926760923337
13,554,0.033408570372265,9.550178456189922,9.457548713594939,-0.09262974259498336,328,328,True,2.8546924591064453,True,True,0.8,0.6,0.5245438869222758,0.9749330490938504
14,12,0.05541668872815463,0.533357814253673,0.4021260254429109,-0.13123178881076214,12,12,True,1.7095108032226562,True,True,0.8,1.0,0.558819768427992,0.9672282949977563
15,31,0.05431642924661388,0.17526738519116947,0.09741271894657544,-0.07785466624459403,31,31,True,1.9509391784667969,True,True,0.6,0.9,0.6598087650531942,0.9522944404138449
16,220,0.21169152115449344,3.304168809331429,3.254880316942245,-0.04928849238918431,328,328,True,1.700906753540039,True,True,0.6,0.9,0.6665954184779477,0.9620210386010585
17,16,0.02974747961681292,2.6603326934413865,2.761073311889106,0.10074061844771975,18,18,True,2.289417266845703,True,True,1.0,0.9,0.5208104924045008,0.9659180123188444
18,20,0.07918527476530014,2.7536696892188885,2.8638134413310325,0.110143752112144,15,15,True,1.061330795288086,True,True,0.8,0.9,0.5381775163486682,0.9714224136957904
19,15,0.12026697774495403,2.5836619192269055,1.7340399569978544,-0.8496219622290511,328,328,True,1.5667753219604492,True,True,1.0,0.7,0.5189009412009719,0.9747951027545011
20,328,0.10535441753002944,0.876072665061514,1.234358526131036,0.35828586106952187,328,328,True,0.977569580078125,True,True,1.0,0.7,0.5267405954791853,0.9748427447216825
21,557,0.08148992130575375,0.769294112425122,1.039852816665796,0.2705587042406741,557,557,True,1.670562744140625,True,True,0.8,1.0,0.5737318532137842,0.9753027828741689
22,36695,0.11058987917406889,4.672186010974798,4.8350425085824575,0.16285649760765963,22196,22196,True,1.6971187591552734,True,True,0.8,0.8,0.5723545371554087,0.9774747061417738
23,364,0.002523510167950919,0.017410926658030235,0.01783602493683034,0.00042509827880010675,364,364,True,5.192138671875,True,True,0.8,1.0,0.5499412261097155,0.9766924175478511
24,6886,0.14355962480202578,2.576740730361106,3.0926112565507218,0.5158705261896159,264,279,False,0.1506938934326172,True,True,0.8,0.6,0.6565798760526315,0.9721823678543529
25,18626,0.20122367234490934,2.2222841019568484,2.1133328564299276,-0.10895124552692081,1478,1478,True,0.4079608917236328,True,True,0.8,0.8,0.8083116366769072,0.9581715959952026
26,20025,0.41067677836817773,3.644309963630416,3.688605591538746,0.04429562790832975,24847,24847,True,0.7231912612915039,True,True,0.2,0.9,0.8762894366849941,0.9539735233997217
27,506,0.3063808208596235,1.6627143199164465,1.8157363445669503,0.15302202465050385,641,314,False,0.2408599853515625,True,True,0.8,0.9,0.7316853140870259,0.9642881259539509
