position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,13,0.001110241014281846,0.0023153675046216904,0.0010750457535877445,-0.001240321751033946,13,13,True,6.807920455932617,True,True,0.8,0.8,0.6574339228744778,0.958042355868025
1,561,0.0021716454179616014,0.011729682077216808,0.016688437526319433,0.004958755449102625,561,561,True,4.903436660766602,True,True,0.8,0.8,0.5959753525060169,0.9690402151424995
2,6463,0.0007774230917061295,0.0006694027900167043,0.0016322041302458956,0.0009628013402291913,6463,6463,True,8.221778869628906,True,True,1.0,0.8,0.7346112275109643,0.9679460671850725
3,1881,0.00012399497646771421,0.0036724945038493217,0.003237824604134687,-0.00043466989971463477,1881,1881,True,5.669376373291016,True,True,0.8,0.7,0.6663370872039355,0.969611428883486
4,23173,0.0027347847863903843,0.0007446385210592155,0.004705716353996081,0.003961077832936866,23173,23173,True,8.23182487487793,True,True,1.0,0.9,0.819990571063273,0.9604131362927955
5,30308,6.279540652031146e-05,7.544741684029077e-05,0.00015032358956545977,7.4876172725169e-05,30308,30308,True,10.310287475585938,True,True,0.8,0.9,0.7343363825335258,0.972554985254891
6,369,9.471111644849934e-05,0.0003426219171380751,0.0005603909229598969,0.0002177690058218218,369,369,True,9.317218780517578,True,True,0.8,0.9,0.7575293996510069,0.954788721019369
7,318,0.0012402731587886047,0.003370871547584642,0.0045631861943178365,0.0011923146467331946,318,318,True,6.515058517456055,True,True,0.6,0.8,0.6429160876829993,0.959563073156779
8,18,0.06340586440520538,0.0907741029579121,0.02101924730731497,-0.06975485565059714,18,18,True,2.818695068359375,True,True,0.8,0.9,0.6680868573412995,0.9552862012429842
9,10,0.000543884294872936,0.005626655722604568,0.006143495300332091,0.0005168395777275236,10,10,True,5.909551620483398,True,True,1.0,0.8,0.6687875419868404,0.9468684365127822
10,16,0.01888564606105838,0.17584725915376254,0.2610011477355627,0.08515388858180017,16,16,True,1.6832141876220703,True,True,1.0,0.9,0.6497389160351917,0.9536408230297884
11,28803,0.0007795719469124642,0.00042074483785370376,0.001584955955049594,0.0011642111171958902,28803,28803,True,9.259809494018555,True,True,0.8,0.8,0.7900059767692826,0.9458841500999197
