position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,7943,0.0476692786947106,5.7579972451240025,6.305934673858772,0.5479374287347696,4744,4744,True,0.4251565933227539,True,True,1.0,0.9,0.3265271376338492,0.9927592055006671
1,593,0.025064432640129346,4.858110904990891,4.487658979896452,-0.37045192509443936,735,735,True,2.5108470916748047,True,True,1.0,0.9,0.30950408456980977,0.9926974462310781
2,28336,0.052184699771386726,9.78842685240409,9.845804190618637,0.057377338214546825,4744,4744,True,1.0233163833618164,True,True,0.8,0.8,0.31029482429219246,0.9937227191061747
3,735,0.008577013468151226,0.18251480424814304,0.16935746847045863,-0.013157335777684409,735,735,True,2.603036880493164,True,True,0.8,0.8,0.3649989320771489,0.9898319245555919
4,41173,0.05674097566929308,9.135029155233227,9.561597349331354,0.4265681940981274,14739,14739,True,0.527409553527832,True,True,0.8,0.9,0.33733654983134465,0.9927937832475294
5,473,0.10722508212502763,2.506781607572691,3.7444141509612088,1.2376325433885178,2900,2900,True,1.9723844528198242,True,True,0.8,0.9,0.38767514372135226,0.9892564097063719
6,220,0.053287087618939376,5.021793019866166,5.016516800727242,-0.005276219138924176,735,735,True,2.020688056945801,True,True,1.0,0.7,0.41148042804912366,0.9897934373794397
7,20,0.06734061223976244,2.513619623681514,2.9269143242019986,0.4132947005204848,735,735,True,0.3525428771972656,True,True,1.0,0.9,0.4024001070875165,0.988240011326803
8,16,0.04094383051783805,4.1505648392757415,3.934464213029184,-0.21610062624655768,15,15,True,1.9039230346679688,True,True,0.8,0.7,0.3870784107811861,0.9899031223942374
9,17,0.019033453278641966,0.2198711210958777,0.17204395136787554,-0.04782716972800216,17,17,True,2.4921913146972656,True,True,0.8,0.7,0.3818741427518576,0.9893227387052227
10,735,0.11759354878995353,2.1079794991964746,1.4532156382611134,-0.6547638609353612,10885,10885,True,0.9974918365478516,True,True,0.6,0.6,0.37751841419888493,0.9913906287799082
11,41173,0.09324527567085812,6.1900110085254525,6.017114285103908,-0.1728967234215446,220,220,True,1.0708446502685547,True,True,0.6,0.8,0.44564819697912367,0.9878988854640661
12,473,0.0001971040758556096,0.0008812561382285367,0.0005469634815682411,-0.0003342926566602955,473,473,True,7.684370040893555,True,True,0.8,0.8,0.48009906873559505,0.9839401550541397
13,220,0.003547607661697143,0.050984289900558366,0.04855535721942417,-0.0024289326811341994,220,220,True,4.974559783935547,True,True,0.8,0.9,0.39458853962114837,0.9889180757104313
14,19,0.08095575708289293,3.699961241207312,5.557417502502581,1.857456261295269,16,16,True,1.2172279357910156,True,True,0.8,1.0,0.38662367862557334,0.9827158455884389
15,11,0.0609286396424232,6.869832304363555,5.926545431347112,-0.9432868730164436,42,42,True,0.23618316650390625,True,True,0.8,0.8,0.4424068338726548,0.9846828258480201
16,15,0.01768157912415105,0.15611698987466838,0.23218026696761385,0.07606327709294547,15,15,True,3.5852832794189453,True,True,0.8,1.0,0.4128445404040166,0.9842330190269032
