position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,16,0.004918499487017772,0.1940693914920537,0.17625144000646387,-0.017817951485589845,16,16,True,2.557117462158203,True,True,1.0,1.0,0.45241131799579193,0.9736869517140075
1,6,0.019217505577012527,0.8730502067865267,0.7214232577578166,-0.1516269490287101,15,6,False,0.20612144470214844,True,True,1.0,0.8,0.4823670920608251,0.9733173396367678
2,15,0.001026044822257658,0.007926185777478167,0.009493889844904402,0.0015677040674262344,15,15,True,5.984167098999023,True,True,1.0,1.0,0.48518367749854835,0.9714752860562863
3,15,0.002927449611763581,0.01711622488672404,0.011851478303839258,-0.005264746582884783,15,15,True,4.962282180786133,True,True,0.8,1.0,0.46364708852053566,0.9695205638893629
4,15,0.00018894096451004618,0.0011209829825808981,0.0017068471373598015,0.0005858641547789034,15,15,True,8.126075744628906,True,True,0.8,0.9,0.4493587125079687,0.9684482819209382
5,6,0.011764500948745822,0.05180620503550415,0.02953033302427599,-0.02227587201122816,6,6,True,3.2999534606933594,True,True,0.8,0.9,0.5231097869482269,0.9689598770593264
6,15,0.0005561582478734282,0.0013991655765259736,0.0028674076544916716,0.001468242077965698,15,15,True,7.603315353393555,True,True,1.0,1.0,0.5183254060104997,0.966151110178006
7,15,0.002591685018939249,0.003000462037867635,0.008596431449927167,0.005595969412059532,15,15,True,6.354421615600586,True,True,0.8,1.0,0.4673291133175897,0.9652754038350397
8,15,0.003465717503506806,0.00639367021473447,0.015460113487435478,0.009066443272701008,15,15,True,5.3722076416015625,True,True,1.0,1.0,0.4233680023490072,0.9683144883387095
9,26,0.07712914235732589,0.6919586309944776,1.1486237840791986,0.456665153084721,26,6,False,0.06756782531738281,True,True,1.0,0.8,0.5261172678591713,0.9680627749205526
10,271,0.07367797505207399,1.1121728397401043,1.7649147263938865,0.6527418866537822,198,198,True,0.7043056488037109,True,True,1.0,0.9,0.48094946819211765,0.9691025999298948
11,1911,0.031247439583813708,3.4352517372996942,3.7491440641357947,0.31389232683610047,92,92,True,0.027051925659179688,True,True,1.0,1.0,0.5120658173736311,0.9752391386839914
12,16065,0.052676528038044276,4.244929057771255,4.479779569524759,0.23485051175350335,1407,18920,False,0.21666336059570312,True,True,0.6,1.0,0.5341794615748361,0.9749897639064815
13,5029,0.1510041074191088,1.5046501289960013,1.7408933530038304,0.23624322400782916,5029,7,False,0.10004615783691406,True,True,0.8,0.8,0.6766911254596235,0.9589645118666484
14,476,0.0006146408287274453,0.0006467922345478883,0.0016139783908606375,0.0009671861563127493,476,476,True,8.676905632019043,True,True,0.8,0.8,0.8338629464503573,0.9403786211611563
15,284,0.6436786975807771,0.3612077961887543,1.5298200921061706,1.1686122959174163,284,284,True,2.5483169555664062,True,True,0.8,0.6,0.7424808755008073,0.9585856002886621
16,3430,0.3376902667008112,4.596925082225987,3.2823271026268337,-1.314597979599153,32462,32462,True,2.2463436126708984,True,True,0.8,1.0,0.7527881200031751,0.9575325497334883
17,25806,0.011206543979164306,0.015943663952324272,0.034521670887396994,0.01857800693507272,25806,25806,True,4.740390777587891,True,True,0.6,0.8,0.8256092193406104,0.9518338966162527
