position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,16,0.006038481267901045,0.21565336370563415,0.17625144000646387,-0.03940192369917028,16,16,True,2.3833847045898438,True,True,1.0,1.0,0.536923642519656,0.9627785691984645
1,6,0.03988406623297061,0.948416949538192,0.7214232577578166,-0.22699369178037543,15,6,False,0.28006744384765625,True,True,1.0,0.9,0.5627646512274123,0.9637060915421586
2,15,0.002145815842671619,0.013014025718938171,0.009493889844904402,-0.0035201358740337696,15,15,True,5.401426315307617,True,True,0.8,1.0,0.574705306304304,0.9591046761476556
3,15,0.0022509709521948106,0.015401613916850465,0.011851478303839258,-0.003550135613011207,15,15,True,5.297916412353516,True,True,0.8,0.9,0.5513064549851053,0.957230258407145
4,15,8.118143293232769e-05,0.001433790823060832,0.0017068471373598015,0.0002730563142989695,15,15,True,7.562686920166016,True,True,0.8,0.9,0.545965184635208,0.9547356306770829
5,6,0.003713629648615916,0.038191358080567284,0.02953033302427599,-0.008661025056291294,6,6,True,3.768310546875,True,True,1.0,0.9,0.6074826544931025,0.9586160886959296
6,15,0.0004303348818650039,0.0018185632436384935,0.0028674076544916716,0.001048844410853178,15,15,True,7.161870956420898,True,True,0.6,1.0,0.6214814601854295,0.9497605722858541
7,15,0.0032899859280518494,0.0024025093131321285,0.008596431449927167,0.006193922136795038,15,15,True,6.476226806640625,True,True,0.8,1.0,0.5543281653356773,0.951128080936687
8,15,0.0008638787583295854,0.01232606390083646,0.015460113487435478,0.0031340495865990192,15,15,True,4.602909088134766,True,True,0.8,1.0,0.5054237106928978,0.9550643283686253
9,26,0.1410634592691082,0.5713897445450122,1.1486237840791986,0.5772340395341864,26,6,False,0.3545207977294922,True,True,1.0,0.8,0.6242762818816359,0.9549353016828067
10,271,0.05021707979035066,1.208562312845821,1.7649147263938865,0.5563524135480655,198,198,True,0.8411579132080078,True,True,1.0,0.8,0.5928743817764037,0.9525407758143286
11,1911,0.06432053636607904,3.8101106965762987,3.7491440641357947,-0.06096663244050404,92,92,True,0.023807525634765625,True,True,0.8,0.9,0.6927826202494366,0.9544761077513262
12,16065,0.07912543933885172,3.8945345244858274,4.479779569524759,0.5852450450389313,18920,18920,True,0.5815505981445312,True,True,0.6,1.0,0.6382615397383968,0.9643472807625523
13,5029,0.1456408037730064,1.292897191263446,1.7408933530038304,0.4479961617403845,5029,7,False,0.5256252288818359,True,True,1.0,0.8,0.7896068217646365,0.944083658577293
14,476,0.0009121067800556275,0.0003608105916015347,0.0016139783908606375,0.0012531677992591028,476,476,True,9.336346626281738,True,True,0.8,0.8,1.0114120249185345,0.9137327102274249
15,284,0.8589729563086881,0.232073109096671,1.5298200921061706,1.2977469830094996,284,284,True,3.0328292846679688,True,True,0.8,0.7,0.9255783082267132,0.9358259233898227
16,3430,0.33646427888662434,5.078921566465958,3.2823271026268337,-1.7965944638391242,32462,32462,True,2.3025474548339844,True,True,0.6,0.7,0.9476261035569978,0.9326430878809165
17,25806,0.015363444758950223,0.017227900461534773,0.034521670887396994,0.01729377042586222,25806,25806,True,5.175670623779297,True,True,0.6,0.7,0.9912521271904647,0.9306420469973862
18,391,3.680065451694839,0.04048573894854357,3.956254930156934,3.9157691912083905,391,27,False,4.888906478881836,False,True,0.6,0.6,1.4093488088299668,0.8398697400394187
19,15622,0.3354120581742176,0.9743398272232326,0.6072443886016536,-0.367095438621579,15622,15622,True,0.6919336318969727,True,True,0.6,0.5,0.9994896518050934,0.9279391469920036
20,470,0.02700133542529893,0.06192119130276197,0.13086641726224713,0.06894522595948516,470,470,True,3.3652801513671875,True,True,0.8,0.7,1.011230936388797,0.9246571991202126
21,2200,0.1549070420407996,3.5019499971267294,2.790549917569191,-0.7114000795575386,27,27,True,1.5402812957763672,True,True,0.4,1.0,0.8160129080457147,0.9385904105853669
22,27,0.05668928655612836,0.25715269436797783,0.39484377940445015,0.13769108503647232,27,27,True,2.4255447387695312,True,True,0.8,0.7,0.7297417230820458,0.9441076766444205
23,15992,0.12514652752496763,9.044496028427393,7.96929981630425,-1.0751962121231422,13985,80,False,0.4964008331298828,True,True,0.6,0.8,0.7202201406617754,0.9586891364949441
24,476,0.3615806439207597,2.3223968265567194,2.249663592390931,-0.07273323416578847,476,476,True,0.5015907287597656,True,True,0.2,0.7,1.017711430424815,0.9118102572299613
25,48,0.15034678779124117,3.6675777910099825,4.279665502597698,0.6120877115877157,24531,2416,False,0.029180526733398438,True,True,0.6,0.7,0.6030014128031222,0.971703080665046
26,23,0.07095796645761306,4.494043137653861,4.564356828399923,0.07031369074606175,19,19,True,0.8897514343261719,True,True,0.8,0.8,0.7044870148035702,0.9578982093553661
27,62,0.2196757689764013,1.1432715527790407,0.6482177528206776,-0.49505379995836307,15,62,False,0.12252426147460938,True,True,0.6,0.7,0.6736634341729001,0.9591991520474388
28,15,0.0031892694425107123,0.022172707829021476,0.02984412519970192,0.0076714173706804445,15,15,True,4.634260177612305,True,True,1.0,0.8,0.7352122283698341,0.9551485599562572
29,4561,0.19295257593042803,4.346702002463459,4.863488396582721,0.5167863941192614,29,29,True,1.4615192413330078,True,True,0.6,0.7,0.6942498666503321,0.9566004212129502
30,29,0.17178723049166078,1.1302124946713974,1.1618981189732018,0.03168562430180444,29,29,True,1.026926040649414,True,True,0.8,0.6,0.6910579851471034,0.9591473162071243
31,1174,0.33937930706271546,0.34202908863449366,0.9853655780790866,0.643336489444593,1174,1174,True,2.0346527099609375,True,True,0.8,0.8,0.7477764051981051,0.9522392225051395
32,198,0.009232518686165177,0.3085445545252945,0.38143578303044734,0.07289122850515284,198,198,True,1.0596942901611328,True,True,1.0,0.8,0.6485839558886605,0.9507730955686698
33,1911,0.040118911402235065,0.1651510419906259,0.24986371640280325,0.08471267441217734,1911,1911,True,2.648897171020508,True,True,0.8,0.9,0.7377165273402246,0.9492470286026099
34,16065,0.006142378635206402,0.0019818601367731503,0.01042774132926283,0.00844588119248968,16065,16065,True,6.619144439697266,True,True,1.0,0.9,0.8316594785013655,0.9465876914453674
35,5029,0.0038114506431414694,0.008126177749012697,0.010070245158811275,0.0019440674097985777,5029,5029,True,5.988313674926758,True,True,0.8,0.9,0.7776933801365388,0.9401336320405836
36,476,5.78809919957381e-06,4.444632793365599e-06,1.2193797992665623e-05,7.749165199300023e-06,476,476,True,13.238061904907227,True,True,0.8,0.9,0.981518225853582,0.9275470791618494
37,284,0.013868204738023313,0.004861613616746752,0.024564403671483603,0.019702790054736852,284,284,True,7.025327682495117,True,True,1.0,0.6,0.8735066960536046,0.9445695075033079
38,3430,0.010944931912185834,0.03167570475097037,0.04176233150384334,0.010086626752872974,3430,3430,True,4.844816207885742,True,True,0.6,0.7,0.8116301746790575,0.9477930191052039
39,25806,6.477220342050124e-05,8.905429046279778e-05,0.0002081705334937567,0.00011911624303095891,25806,25806,True,9.937023162841797,True,True,0.8,0.6,0.9438596747147666,0.9401373065326508
40,391,1.291085457437268e-05,1.3134529567082609e-05,1.2382824291279348e-05,-7.517052758032605e-07,391,391,True,12.283536911010742,True,True,0.6,0.8,1.206366041185393,0.894413464299175
