position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,16,0.0032962405461641996,0.1940693914920537,0.21565336370563415,0.021583972213580438,16,16,True,2.557117462158203,True,True,1.0,1.0,0.31322998020616327,0.9872525181247819
1,6,0.007964999824025269,0.8730502067865267,0.948416949538192,0.07536674275166533,15,15,True,0.20612144470214844,True,True,1.0,0.9,0.3231124991769239,0.9881607478591724
2,15,0.0012834845514886424,0.007926185777478167,0.013014025718938171,0.005087839941460004,15,15,True,5.984167098999023,True,True,0.8,1.0,0.36099021853141905,0.9842541899384951
3,15,0.0013293159992288923,0.01711622488672404,0.015401613916850465,-0.0017146109698735756,15,15,True,4.962282180786133,True,True,1.0,0.9,0.30668591657951433,0.9867435532772709
4,15,0.00016705144478312427,0.0011209829825808981,0.001433790823060832,0.00031280784047993393,15,15,True,8.126075744628906,True,True,0.8,1.0,0.31289868371631074,0.985336251431513
5,6,0.0038645019206653706,0.05180620503550415,0.038191358080567284,-0.013614846954936866,6,6,True,3.2999534606933594,True,True,0.8,0.9,0.3448238417913833,0.9868482859179936
6,15,0.00010800457293026507,0.0013991655765259736,0.0018185632436384935,0.0004193976671125199,15,15,True,7.603315353393555,True,True,0.6,1.0,0.37364870582352505,0.9825478426901743
7,15,0.00014349917170030396,0.003000462037867635,0.0024025093131321285,-0.0005979527247355065,15,15,True,6.354421615600586,True,True,0.8,1.0,0.31400745445581096,0.9842345474186778
8,15,0.001920179738548916,0.00639367021473447,0.01232606390083646,0.005932393686101989,15,15,True,5.3722076416015625,True,True,0.8,1.0,0.28163519087469274,0.9859857238044577
9,26,0.011401436876131212,0.6919586309944776,0.5713897445450122,-0.1205688864494654,26,26,True,0.06756782531738281,True,True,1.0,0.9,0.3475787942370772,0.9860759151581818
10,271,0.0027852980595005064,1.1121728397401043,1.208562312845821,0.09638947310571666,198,198,True,0.7043056488037109,True,True,1.0,0.9,0.33518011005439435,0.9847729969457488
11,1911,0.09898607758540794,3.4352517372996942,3.8101106965762987,0.3748589592766045,92,92,True,0.027051925659179688,True,True,0.8,0.9,0.4149909154420295,0.9834268569021705
12,16065,0.06669314667833519,4.244929057771255,3.8945345244858274,-0.3503945332854279,1407,18920,False,0.21666336059570312,True,True,1.0,1.0,0.3480545453276669,0.9893526739190107
13,5029,0.04996758124518423,1.5046501289960013,1.292897191263446,-0.21175293773255532,5029,5029,True,0.10004615783691406,True,True,0.8,0.7,0.47681510154299295,0.9798409369208586
14,476,0.00019710135039459765,0.0006467922345478883,0.0003608105916015347,-0.00028598164294635353,476,476,True,8.676905632019043,True,True,1.0,0.9,0.48398245589251687,0.9805017782243777
15,284,0.050149437105435665,0.3612077961887543,0.232073109096671,-0.1291346870920833,284,284,True,2.5483169555664062,True,True,0.8,0.8,0.48021763877763435,0.9827958399761564
16,3430,0.04308751875386557,4.596925082225987,5.078921566465958,0.4819964842399713,32462,32462,True,2.2463436126708984,True,True,0.8,0.7,0.4726225407940279,0.9831674236770623
17,25806,0.002736507669677034,0.015943663952324272,0.017227900461534773,0.0012842365092105013,25806,25806,True,4.740390777587891,True,True,1.0,0.9,0.576582443757378,0.9765297322909188
18,391,0.012946110969104141,0.04327979374192381,0.04048573894854357,-0.0027940547933802407,391,391,True,4.676935195922852,True,True,0.6,0.6,0.6859553466928574,0.9637643899630158
19,15622,0.24629040822391457,0.530224539862111,0.9743398272232326,0.4441152873611216,15622,15622,True,2.3877124786376953,True,True,0.6,0.7,0.6460080707848093,0.9698599492791447
20,470,0.034027331771617625,0.12741588397910775,0.06192119130276197,-0.06549469267634578,470,470,True,2.375234603881836,True,True,0.6,0.7,0.6625969155664186,0.9674375815925227
21,2200,0.18367346272689428,2.632590748519174,3.5019499971267294,0.8693592486075552,27,27,True,0.7753257751464844,True,True,0.6,0.9,0.5089174924202685,0.9758337100877679
22,27,0.13862329312709457,0.544721245875003,0.25715269436797783,-0.2875685515070252,27,27,True,1.2859878540039062,True,True,1.0,0.8,0.49297236053567783,0.9748802309795297
23,15992,0.12044540171079172,8.656105592904574,9.044496028427393,0.38839043552281893,13985,13985,True,0.0158538818359375,True,True,0.8,1.0,0.4459549305335836,0.9841208065992891
24,476,0.08057980754774037,1.819549407985761,2.3223968265567194,0.5028474185709584,476,476,True,0.8345890045166016,True,True,0.8,0.9,0.4446129870794896,0.9825770450305209
25,48,0.03768378195327797,3.9556808063220465,3.6675777910099825,-0.28810301531206406,24531,24531,True,0.37070655822753906,True,True,0.6,0.9,0.3078824042366561,0.9926431254292742
26,23,0.03517140927168538,4.521507413427905,4.494043137653861,-0.027464275774043756,19,19,True,0.5959396362304688,True,True,1.0,0.8,0.4448141905889452,0.9834006753161268
27,62,0.0756564676462919,1.122707534372264,1.1432715527790407,0.020564018406776796,62,15,False,0.2740325927734375,True,True,0.8,0.8,0.4304613560618604,0.9838476920796612
28,15,0.009277193408361391,0.04220072768665872,0.022172707829021476,-0.020028019857637247,15,15,True,4.144435882568359,True,True,1.0,0.8,0.41523812223953654,0.9858512627308774
29,4561,0.11369720094060747,4.213609234167851,4.346702002463459,0.133092768295608,29,29,True,0.2399301528930664,True,True,0.8,0.8,0.40645210712232177,0.9851985785733822
30,29,0.21141278094930904,1.3550876293408116,1.1302124946713974,-0.22487513466941422,7813,29,False,0.28750038146972656,True,True,1.0,0.9,0.43026369523097424,0.9842245147946038
31,1174,0.21476669908906176,0.5634127656994856,0.34202908863449366,-0.22138367706499196,1174,1174,True,1.2347698211669922,True,True,0.8,0.9,0.504528600218615,0.977893320469209
32,198,0.038841593714196675,0.4984991583400209,0.3085445545252945,-0.1899546038147264,198,198,True,0.46959877014160156,True,True,1.0,0.9,0.3979021539468497,0.9814491190780991
33,1911,0.009562067302357877,0.15295601221139776,0.1651510419906259,0.01219502977922815,1911,1911,True,2.574207305908203,True,True,0.8,0.9,0.4254800873112534,0.9832569809373202
34,16065,0.0008492386794651567,0.003811748175639451,0.0019818601367731503,-0.0018298880388663008,16065,16065,True,6.113626480102539,True,True,1.0,0.9,0.5834950097188777,0.9738000897537132
35,5029,0.004210755233770265,0.016700263125045467,0.008126177749012697,-0.00857408537603277,5029,5029,True,5.441417694091797,True,True,1.0,0.9,0.43616625150230115,0.9812907448786945
36,476,4.589074133373188e-06,1.045948293665333e-05,4.444632793365599e-06,-6.014850143287731e-06,476,476,True,11.92824935913086,True,True,1.0,0.9,0.5626280817729699,0.9764575387305185
37,284,0.002682706507518204,0.009729672694096081,0.004861613616746752,-0.004868059077349329,284,284,True,6.319581985473633,True,True,0.8,0.9,0.4826993470982497,0.9832312584324242
38,3430,0.0028059539083571195,0.03526104481748504,0.03167570475097037,-0.003585340066514675,3430,3430,True,4.620622634887695,True,True,0.6,0.9,0.4373803911257545,0.9849095297855819
39,25806,2.6331015787268393e-05,0.00011283707823395162,8.905429046279778e-05,-2.3782787771153835e-05,25806,25806,True,9.995817184448242,True,True,0.8,0.9,0.5058442696019322,0.982956780152086
40,391,9.305771454329996e-06,2.8318218163292386e-05,1.3134529567082609e-05,-1.5183688596209777e-05,391,391,True,11.485462188720703,True,True,0.8,0.9,0.5718324517622733,0.9761980541596711
41,15622,0.006835892576631646,0.027187271293630744,0.042841759286819325,0.01565448799318858,15622,15622,True,5.049434661865234,True,True,0.8,0.7,0.442856348518148,0.9848431233272834
42,470,2.1943974370420014e-05,1.953769537621497e-05,5.8273034117206635e-05,3.8735338740991665e-05,470,470,True,12.857078552246094,True,True,0.6,0.7,0.5616656850315092,0.9773458998580228
43,2200,9.253890497841802e-05,0.00032183683538278274,0.00016843452533166214,-0.0001534023100511206,2200,2200,True,9.163970947265625,True,True,0.8,0.8,0.5322353043131927,0.9778265188072004
44,27,0.00989589558829431,0.13213941730872136,0.09170278142082111,-0.04043663588790025,27,27,True,3.313079833984375,True,True,1.0,0.9,0.33067190948064706,0.9869203274645404
45,15992,0.004702428538684753,0.08915624765633012,0.07971942492473616,-0.009436822731593963,15992,15992,True,4.012264251708984,True,True,1.0,1.0,0.33252486496324085,0.9912187175835526
46,476,6.769853058286871e-05,0.00031714462846821334,0.0001893030879571711,-0.00012784154051104224,476,476,True,9.24830436706543,True,True,0.8,1.0,0.4734722121116462,0.9769321016213101
47,48,0.002281496276607721,0.06288878133699782,0.06767457422562018,0.004785792888622353,48,48,True,4.182687759399414,True,True,0.8,0.9,0.3126491549967351,0.9909709410594545
48,19,0.023521247909225426,0.7574793945947356,0.9659678927989788,0.2084884982042432,19,23,False,0.10926628112792969,True,True,0.8,1.0,0.38508022000116077,0.9834179476343353
49,62,0.00022361702143465715,0.003061827405758777,0.0035146102639451726,0.00045278285818639574,62,62,True,6.681135177612305,True,True,1.0,0.9,0.3820733292921599,0.985421930707956
50,15,2.6365457075709745e-05,0.0010182442356878596,0.0012006138693827495,0.0001823696336948899,15,15,True,7.135429382324219,True,True,0.8,1.0,0.40600071927237286,0.9822447079307716
51,4561,0.0005215184566893677,0.005386175501136847,0.006030913884970346,0.0006447383838334986,4561,4561,True,7.443819046020508,True,True,0.8,0.7,0.4181945781981362,0.9854973806147574
52,29,0.000631678546668156,0.004430094301756782,0.003559029028640026,-0.0008710652731167556,29,29,True,5.793661117553711,True,True,0.8,0.9,0.43527383461488073,0.9836434384838483
53,1174,0.0006891780955758195,0.0031628857817835865,0.0019639098517281184,-0.001198975930055468,1174,1174,True,6.861272811889648,True,True,1.0,0.9,0.42731182570961135,0.9833664186552401
54,271,0.05476990135377887,0.9348228973943584,1.4137983759850812,0.47897547859072276,198,198,True,0.428070068359375,True,True,1.0,0.8,0.3702111563807672,0.9818215112893725
55,8746,0.06824379858498199,5.961133276447228,6.114245494572266,0.15311221812503817,92,92,True,0.34743690490722656,True,True,0.8,0.8,0.42135197793735346,0.9832847250400987
56,523,0.020346527888074735,0.19796595886857915,0.1759544617441655,-0.022011497124413637,523,523,True,4.051383018493652,True,True,0.8,0.7,0.42297440294304145,0.9862433846103281
57,469,0.04049560721267945,4.491450188307024,4.220789780344816,-0.27066040796220747,8103,1167,False,0.4413871765136719,True,True,1.0,0.8,0.32235747256847297,0.9920563481721819
58,70,0.08201555594195821,0.6364286968776511,0.4174560995483283,-0.21897259732932284,70,70,True,1.3003063201904297,True,True,0.8,0.9,0.4199681113762077,0.9853573181776887
59,1644,0.0025811537184941592,0.038764184435223115,0.03246232861255294,-0.006301855822670177,1644,1644,True,3.6598739624023438,True,True,0.8,0.8,0.426674585635399,0.9854990695767922
60,58845,0.06569641342916567,7.8663593162439405,8.09654982510633,0.230190508862389,4561,4561,True,0.5727558135986328,True,True,1.0,0.8,0.33562493195466875,0.9901985836093394
61,535,0.09201840323553895,1.2856580145321388,0.9253480100628444,-0.3603100044692944,313,313,True,0.7269020080566406,True,True,1.0,0.9,0.41582196265232885,0.9853171252138052
62,1407,0.04945462953777753,0.5353830371433652,0.7738853214586179,0.23850228431525267,1407,1407,True,0.9919586181640625,True,True,1.0,0.9,0.4804037875745148,0.9825087722937992
63,476,0.0001421715998336842,0.001140639416046696,0.000687772230254069,-0.00045286718579262697,476,476,True,7.096733093261719,True,True,1.0,0.9,0.6583519057146731,0.9665140749464046
64,2416,0.03179882991565317,0.12237274797746167,0.11652371690951924,-0.005849031067942434,2416,2416,True,3.530567169189453,True,True,0.6,0.7,0.5857686728017599,0.9746270208474347
