position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,16,0.010545713686084819,0.21565336370563415,0.2187631588672332,0.0031097951615990382,16,16,True,2.3833847045898438,True,True,1.0,1.0,0.5525648318951181,0.9603651664913312
1,6,0.0237255763311531,0.948416949538192,0.8679899952892676,-0.08042695424892443,15,15,True,0.28006744384765625,True,True,1.0,0.8,0.5744736114454564,0.9620356334899608
2,15,0.0027824528034269946,0.013014025718938171,0.007246973182169825,-0.005767052536768347,15,15,True,5.401426315307617,True,True,0.8,1.0,0.588587794870983,0.9570501367471321
3,15,0.0034572282863780165,0.015401613916850465,0.009959370123873157,-0.005442243792977308,15,15,True,5.297916412353516,True,True,0.8,0.9,0.5635767745257764,0.9551282092033674
4,15,8.39905742561196e-05,0.001433790823060832,0.0017300167852276616,0.0002962259621668295,15,15,True,7.562686920166016,True,True,0.8,1.0,0.5547840573947079,0.9531717243977809
5,6,0.0042654888804003884,0.038191358080567284,0.034629115335839344,-0.0035622427447279392,6,6,True,3.768310546875,True,True,1.0,0.9,0.6306940061746182,0.9552976889069812
6,15,0.00023017067836507714,0.0018185632436384935,0.0022859100613175087,0.0004673468176790152,15,15,True,7.161870956420898,True,True,0.6,1.0,0.6273212812114759,0.9488479288131741
7,15,0.0018834674434910863,0.0024025093131321285,0.0066233838951035295,0.004220874581971401,15,15,True,6.476226806640625,True,True,0.8,1.0,0.5682918397564992,0.9486221498114646
8,15,0.0008602698268383035,0.01232606390083646,0.015274734351656605,0.0029486704508201456,15,15,True,4.602909088134766,True,True,0.8,1.0,0.5155263390967951,0.9530616327759838
9,26,0.14471284679776802,0.5713897445450122,1.1629929459397133,0.591603201394701,26,6,False,0.3545207977294922,True,True,0.8,0.8,0.6365179045137815,0.953134869268576
10,271,0.009328345194399746,1.208562312845821,1.4286037196634496,0.22004140681762863,198,198,True,0.8411579132080078,True,True,1.0,0.9,0.6123981695296246,0.9494146997364572
11,1911,0.07738917218083123,3.8101106965762987,4.277726949552417,0.46761625297611786,92,40876,False,0.023807525634765625,True,True,0.8,0.9,0.6924256825593303,0.9545190470830683
12,16065,0.056350963984999745,3.8945345244858274,3.999358959399583,0.10482443491375548,18920,18920,True,0.5815505981445312,True,True,0.6,1.0,0.6636473264573055,0.9615481481762472
13,5029,0.1256253737934972,1.292897191263446,1.5859435330751097,0.2930463418116638,5029,7,False,0.5256252288818359,True,True,1.0,0.7,0.7923433609328782,0.943347013709191
