engine,model,batch,threads,prompt_tokens,output_tokens,tensor_bytes,loaded_model_tensor_bytes,file_bytes,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
native,bc256,1,8,512,128,424934656,,424964864,2180.04336021,2172.17679615,2180.42185081,122.635871655,122.302766095,122.64814528
llama,Q4_0-pure,1,8,512,128,424934656,424934656,435896352,1060.22033047,976.085050744,1104.72281886,108.534807936,108.377119909,108.97089312
ik,Q4_0-pure,1,8,512,128,424934656,567966976,435896352,2894.19543894,2888.96004458,2894.65624521,122.178269653,122.174138746,122.383662548
ik,IQ4_K_R4-pure,1,8,512,128,424934656,567966976,435896352,1988.23190389,1983.57457681,1991.20398861,118.162785033,117.944276872,118.271202528
ik,IQ4_KS_R4-pure,1,8,512,128,401437952,540110336,414992672,2061.58393322,2056.75103964,2065.97009714,129.37303604,129.210053855,129.523686393
llama,Q4_0,1,8,512,128,496192768,496192768,507154688,927.354033696,868.559349548,964.646713468,94.2733091208,93.4965941609,94.5530825819
ik,Q4_0,1,8,512,128,496192768,704781568,507154688,2733.27399139,2713.06028007,2736.71928261,104.308947596,104.2202618,104.37014702
llama,Q4_K_M,1,8,512,128,521555200,521555200,532517120,666.182836635,640.577784346,698.321466922,88.2805100946,86.7895331509,88.3871504064
ik,Q4_K_M,1,8,512,128,521555200,730144000,532517120,1977.99246946,1877.73548606,1983.98563991,98.7443809908,98.4906699567,98.8949678752
llama,IQ4_XS,1,8,512,128,481643776,481643776,492605696,926.865149613,921.566851056,1025.7308449,94.3744532784,94.0216380672,94.3833203941
ik,IQ4_XS,1,8,512,128,481643776,690232576,492605696,1946.20976504,1943.16496014,1958.91907947,107.499116986,107.467142873,107.620237789
native,bc256,1,8,4096,2,424934656,,424964864,1910.84161738,1903.88405432,1916.34435097,76.8493311226,76.1966125577,76.9035138523
llama,Q4_0-pure,1,8,4096,2,424934656,424934656,435896352,1069.80290085,1009.23043262,1094.23567928,75.0782991582,74.5936269741,77.1067511356
ik,Q4_0-pure,1,8,4096,2,424934656,567966976,435896352,2520.51817792,2512.86861274,2522.32715379,83.4169727513,83.2445114396,83.9306397193
ik,IQ4_K_R4-pure,1,8,4096,2,424934656,567966976,435896352,1795.98759061,1780.33463658,1804.04680158,84.0139231234,80.6299326369,84.9255529864
ik,IQ4_KS_R4-pure,1,8,4096,2,401437952,540110336,414992672,1838.90731829,1837.95476941,1840.68075201,85.4539952862,84.4171653189,85.6957362601
llama,Q4_0,1,8,4096,2,496192768,496192768,507154688,944.165494611,921.912123882,946.8669206,71.2990160237,71.1536945417,71.6382412095
ik,Q4_0,1,8,4096,2,496192768,704781568,507154688,2432.19928445,2430.78142625,2432.22035316,78.1395718092,78.1065595295,80.4417409942
llama,Q4_K_M,1,8,4096,2,521555200,521555200,532517120,657.116871347,619.794182815,694.982597839,68.1597839826,67.2069342502,68.3220507437
ik,Q4_K_M,1,8,4096,2,521555200,730144000,532517120,1795.43436217,1795.18904361,1801.47887518,75.0532296268,74.0642591882,75.2668246567
llama,IQ4_XS,1,8,4096,2,481643776,481643776,492605696,835.47722872,828.719376328,929.550803389,72.4426914923,71.4711120555,72.5756924556
ik,IQ4_XS,1,8,4096,2,481643776,690232576,492605696,1773.19649912,1765.32955717,1776.41028958,80.1055149843,78.4422006489,80.3945054858
