candidate,batch,threads,prompt_tokens,output_tokens,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max,prefill_ms_median,prefill_ms_min,prefill_ms_max,decode_ms_median,decode_ms_min,decode_ms_max,peak_rss_bytes_median,peak_rss_bytes_min,peak_rss_bytes_max,prefill_ratio,decode_ratio,speed_point_pass,speed_equivalence_pass
legacy,1,8,512,128,2147.90237616,2143.98177615,2154.24114121,117.794031293,116.354046858,118.343779734,238.3721,237.6707,238.808,1078.1531,1073.1447,1091.4962,492748800,492748800,492756992,1.0,1.0,True,True
mse16,1,8,512,128,2150.71469257,2148.91475608,2150.8222064,117.942346252,117.911729422,118.342533611,238.0604,238.0485,238.2598,1076.7973,1073.156,1077.0769,492752896,492740608,492818432,1.0013093315791324,1.00125910419545,True,True
calibrated,1,8,512,128,2150.68578313,2147.75731349,2157.33821543,118.349040208,117.684789908,118.417270198,238.0636,237.3295,238.3882,1073.097,1072.4787,1079.1539,492748800,492748800,492756992,1.001295872196471,1.004711689623895,True,True
q4pure,1,8,512,128,2013.67489769,2006.97816902,2029.41059891,118.487734514,117.576567342,119.112322451,254.2615,252.29,255.1099,1071.8409,1066.2205,1080.1472,958582784,958582784,958582784,0.937507644686361,1.0058891203007942,False,False
q4km,1,8,512,128,369.818077676,368.82973782,371.093847677,87.3119690341,87.1146044753,87.3283713857,1384.4645,1379.7049,1388.1744,1454.5543,1454.2811,1457.8497,589778944,589778944,589783040,0.17217639022177408,0.7412257486707527,False,False
legacy,1,8,4096,2,1880.17138937,1876.59775393,1881.35779282,81.0720974162,80.8884790539,83.6575061697,2178.5248,2177.151,2182.6734,12.3347,11.9535,12.3627,536203264,536203264,536207360,1.0,1.0,True,True
mse16,1,8,4096,2,1882.7916247,1879.48534405,1885.59449996,82.6186817363,82.4049047399,84.068936528,2175.493,2172.2592,2179.32,12.1038,11.895,12.1352,536199168,536195072,536203264,1.0013936151484988,1.0190766536131453,True,True
calibrated,1,8,4096,2,1884.18725288,1881.02740468,1884.39312581,81.1339277746,80.099964756,83.300707223,2173.8816,2173.6441,2177.5334,12.3253,12.0047,12.4844,536199168,536190976,536203264,1.0021359028930579,1.0007626589217569,True,True
q4pure,1,8,4096,2,1782.53321121,1770.72653567,1795.85519602,82.0398385456,81.7167045287,82.7650135735,2297.8534,2280.8075,2313.1748,12.1892,12.0824,12.2374,958459904,958455808,958459904,0.9480695330691548,1.011936796508815,False,False
q4km,1,8,4096,2,362.093899558,359.83012188,364.930782582,66.3803461071,65.5273642273,66.6844491864,11311.9829,11224.0463,11383.1493,15.0647,14.996,15.2608,633212928,633212928,633221120,0.19258558108329096,0.8187816551275722,False,False
legacy,4,8,512,128,2160.52716863,2137.04890451,2165.72124334,313.338840613,309.968142231,314.658242745,947.9168,945.6434,958.3309,1621.2481,1614.45,1638.8781,587636736,587608064,587649024,1.0,1.0,True,True
mse16,4,8,512,128,2172.82349501,2157.27458693,2177.07160907,315.346028949,313.873214622,316.877830185,942.5524,940.7132,949.346,1610.9288,1603.1415,1618.4879,587636736,587636736,587640832,1.0056913546649808,1.0064058076300826,True,True
calibrated,4,8,512,128,2174.55196585,2152.05034285,2178.86178516,314.786501013,312.883309,316.116535739,941.8032,939.9403,951.6506,1613.7922,1607.0023,1623.6085,587632640,587624448,587636736,1.0064913773932747,1.0046201115609157,True,True
q4pure,4,8,512,128,2036.45715719,2026.35508291,2045.06512704,320.10444983,318.289078412,320.878813799,1005.6681,1001.4351,1010.6817,1586.982,1583.1522,1596.0334,958582784,958582784,958582784,0.9425741952050188,1.0215919903315023,False,False
q4km,4,8,512,128,370.392501751,369.583661659,370.741621547,203.128393179,200.397955625,203.335974833,5529.2696,5524.0628,5541.3705,2500.8813,2498.3282,2534.956,684736512,684736512,684740608,0.17143616943538256,0.648270711609228,False,False
legacy,16,8,512,128,2157.95623211,2155.49938885,2171.5347579,605.282898414,604.71745083,606.060678366,3796.1845,3772.4471,3800.5114,3357.1079,3352.7996,3360.247,966754304,966545408,966856704,1.0,1.0,True,True
mse16,16,8,512,128,2159.69351756,2150.14223826,2165.38726783,605.642122672,601.880331025,605.713794807,3793.1308,3783.157,3809.9805,3355.1167,3354.7197,3376.0864,966553600,966492160,966766592,1.000805060558759,1.000593481591734,True,True
calibrated,16,8,512,128,2170.3786447,2161.03088348,2170.63208451,603.260934104,603.00182141,608.797379798,3774.4566,3774.0159,3790.7834,3368.36,3337.7279,3369.8074,966594560,966471680,966873088,1.005756563736167,0.99665947226446,False,True
