stage,candidate,tokens_per_second_median,tokens_per_second_min,tokens_per_second_max,prefill_forward_tokens_per_second_median,prefill_forward_tokens_per_second_min,prefill_forward_tokens_per_second_max
vnni,k-old,89.951235806,89.9315153807,91.3799626335,374.901240616,374.01520591,376.486616599
vnni,k-vnni,90.6222782098,89.8672102288,90.7796795048,372.849859697,372.579922396,378.294552108
packed,k-old,89.9160368296,88.9255420835,89.9748785888,374.935365756,370.356599878,375.01464901
packed,k-packed,90.4595967197,90.2850255603,90.8455380499,378.98697817,378.293853346,381.264172211
tile,k-old,89.9568809045,88.5511950716,90.1161654138,372.514050764,372.247143312,377.39042189
tile,k-tile,89.8002347817,89.7115286943,90.0184750516,378.220581493,377.661220772,382.567647599
prep,k-old,89.8215620408,89.5462381872,90.0015569561,375.992883747,375.836474724,378.341011611
prep,k-prep,93.8175906801,93.5799373457,94.0447042612,442.966773426,434.76451812,444.762727772
wide,k-old,89.8085091653,87.844317735,90.0360314273,372.464296533,370.85400434,375.168780154
wide,k-wide,71.1094069739,70.8486445901,72.2198458544,435.488057931,432.779569897,436.369599255
