series,case,metric,mean,median,min,max,run1,run2,run3
display-ab,bc256-linux-b1-t8-p512-n128-hz240,tokens_per_second,91.18928816163334,81.9134973899,81.465788505,110.18857859,81.465788505,81.9134973899,110.18857859
display-ab,bc256-linux-b1-t8-p512-n128-hz60,tokens_per_second,114.38285232833333,114.44431098,114.080461541,114.623784464,114.44431098,114.080461541,114.623784464
display-ab,q4-persistent-512MiB-t8-hz240,logical_weight_GiB_per_second,41.02759693993333,37.1675363439,36.8040432896,49.1112111863,37.1675363439,36.8040432896,49.1112111863
display-ab,q4-persistent-512MiB-t8-hz60,logical_weight_GiB_per_second,50.6496136834,50.6720049386,50.3685536784,50.9082824332,50.3685536784,50.9082824332,50.6720049386
gui-ab,bc256-linux-b1-t8-p512-n128-hz240-visible-comptrue,tokens_per_second,110.62138551033333,110.705725438,110.388790319,110.769640774,110.705725438,110.769640774,110.388790319
gui-ab,bc256-linux-b1-t8-p512-n128-hz240-hidden-comptrue,tokens_per_second,126.41561570833333,126.424579034,126.132383391,126.6898847,126.424579034,126.132383391,126.6898847
gui-ab,bc256-linux-b1-t8-p512-n128-hz240-hidden-compfalse,tokens_per_second,127.476184645,127.477007489,127.359885413,127.591661033,127.359885413,127.477007489,127.591661033
gui-ab,bc256-linux-b1-t8-p512-n128-hz60-hidden-compfalse,tokens_per_second,126.17057140899999,126.248818018,125.854843881,126.408052328,126.408052328,125.854843881,126.248818018
gui-ab,bc256-linux-b16-t8-p512-n128-hz240-visible-comptrue,tokens_per_second,538.27620386,543.996613308,524.820362461,546.011635811,546.011635811,543.996613308,524.820362461
gui-ab,bc256-linux-b16-t8-p512-n128-hz240-hidden-compfalse,tokens_per_second,638.373577897,638.534340252,637.432027881,639.154365558,637.432027881,638.534340252,639.154365558
