prompt,output_positions,vocab,bitwise_equal,baseline_sha256,candidate_sha256
window-00,16,248320,True,7dce20700da8321a09a0710195e742beb05eeaeba5a3c352fba8fea9e43912b6,7dce20700da8321a09a0710195e742beb05eeaeba5a3c352fba8fea9e43912b6
window-01,16,248320,True,f3f12a0eb1d25467cc6664b225b4041b49565ccacff76a0a77324c142c337b01,f3f12a0eb1d25467cc6664b225b4041b49565ccacff76a0a77324c142c337b01
window-02,16,248320,True,fec5ef8d9e125e792019101dfdcbae69aef125db04b76b73a5dbb5d56aa7fb0d,fec5ef8d9e125e792019101dfdcbae69aef125db04b76b73a5dbb5d56aa7fb0d
window-03,16,248320,True,062e4bb1c76460343ca0513c7b0a497e11e21333bd6178e647259a364d3588e7,062e4bb1c76460343ca0513c7b0a497e11e21333bd6178e647259a364d3588e7
window-04,16,248320,True,691169abb69600ceaa3bb38e22b8ae5dc4301be60662beda1a715f0e493e3653,691169abb69600ceaa3bb38e22b8ae5dc4301be60662beda1a715f0e493e3653
window-05,16,248320,True,8c57b30112a23fef3556b52483361fb60ec39f3bed3e1554ac91ff21ad150d43,8c57b30112a23fef3556b52483361fb60ec39f3bed3e1554ac91ff21ad150d43
window-06,16,248320,True,7dc934c9674ad4ae064c44cac97f71b2019b1f6da1e8fa12027c05d6dcda9651,7dc934c9674ad4ae064c44cac97f71b2019b1f6da1e8fa12027c05d6dcda9651
window-07,16,248320,True,d5c518f48a3504eff09ef70dd492b91846d543534fbefe7c8eae0b8c92159066,d5c518f48a3504eff09ef70dd492b91846d543534fbefe7c8eae0b8c92159066
window-08,16,248320,True,f0aa0a3011ed426339c21a4104c24cb1fdb5e19791528f1e263e228803030e12,f0aa0a3011ed426339c21a4104c24cb1fdb5e19791528f1e263e228803030e12
window-09,16,248320,True,7e1f532218ba70be71ffda2d950d0ac8540ff02be567d4301a25283eaf0f747b,7e1f532218ba70be71ffda2d950d0ac8540ff02be567d4301a25283eaf0f747b
window-10,16,248320,True,4ea8300b41e57ba10847a40069d37b3befab456d007ccf2ebcc90db46cfc3e4c,4ea8300b41e57ba10847a40069d37b3befab456d007ccf2ebcc90db46cfc3e4c
window-11,16,248320,True,5736f3b3b383caf440dbe7e7463f7c656fd44692f6d0f6704133b17972c5f6bd,5736f3b3b383caf440dbe7e7463f7c656fd44692f6d0f6704133b17972c5f6bd
window-12,16,248320,True,43daea24e8f51c40f251c75f189c493bb26ddc1304be733961873d841e47749c,43daea24e8f51c40f251c75f189c493bb26ddc1304be733961873d841e47749c
window-13,16,248320,True,0a9905334a2643ccc1ef8d5b062a6108e91db51b6288c4520af769e3319c5f4f,0a9905334a2643ccc1ef8d5b062a6108e91db51b6288c4520af769e3319c5f4f
window-14,16,248320,True,a63624579e4c9e6ac0ef76ddd2222a17ad9d2edacad75256fa667e5a346066be,a63624579e4c9e6ac0ef76ddd2222a17ad9d2edacad75256fa667e5a346066be
window-15,16,248320,True,881d7d6d65b64be2af97ab6a21285877cf19cab7d965f3e8caa8f978e4b939cb,881d7d6d65b64be2af97ab6a21285877cf19cab7d965f3e8caa8f978e4b939cb
boundary-31,16,248320,True,d441322ddde90ffe1d853b656b7247073157add8407a20b9100a167f69169763,d441322ddde90ffe1d853b656b7247073157add8407a20b9100a167f69169763
boundary-127,16,248320,True,fecc582c5c96f2daf2c632f962e1a517fd6820cd1925a9e86ff7260cc056c5fd,fecc582c5c96f2daf2c632f962e1a517fd6820cd1925a9e86ff7260cc056c5fd
boundary-128,16,248320,True,919ae2e9da0ab5e35b311b9382be79520bfb7d65f5b4f22a8169190a5be645f3,919ae2e9da0ab5e35b311b9382be79520bfb7d65f5b4f22a8169190a5be645f3
boundary-129,16,248320,True,8d134d9ca2796c00c50fe5397c5afb78b3955ce8d2634e1b5009b1d8ff40557a,8d134d9ca2796c00c50fe5397c5afb78b3955ce8d2634e1b5009b1d8ff40557a
boundary-511,16,248320,True,958bd12a650d690be434486b35e65c5b6b51eb6376704813cf2f3590c9af6c61,958bd12a650d690be434486b35e65c5b6b51eb6376704813cf2f3590c9af6c61
boundary-512,16,248320,True,36c1160faa8c5a391a071866b135c07c437855383b983327bbc7c296892e25d2,36c1160faa8c5a391a071866b135c07c437855383b983327bbc7c296892e25d2
boundary-513,16,248320,True,394b7143eaa84b2ada8b06584b6f693fe86611037aa655416cb5433cbdcc6496,394b7143eaa84b2ada8b06584b6f693fe86611037aa655416cb5433cbdcc6496
boundary-4096,16,248320,True,05bd0aa1c9e4abf796625de2b18a35aa06cefc0892fd760ce29f7a8361da3325,05bd0aa1c9e4abf796625de2b18a35aa06cefc0892fd760ce29f7a8361da3325
