candidate,batch,threads,prompt_tokens,output_tokens,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
baseline,1,8,512,128,2186.88029093,2186.52397275,2189.68206415,127.704923002,127.58267172,127.937361997
optimized,1,8,512,128,2751.3444657,2750.13585376,2753.70097142,127.761116923,127.707246563,127.774595279
ik-Q4_0-pure,1,8,512,128,2893.10732944,2699.92397868,2911.13700835,126.786476106,126.68857301,126.959153051
ik-IQ4_K_R4-pure,1,8,512,128,2001.45857075,1998.70132039,2002.69869908,122.621464149,122.48532823,122.999779642
ik-IQ4_KS_R4-pure,1,8,512,128,2064.38668866,2060.83595798,2064.83502115,133.822896688,133.593725106,133.982096871
baseline,1,8,4096,2,1929.07831731,1926.59075318,1937.53805407,81.540036892,80.2872871825,81.9706867906
optimized,1,8,4096,2,2481.04395046,2480.98166586,2488.26695715,87.623980265,87.2362390503,87.6352913628
ik-Q4_0-pure,1,8,4096,2,2537.27180896,2525.31373159,2538.82605425,87.8524254957,84.5020030777,89.1572084985
ik-IQ4_K_R4-pure,1,8,4096,2,1809.92848564,1800.77511965,1811.61979562,84.0256698421,84.012871444,84.5892224702
ik-IQ4_KS_R4-pure,1,8,4096,2,1842.15434226,1841.0036051,1844.43544085,89.824032923,88.8016028334,90.3877344567
baseline,16,8,512,128,2203.81910595,2181.21002894,2207.16049589,641.962658586,640.724951526,642.543271266
optimized,16,8,512,128,2947.89621826,2936.71174048,2950.65509838,640.213573232,638.375502836,641.249978383
