candidate,batch,threads,prompt,output,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max,peak_rss_bytes_median,peak_rss_bytes_min,peak_rss_bytes_max,prefill_ratio,decode_ratio,speed_pass
calibrated,1,8,512,128,2176.95497572,1200.85636069,2192.16557701,125.861756618,124.067236627,125.871935712,492756992,492756992,492756992,1.0,1.0,True
q8-gates,1,8,512,128,2123.20740336,2113.76777041,2131.82329183,125.402113727,123.474098343,125.534361226,493568000,493568000,493568000,0.975310664226198,0.996348033720878,True
calibrated,1,8,4096,2,1920.27745009,1908.38645459,1932.16050499,78.3981686188,78.2748229032,80.3109640528,536170496,536170496,536174592,1.0,1.0,True
q8-gates,1,8,4096,2,1874.47506346,1841.42531714,1875.89137471,78.9777124895,78.4043153735,80.2941979413,536924160,536920064,536944640,0.976148037030871,1.007392313888325,True
calibrated,4,8,512,128,2208.7878263,2205.70884406,2211.95210173,332.895283333,332.247729139,337.536549295,587628544,587624448,587628544,1.0,1.0,True
q8-gates,4,8,512,128,2147.1464183,2139.81228371,2150.61622296,331.368539675,330.869075172,336.238976425,588251136,588242944,588292096,0.9720926531439387,0.9954137419950382,True
calibrated,16,8,512,128,2207.6219982,2197.1506025,2216.42023241,639.417435334,638.074742606,641.573907088,966635520,966516736,966963200,1.0,1.0,True
q8-gates,16,8,512,128,2145.20868348,2141.73322219,2149.3880869,637.054640572,633.009915733,637.415186059,967397376,967168000,967516160,0.9717282601954099,0.9963047695739393,True
calibrated,1,8,8192,128,1660.09713757,1656.67350638,1662.05938206,71.9764629032,71.6266969958,72.2270048127,589479936,589475840,589479936,1.0,1.0,True
q8-gates,1,8,8192,128,1625.20915244,1621.06360017,1626.47833668,72.1868623435,71.8574691822,72.7388401294,590204928,590204928,590209024,0.9789843712512702,1.0029231700449486,True
