candidate,batch,threads,prompt,output,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max,peak_rss_bytes_median,peak_rss_bytes_min,peak_rss_bytes_max,prefill_ratio,decode_ratio,speed_pass
calibrated,1,8,512,128,2185.15986237,2176.44323266,2194.61710147,120.560456132,120.196698585,120.599014355,492752896,492748800,492761088,1.0,1.0,True
q8-head,1,8,512,128,2164.35210627,2160.45241224,2171.8290024,89.2438968945,89.0143032668,89.6395206671,651698176,651698176,651702272,0.9904776961821767,0.740241865017399,False
calibrated,1,8,4096,2,1917.4702276,1913.6814723,1918.99192955,83.9658762679,82.3743585097,84.4687338981,536100864,536096768,536100864,1.0,1.0,True
q8-head,1,8,4096,2,1919.27013755,1917.78400059,1926.93600615,67.3541277977,66.3825493554,67.664492381,695042048,695042048,695042048,1.0009386899071977,0.802160720419342,True
calibrated,4,8,512,128,2195.94475054,2187.64223547,2196.49020599,318.864500916,315.124473547,320.456046804,587616256,587616256,587620352,1.0,1.0,True
q8-head,4,8,512,128,2177.8295674,2175.77892726,2178.17283631,253.522085517,252.783869443,253.535016779,746561536,746557440,746565632,0.9917506198024586,0.7950777988415416,False
calibrated,16,8,512,128,2196.21938741,2185.93402156,2202.91131187,600.455672572,595.992321202,602.449484892,966422528,966381568,966434816,1.0,1.0,True
q8-head,16,8,512,128,2168.51161775,2166.77662776,2168.56345378,498.184153086,497.702083518,502.124093644,1125580800,1125343232,1125740544,0.987383878942679,0.8296768201923569,False
calibrated,1,8,8192,128,1647.77799893,1631.45570878,1650.48598068,68.8437257184,67.5087147372,69.1989259891,589475840,589475840,589479936,1.0,1.0,True
q8-head,1,8,8192,128,1649.74991648,1639.32920458,1652.0011568,58.0686743004,57.0604256878,59.0321543497,748363776,748359680,748363776,1.0011967131198987,0.8434853531594946,False
