position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,310,0.19088503207166066,0.5457016648759314,1.0552329125857938,0.5095312477098624,310,310,True,1.7741527557373047,True,True,0.8,0.9,0.6299671297585869,0.9706918350229992
1,2306,0.11398340780673763,6.839280395687762,7.954082375338512,1.1148019796507498,4300,4300,True,1.9230079650878906,True,True,0.8,0.9,0.6245184859478419,0.9756062531534642
2,1754,0.23242324789571722,2.65365753887491,3.4778317969941597,0.8241742581192497,836,836,True,1.3167648315429688,True,True,1.0,0.9,0.6938602706292114,0.9683893281444143
3,9849,0.340067842684905,4.718874449915404,6.322772944850428,1.6038984949350237,10014,10014,True,1.2761268615722656,True,True,0.8,0.9,0.6848595534696915,0.9697675430432406
4,440,0.1515178910073523,0.576234718179407,0.9092021042446099,0.33296738606520293,440,440,True,2.5829391479492188,True,True,0.8,0.9,0.7108724811578752,0.964461409790054
5,279,0.21204533551407617,1.6038964342563347,2.140619901265932,0.5367234670095975,836,264,False,0.9443397521972656,True,True,0.8,0.8,0.7148955707376469,0.9658746853853285
6,5819,0.42184005940648156,3.354709134588635,4.671894212212539,1.317185077623904,803,803,True,0.5596523284912109,True,True,0.4,0.6,0.7631617427682114,0.9608203565963299
7,803,0.16306470980709561,1.4921280665661314,1.2290996368121014,-0.26302842975402996,803,803,True,0.4253349304199219,True,True,0.8,0.9,0.7142360324580022,0.9669003610373734
8,11,0.13103528113321894,1.3415417350049346,0.9114751737594986,-0.43006656124543596,321,321,True,0.6595611572265625,True,True,1.0,0.8,0.7329745083949619,0.9603598730628192
9,22700,0.17802015166735263,4.9471588401183375,5.209092701822513,0.26193386170417554,279,9140,False,0.05692291259765625,True,True,0.8,0.9,0.6642768176535448,0.9729924436505287
10,1007,0.1393176664845554,4.587995158954772,5.194777130871923,0.606781971917151,2321,2321,True,2.595670700073242,True,True,0.8,0.7,0.8069227193408175,0.9609138298881746
11,11,0.0045352538588032095,0.03100432126889885,0.039157641526276876,0.008153320257378027,11,11,True,4.117895126342773,True,True,1.0,0.8,0.6487384075908651,0.9711829134603761
12,321,0.044292939680734375,0.21888082768905548,0.1670604997731111,-0.051820327915944375,321,321,True,3.3506946563720703,True,True,1.0,0.7,0.64290526088024,0.9741002035451938
13,7578,0.23691215695360013,6.067959361327514,5.356810788542134,-0.7111485727853797,264,866,False,0.3950767517089844,True,True,0.8,0.7,0.6598003763063666,0.9733066144444441
14,4530,0.3036642355551984,1.2259743719736989,1.0437921600853812,-0.18218221188831762,4530,4530,True,0.9787273406982422,True,True,0.6,0.7,0.7145884377433149,0.970200557946864
15,13,0.20639363117326168,0.8053005512783535,0.40571688629936276,-0.3995836649789908,13,13,True,0.76641845703125,True,True,0.8,0.8,0.7350004658825335,0.9615507630991741
16,9920,0.2781109944489409,6.0682169126919625,7.364871014288408,1.2966541015964452,271,10435,False,0.5637378692626953,True,True,0.6,0.4,0.731920786262081,0.9660342945190883
17,4147,0.24688648751952022,9.298407016001185,9.915235074181599,0.6168280581804133,279,279,True,0.5815238952636719,True,True,0.8,0.7,0.7671116364082614,0.9583787897272554
18,83616,0.17322790901084706,6.2164412448497295,6.149617004670606,-0.06682424017912325,26168,26168,True,2.6739234924316406,True,True,0.8,0.9,0.6690288691637354,0.969595338177534
19,321,0.14231288399968314,3.2461882922728478,3.2838375281655416,0.037649235892693866,303,303,True,1.7126808166503906,True,True,0.6,0.8,0.6234076089614456,0.9732098663399653
20,93008,0.24608784579811208,8.238928572460313,7.316108192145961,-0.9228203803143522,10014,8928,False,0.4387016296386719,True,True,0.8,0.7,0.6443454217734188,0.9742754823290622
21,383,0.13144606889825328,1.3185423675983117,1.5739867943869683,0.25544442678865664,303,303,True,0.45794677734375,True,True,0.8,0.8,0.6571640672179057,0.9696184098481612
