position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,769,0.021219283656759506,9.009247479697502,10.110315264131355,1.1010677844338534,198,198,True,0.7391147613525391,True,True,0.8,0.9,0.3310712268029241,0.9908733405250034
1,183560,0.5468923317256015,0.6617508432567192,2.0613075235048512,1.399556680248132,183560,87253,False,1.1795005798339844,True,True,0.8,0.8,0.5402504592526218,0.976945205700669
2,198,0.031164121973725173,1.4847558642069387,1.392909114252916,-0.09184674995402275,198,198,True,0.7190361022949219,True,True,0.8,1.0,0.3132837820166776,0.9916224212466539
3,258,0.02336828432630512,2.3482157524734504,2.560052143547157,0.21183639107370666,258,1199,False,0.16893959045410156,True,True,1.0,0.9,0.2327015054851106,0.9954977556217243
4,16731,0.015078067554075604,7.9611210390632525,8.253605720756864,0.29248468169361175,2607,2607,True,0.33780479431152344,True,True,1.0,1.0,0.2821422861283581,0.9937673752713184
5,20491,0.19867330998117416,0.6852200359137868,1.418460303549093,0.7332402676353063,20491,161974,False,1.1116142272949219,True,True,0.8,0.9,0.5384616935642647,0.9772014140263531
6,229939,0.02353157992386662,0.4229559093049815,0.5185262537830511,0.09557034447806956,229939,229939,True,1.3131580352783203,True,True,0.8,0.9,0.3899579557691432,0.988728565542864
7,13,0.01946252115186769,0.7027978048745283,0.6396115029375089,-0.06318630193701935,13,13,True,1.0341339111328125,True,True,0.8,1.0,0.33203881323239104,0.9907085477990335
8,40687,0.01663655956965649,5.543297667802655,5.738189667180839,0.1948919993781839,70437,70437,True,0.6334676742553711,True,True,0.8,0.9,0.2515300684884127,0.9947046400232195
9,3262,0.024663041809788445,2.4155454854390577,2.4165916128841936,0.0010461274451358804,2607,2607,True,0.35532283782958984,True,True,1.0,0.8,0.3128978511740704,0.9918476165339211
10,69523,0.05893908969251332,5.817208506797003,6.06543019734093,0.24822169054392695,55593,232411,False,0.02466869354248047,True,True,0.8,0.9,0.3208336781079828,0.9919301048222483
11,268,0.025174817050183915,0.2319437401805331,0.3087677003454665,0.07682396016493342,268,268,True,2.5442190170288086,True,True,0.8,0.8,0.4087679995155425,0.987295323638956
12,1755,0.04528523727063939,4.619951817037309,4.966983017310984,0.3470312002736744,229939,229939,True,0.46190643310546875,True,True,1.0,1.0,0.35204847105098974,0.9905846682448309
13,179212,0.18702877387707625,0.14839068827960133,0.49257246830235957,0.34418178002275823,179212,179212,True,3.0327281951904297,True,True,1.0,0.7,0.5174108260939112,0.9790551940226949
14,3980,0.05856273368673158,3.26402560431411,3.183106433719871,-0.08091917059423892,41873,41873,True,0.35451221466064453,True,True,0.8,0.8,0.34707146958382573,0.9900108789518609
15,2659,0.03783429898080201,2.7635938491024845,2.9076440762575047,0.14405022715502014,1477,1477,True,0.7645168304443359,True,True,1.0,0.9,0.3339308954227281,0.9911933376163887
16,209477,0.038630741221431716,4.748142757875611,5.057202007252821,0.30905924937720997,194427,194427,True,0.08068084716796875,True,True,0.6,1.0,0.2894030917490522,0.9934325660695188
17,58592,0.05803541291108037,7.449059438647499,7.573088613556411,0.12402917490891241,13,13,True,0.2661151885986328,True,True,0.8,0.9,0.3179062398719131,0.9916102257317505
18,95598,0.0766892954449255,4.979851253539419,4.644429638832005,-0.33542161470741405,8528,8528,True,0.3838329315185547,True,True,0.8,0.9,0.3019967432732528,0.992263401345392
19,6194,0.02771069645192688,1.9777046692814544,1.7533051421727848,-0.22439952710866962,220880,220880,True,1.482588768005371,True,True,0.6,0.8,0.31610344327465595,0.991855824414581
20,184353,0.03619066731547718,1.858505630560451,2.0608078834305683,0.20230225287011727,52029,52029,True,1.4264402389526367,True,True,0.8,0.9,0.34942215158012246,0.99067959757769
21,13,0.007249119651583752,0.14527664189573386,0.18709183051541345,0.04181518861967959,13,13,True,2.178346633911133,True,True,1.0,0.9,0.3017318588439424,0.9908368561177515
22,186296,0.026171316838961286,7.701802289602931,7.679902555788793,-0.02189973381413779,198,198,True,1.521906852722168,True,True,1.0,0.8,0.24337390794078206,0.994878333485799
23,198,0.02299232394109858,0.6303229654506826,0.5184141192603384,-0.11190884619034414,198,198,True,2.466501235961914,True,True,0.8,1.0,0.27668251662243765,0.9931363810052584
24,39779,0.03075036875447912,4.483655840992796,4.65864996379511,0.17499412280231397,86,235879,False,0.04930877685546875,True,True,0.8,0.7,0.24336468189253566,0.9950265311565974
25,1893,0.00889254678993242,0.35381567885274023,0.44738155812973446,0.09356587927699422,1893,1893,True,0.8653373718261719,True,True,0.8,0.9,0.3474361621599355,0.9900183382924598
26,2659,0.021499054247019738,1.636469057884515,1.4965065501154804,-0.13996250776903452,9618,9618,True,1.0161991119384766,True,True,1.0,1.0,0.30662130569187573,0.9919418290700989
27,242567,0.044419252899106185,7.582115787522309,7.424968806197581,-0.15714698132472726,217827,183603,False,0.13335037231445312,True,True,0.6,0.9,0.3035088744111009,0.9926553996268463
28,2659,0.04243206956384514,1.796807367058726,1.7298224839783192,-0.06698488308040673,2659,2659,True,0.7932815551757812,True,True,0.8,0.9,0.31246878449088733,0.9918586046687071
29,769,0.04111708270929396,1.8391203781132575,2.0635084505270775,0.22438807241382008,769,209477,False,0.2836284637451172,True,True,0.8,0.7,0.30609221658931307,0.9923174238805906
30,183560,0.003742971569571162,0.014672935372928464,0.02058224739554504,0.005909312022616575,183560,183560,True,4.921413421630859,True,True,1.0,0.9,0.4211180433208963,0.985665451544092
31,303,0.04256295253219024,1.8184545114487598,1.9713341535606652,0.1528796421119054,303,303,True,0.2656440734863281,True,True,0.8,0.8,0.2766203815854259,0.9933907102215214
32,16927,0.04279637897355503,3.307996563711349,3.332129405131587,0.024132841420238194,9528,9528,True,0.02662944793701172,True,True,0.8,0.9,0.33809086783320613,0.9904612284561368
33,19246,0.06453661036366608,5.392082781038825,5.712067307382419,0.3199845263435943,181115,181115,True,1.437006950378418,True,True,1.0,0.6,0.3381812496187984,0.9911955099824556
34,38698,0.11043971599116316,0.4738425888957245,0.7918600936378688,0.3180175047421443,38698,38698,True,1.8461952209472656,True,True,0.6,0.8,0.4885020059712453,0.9804579620965475
35,162785,0.0028192268063238447,0.04306842695495661,0.03678285881776233,-0.006285568137194275,162785,162785,True,3.6759185791015625,True,True,0.8,0.6,0.41726367431690736,0.9868189580654136
36,6993,0.04341173011387278,2.253838182988247,2.6986440425886826,0.44480585960043584,4297,4297,True,0.8805313110351562,True,True,1.0,0.9,0.36502371210123513,0.9892692495950928
37,1962,0.016712559620620418,2.500687565872788,2.824753112020705,0.32406554614791716,13,13,True,0.9328041076660156,True,True,1.0,0.9,0.31669696011649734,0.9916578226957607
38,9940,0.048155428075312215,5.820033436210149,5.935013022163265,0.1149795859531153,2392,5521,False,0.14792537689208984,True,True,0.8,0.8,0.2891074492775427,0.9931667614770724
39,25967,0.03445541467868688,0.07884711614421747,0.04159619870844722,-0.03725091743577025,25967,25967,True,4.430757522583008,True,True,0.8,0.8,0.432119442703891,0.985632853216947
40,15008,0.01330126670905814,3.769379647825131,3.8480315553992774,0.07865190757414631,2659,2659,True,1.3353271484375,True,True,1.0,0.8,0.2831713524088976,0.9932607772004088
41,5114,0.041620259646936685,7.364220134908198,6.7380147305170635,-0.6262054043911345,77608,77608,True,0.8630294799804688,True,True,0.8,0.7,0.3332676450468123,0.9916311443068588
42,14247,0.009775537001987406,0.007689031236182586,0.024792147098143147,0.01710311586196056,14247,14247,True,6.386589050292969,True,True,0.8,0.9,0.490867275405759,0.9818095390237326
43,33274,0.06531184381419827,5.46398688166914,4.81676599959183,-0.6472208820773098,92298,92298,True,0.8808050155639648,True,True,0.8,0.8,0.34953990945184593,0.9907514403177107
44,80546,0.037155021759108835,2.805049647292691,3.446026704867414,0.6409770575747231,45650,45650,True,0.8993263244628906,True,True,0.8,1.0,0.3242816418321965,0.991177316085701
45,13,0.01250325062461864,0.3532897173360823,0.38850314666313324,0.03521342932705096,13,13,True,1.8743133544921875,True,True,1.0,1.0,0.3626160471985482,0.9882840331252591
46,198,0.042703020466269836,0.5311092130098167,0.39996073346298644,-0.1311484795468303,198,198,True,2.2445573806762695,True,True,1.0,0.9,0.2618033672771855,0.9940449832035839
47,54,0.0294760219175477,4.125195375662759,3.956302919913316,-0.16889245574944312,17634,17634,True,0.8045282363891602,True,True,1.0,1.0,0.3023229005520019,0.9920958940337872
48,159426,0.04233848525465562,0.5239444108531188,0.39472675905695453,-0.1292176517961643,159426,159426,True,2.600902557373047,True,True,1.0,0.9,0.34882842968962247,0.9896130926866743
49,2607,0.06094206695077864,1.418196958548224,1.273642581279919,-0.1445543772683049,2659,2607,False,0.06147003173828125,True,True,1.0,1.0,0.32499910591540215,0.9909604925675792
50,178904,0.11240986108464704,5.4029032490039715,6.307651075304861,0.9047478263008895,221263,221263,True,1.7374029159545898,True,True,0.8,0.9,0.42793802073129655,0.9853208891111823
51,74636,0.09362748800699902,6.882902767887877,7.04633630733009,0.16343353944221306,190758,221263,False,0.048870086669921875,True,True,1.0,0.9,0.34207107042724194,0.9911438698934952
52,61181,0.0502957531418643,6.763838902594253,6.617890080024203,-0.14594882257005004,11,11,True,0.02155590057373047,True,True,0.6,0.9,0.35699652063303816,0.9890849336674379
53,176790,0.003138664321794817,0.00834906621648912,0.006000282735609375,-0.002348783480879746,176790,176790,True,5.677055358886719,True,True,0.8,0.9,0.3764934010459788,0.9883937961978125
54,74382,0.0814007487761944,7.581304026485263,8.28170227128883,0.7003982448035675,2659,2659,True,0.1385345458984375,True,True,0.8,1.0,0.28793500025323565,0.9929687399981575
55,2659,0.03908462017367516,2.494613569658874,2.518263214720271,0.023649645061396996,268,9528,False,0.1854572296142578,True,True,1.0,0.9,0.292711647795166,0.9925646370402086
56,93185,0.05846512453722978,8.953501581716727,8.936548622499869,-0.016952959216858687,55437,184515,False,0.8875446319580078,True,True,0.8,0.8,0.2989636355212336,0.9931159350313974
57,305,0.07201902189567197,2.8880935421501057,2.963174173732959,0.07508063158285339,171663,171663,True,0.9232444763183594,True,True,1.0,0.9,0.499082017842706,0.9795942249458129
58,5021,0.13002214426949066,0.31294576492658166,0.2800525858858087,-0.032893179040772935,5021,5021,True,1.4688949584960938,True,True,1.0,0.8,0.4276622595389869,0.9859357272110628
59,13,0.05364926887795121,1.7330574028953016,2.097895432481078,0.36483802958577627,13,2607,False,0.06183338165283203,True,True,1.0,0.9,0.36059086991170913,0.9885860571977887
60,17530,0.040799769502550653,3.1477126774999906,3.4447412741201333,0.2970285966201427,12376,198,False,0.19204998016357422,True,True,1.0,0.9,0.28633544684138135,0.9930032376294242
