position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,310,0.2524652518262045,0.7425557870381674,1.4541110184736965,0.7115552314355291,310,310,True,1.4897785186767578,True,True,0.8,0.8,0.6208911228713851,0.9718784085702519
1,2306,0.14573693547965075,7.120976712095494,8.048817065882435,0.9278403537869409,4300,4300,True,1.3344268798828125,True,True,0.8,0.9,0.6005604463431965,0.9774639072981991
2,1754,0.25254260146350604,2.6131306959576257,3.2504189451385237,0.637288249180898,836,836,True,0.9808158874511719,True,True,1.0,1.0,0.66296872160538,0.9713410210154103
3,9849,0.23128812778618116,4.856093106600348,6.516385070104988,1.6602919635046405,10014,10014,True,0.9473533630371094,True,True,0.8,0.9,0.6419783018761052,0.9735332711130799
4,440,0.1379171841547531,0.6219192311416712,0.9160545274401066,0.2941352962984354,440,440,True,2.1484947204589844,True,True,0.6,0.7,0.6635388999201963,0.96915079854701
5,279,0.23894778724583104,1.2953412216933131,2.124839956700768,0.829498735007455,836,264,False,0.23670387268066406,True,True,0.8,0.8,0.6978034670981159,0.9676148582444748
6,5819,0.3041580148642869,3.5758454304122367,4.84111264303268,1.2652672126204436,803,803,True,0.8067340850830078,True,True,0.4,0.5,0.6699806856456398,0.970093998634238
7,803,0.19678073855331166,1.2870396853397281,1.0610640465802916,-0.2259756387594365,803,803,True,0.5744895935058594,True,True,0.8,0.8,0.6349411213134657,0.9739334517220186
8,11,0.052267662231373656,0.8632424096311233,0.8160106652323478,-0.04723174439877553,321,11,False,0.039432525634765625,True,True,1.0,0.9,0.6212964354129152,0.9714428847729086
9,22700,0.2011209813682702,4.734393615994943,4.959150528499876,0.22475691250493313,9140,321,False,0.2000141143798828,True,True,0.8,0.9,0.6098651800644537,0.9772617793609297
10,1007,0.14303931556550242,4.4973031943461805,5.049152132490072,0.5518489381438911,2321,2321,True,2.6380538940429688,True,True,0.8,0.7,0.7192109009941936,0.9690087636755785
11,11,0.002137105280276486,0.032612905008399196,0.026757552883989177,-0.005855352124410018,11,11,True,4.01690673828125,True,True,1.0,0.8,0.6010714982314428,0.9752325796276416
12,321,0.05471472061375307,0.23816375149396762,0.15266464198103336,-0.08549910951293427,321,321,True,3.2636642456054688,True,True,0.6,0.9,0.5591415543779954,0.9805256603381298
13,7578,0.1687844515014043,6.614847947200591,5.667778079275376,-0.9470698679252152,264,264,True,0.6430263519287109,True,True,0.8,0.7,0.5861397246408064,0.9789715581244388
14,4530,0.2435804664004784,1.193742393357823,1.1757197885394284,-0.018022604818394683,4530,4530,True,1.0110549926757812,True,True,0.6,0.6,0.6297713693829673,0.9770119228331897
15,13,0.13925252836547447,0.7841005409712665,0.42439032887179096,-0.3597102120994755,13,13,True,0.5261726379394531,True,True,1.0,0.9,0.6841866071252661,0.9664815795650361
