position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,2077,0.2868531759040694,0.2829552648567315,0.8695978954926247,0.5866426306358932,2077,2077,True,2.5703067779541016,True,True,1.0,0.8,0.5296070169558659,0.9795100737079964
1,1317,0.019927906454902524,0.3573617153187527,0.34861376493935836,-0.008747950379394354,1317,1317,True,2.1141176223754883,True,True,0.8,0.9,0.42288666539621855,0.9861513946990541
2,462,0.007102489669090082,0.12714241643049107,0.15887669975996843,0.031734283329477364,462,462,True,2.8131637573242188,True,True,1.0,0.8,0.34505024442378496,0.9904819604782218
3,10844,0.009328082060086928,0.09480766619241976,0.06201238642054463,-0.03279527977187513,10844,10844,True,2.512561798095703,True,True,0.8,1.0,0.389568431185996,0.9881989539480903
4,847,0.04321672784417275,0.34113772252712593,0.5115255738241729,0.17038785129704692,847,847,True,2.2997264862060547,True,True,1.0,1.0,0.3747313690863301,0.9871015843465307
5,1116,0.022158109747938592,3.1189060106557562,2.984366024444217,-0.1345399862115393,641,641,True,0.03664970397949219,True,True,1.0,0.9,0.3002594916809557,0.9935911798088951
6,6047,0.03064564921850202,8.317942190788536,8.0938227262756,-0.22411946451293474,279,279,True,0.15497398376464844,True,True,1.0,0.8,0.312625772648331,0.9926559907783167
7,685,0.011730329730935695,0.14997904068073709,0.20145803131117646,0.05147899063043937,685,685,True,2.949888229370117,True,True,1.0,1.0,0.2880231184988479,0.9932755460315863
8,264,0.016511365605188802,1.289545340033449,1.2402259948502348,-0.049319345183214125,279,279,True,0.3131237030029297,True,True,1.0,0.8,0.2842031802201633,0.9941882997931808
9,4706,0.039735847520609,3.101604957077015,3.088674885700051,-0.012930071376963781,491,491,True,0.8380928039550781,True,True,1.0,0.8,0.28004315494300486,0.9946969171703911
10,3013,0.02091596553456868,1.8853759254912497,2.0626076566542544,0.17723173116300472,3990,3990,True,0.3470935821533203,True,True,1.0,1.0,0.2785575772797611,0.9949485814620621
11,303,0.028257576168539227,1.3191038977675014,1.063004137873314,-0.25609975989418743,364,303,False,0.16132545471191406,True,True,1.0,0.9,0.27600810136785925,0.993937480602218
12,8105,0.04019323417347654,8.126801597863412,9.011962552704867,0.8851609548414547,279,279,True,0.057013511657714844,True,True,1.0,1.0,0.2662413823064288,0.9943855107791693
13,21758,0.1985687698460123,2.0004075728141686,2.8542620132910805,0.853854440476912,21758,78,False,0.2479696273803711,True,True,0.8,0.7,0.3997963666625801,0.9874979383293226
14,394,0.062181967916975105,0.1549097757023894,0.25137666769605005,0.09646689199366065,394,394,True,2.256570816040039,True,True,0.8,0.9,0.5806283423958125,0.9734168578437556
15,6547,0.08744292886723218,2.540299285023538,2.523444513604632,-0.01685477141890601,565,565,True,1.0068998336791992,True,True,0.8,0.9,0.39485194565825565,0.9891488888434635
16,641,0.03159437606214282,1.0677056274311916,1.060893707867688,-0.006811919563503466,641,641,True,0.9630393981933594,True,True,0.8,0.9,0.3225969175236198,0.9914736086920054
17,733,0.031731253624232895,3.3867268511876176,3.44756495832333,0.06083810713571225,695,695,True,1.0619068145751953,True,True,0.8,1.0,0.2928761618461359,0.9923947478247466
18,220,0.009664943136696462,1.005557024950793,0.9615311993612181,-0.04402582558957491,220,220,True,0.8587436676025391,True,True,0.8,0.9,0.2577790090500911,0.9946963728637512
