position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,1066,0.028618667873978813,8.89870178166763,8.88170210148052,-0.016999680187108623,220,220,True,0.4125070571899414,True,True,1.0,0.7,0.2933051097672482,0.9938301660881736
1,799,0.006393230386304771,2.4175359894045627,2.3697853001425457,-0.047750689262016976,220,220,True,0.8828506469726562,True,True,1.0,1.0,0.2746094057436309,0.9934242763419984
2,2400,0.021910987948756837,4.910687712357266,4.752147039895739,-0.1585406724615268,3098,3098,True,0.6690559387207031,True,True,1.0,0.9,0.3052219998066684,0.9936489770039221
3,3098,0.012341854298179522,0.3735328284348185,0.4071192216866528,0.03358639325183432,3098,3098,True,1.4126338958740234,True,True,1.0,0.8,0.3564984108621209,0.991388429740007
4,1116,0.040806990810389084,1.561430536078234,1.5649095460865041,0.0034790100082702224,1116,1116,True,0.5253200531005859,True,True,1.0,1.0,0.34855411696614974,0.9904661466705267
5,321,0.032989100579046374,1.2698316744579046,1.279713227637238,0.00988155317933348,321,321,True,1.2219676971435547,True,True,0.6,0.6,0.32353784829723,0.992538327858241
6,8379,0.03167189888782666,5.758157320580537,6.040112403700139,0.2819550831196018,557,557,True,0.6462249755859375,True,True,1.0,1.0,0.27472202472516666,0.9943779496322681
7,279,0.0514854711309039,1.1487472633123375,1.004871597724346,-0.14387566558799136,279,279,True,0.5119266510009766,True,True,0.8,0.9,0.3077619671879601,0.993502517345762
8,53378,0.054265338620594315,3.195827429162158,3.5172437525686995,0.3214163234065417,220,220,True,0.15657520294189453,True,True,0.8,0.9,0.37889545184872164,0.9900198190249427
9,506,0.015178927422013834,3.376659336834418,3.493669159897461,0.11700982306304297,303,303,True,1.0145912170410156,True,True,1.0,0.9,0.29772032156383826,0.9930825785231167
10,220,0.014201005130427808,1.6402636868718048,1.7985588128214829,0.1582951259496781,279,279,True,0.17728805541992188,True,True,1.0,1.0,0.3212780065137588,0.9927835687659026
11,17,0.021672199175156538,0.6714736128770262,0.5738516476816606,-0.09762196519536559,17,17,True,0.18143844604492188,True,True,1.0,1.0,0.3060336940450684,0.9881937715820448
12,15,0.02285787298447959,1.660154024258194,1.6910518280803544,0.03089780382216034,16,15,False,0.12804794311523438,True,True,1.0,1.0,0.3439594276702822,0.9880002704050852
13,1578,0.028627986311775648,1.5420710242623699,1.413201372725073,-0.1288696515372969,1578,1578,True,0.1451568603515625,True,True,1.0,1.0,0.4034700921528217,0.9886600774748062
14,2235,0.04384005549969819,0.907930368232087,0.7581408584892415,-0.14978950974284544,2235,2235,True,0.24753379821777344,True,True,1.0,1.0,0.32274119205326424,0.9913952105136545
15,641,0.025285868978838805,0.5967421708607716,0.7146315714478355,0.11788940058706388,641,641,True,1.5552692413330078,True,True,1.0,0.9,0.3010759000846408,0.9917564724830619
16,3095,0.0440795048121866,4.889642350039232,5.056031411924245,0.16638906188501323,695,695,True,0.03443145751953125,True,True,1.0,0.9,0.3315176123814829,0.990401730615009
17,551,0.03081322518702953,0.5206372412877975,0.6569178950362158,0.13628065374841825,551,551,True,2.1179990768432617,True,True,1.0,0.9,0.2891875107876481,0.9937339824280264
18,55174,0.017201498770683166,4.084546100754885,4.172865466402797,0.0883193656479122,557,557,True,1.3579692840576172,True,True,1.0,0.9,0.26711422294703496,0.9950105858881679
19,303,0.05353359058810885,1.0600026212831786,1.38045938002033,0.3204567587371514,303,1116,False,0.6053524017333984,True,True,1.0,0.8,0.32763901036186377,0.9916892802374887
20,220,0.019752457271198547,0.7654467362391628,0.6761811017602959,-0.08926563447886693,220,220,True,0.24781227111816406,True,True,0.8,0.9,0.33778014553416114,0.9917074747403242
21,17,0.001604321236696914,0.027225962994670283,0.01936578813151968,-0.007860174863150604,17,17,True,3.705038070678711,True,True,0.8,1.0,0.28915159033488824,0.9888506309759617
22,15,7.187090922973432e-05,0.002380926781391679,0.002298228348713849,-8.269843267783017e-05,15,15,True,7.334068298339844,True,True,1.0,0.9,0.331695651395607,0.9878542797333623
23,15,0.003365132179441,0.03974958578534782,0.05807519341017198,0.01832560762482416,15,15,True,3.271383285522461,True,True,1.0,1.0,0.3067775077321422,0.9895979366872794
