"name","run","warmup","profile","peak_working_set_bytes","operation_instrumentation","prefill_only","cpu_batch","cpu_batch_serial","prompt_tokens","generated_tokens","decode_forwards","load_time_ms","prefill_time_ms","prefill_forward_time_ms","prefill_forward_tokens_per_second","prefill_tokens_per_second","new_prefill_tokens","cached_prefix_tokens","prefix_build_time_ms","prefix_cache_restore_time_ms","prefix_cache_bytes","decode_time_ms","tokens_per_second","per_request_tokens_per_second","tick_p50_ms","tick_p95_ms","tick_p99_ms","peak_rss_bytes","physical_kv_bytes","batch_ticks","batch_rows","projection_batches","lm_head_batches","greedy_lm_head_batches","state_batches"
"calibrated-g32-b1-t8-p512-n128","0","True","case-0-run-0.json",,"False","False","1","False","512","128","127","567.1621","247.1475","242.2645","2113.39259363","2071.63738253","512","0","0","0","0","1016.9176","124.887208167","124.887208167","7.9933","8.0478","8.2802","492773376","7852032","0","0","0","0","0","0"
"q4km-current-b1-t8-p512-n128","0","True","case-1-run-0.json",,"False","False","1","False","512","128","127","359.678","1170.7038","1165.3784","439.342277152","437.343758515","512","0","0","0","0","1338.2429","94.9005595322","94.9005595322","10.2858","11.794","13.0409","589766656","7852032","0","0","0","0","0","0"
"q4km-original-b1-t8-p512-n128","0","True","case-2-run-0.json",,"False","False","1","False","512","128","127","354.5117","1337.2905","1332.1077","384.353307169","382.863708372","512","0","0","0","0","1361.8583","93.2549296795","93.2549296795","10.6891","10.8957","11.0191","589729792","7852032","0","0","0","0","0","0"
"calibrated-g32-b2-t8-p512-n128","0","True","case-3-run-0.json",,"False","False","2","False","1024","256","254","578.0324","487.3656","478.3348","2140.75998652","2101.09207544","1024","0","0","0","0","1528.4361","166.182936925","83.0914684624","11.9735","12.4619","12.5793","524926976","15704064","127","254","12319","127","0","0"
"q4km-current-b2-t8-p512-n128","0","True","case-4-run-0.json",,"False","False","2","False","1024","256","254","350.2558","2314.7933","2305.6276","444.130700032","442.372111583","1024","0","0","0","0","1528.6851","166.155868203","83.0779341017","12.0023","12.3314","12.5477","621924352","15704064","127","254","12319","127","0","0"
"q4km-original-b2-t8-p512-n128","0","True","case-5-run-0.json",,"False","False","2","False","1024","256","254","353.7216","2768.9387","2757.8785","371.299895916","369.816782148","1024","0","0","0","0","1637.4812","155.116284694","77.5581423469","12.7974","13.6035","13.8989","621961216","15704064","127","254","12319","127","0","0"
"calibrated-g32-b4-t8-p512-n128","0","True","case-6-run-0.json",,"False","False","4","False","2048","512","508","579.3567","952.2609","934.4767","2191.60092488","2150.67110285","2048","0","0","0","0","1568.0081","323.977918226","80.9944795566","12.3187","12.5715","12.692","587661312","31408128","127","508","12319","127","0","0"
"q4km-current-b4-t8-p512-n128","0","True","case-7-run-0.json",,"False","False","4","False","2048","512","508","356.2978","4615.6607","4599.3954","445.275916048","443.706791533","2048","0","0","0","0","2215.3154","229.312719986","57.3281799964","17.3873","17.8465","17.9238","684666880","31408128","127","508","12319","127","0","0"
"q4km-original-b4-t8-p512-n128","0","True","case-8-run-0.json",,"False","False","4","False","2048","512","508","356.4404","5396.3435","5380.4603","380.636578621","379.516240951","2048","0","0","0","0","2411.81","210.630190604","52.6575476509","18.949","19.3144","20.105","684720128","31408128","127","508","12319","127","0","0"
"calibrated-g32-b8-t8-p512-n128","0","True","case-9-run-0.json",,"False","False","8","False","4096","1024","1016","571.4863","1925.4044","1893.2645","2163.45893561","2127.34529951","4096","0","0","0","0","2449.3836","414.798237401","51.8497796752","19.2889","19.6652","19.7344","714563584","62816256","127","1016","12319","127","0","3048"
"q4km-current-b8-t8-p512-n128","0","True","case-10-run-0.json",,"False","False","8","False","4096","1024","1016","351.6606","9313.5081","9281.9877","441.284790757","439.791317731","4096","0","0","0","0","4229.947","240.192134795","30.0240168494","33.3167","33.5477","33.7632","811540480","62816256","127","1016","12319","127","0","3048"
"q4km-original-b8-t8-p512-n128","0","True","case-11-run-0.json",,"False","False","8","False","4096","1024","1016","353.2","10821.5721","10790.1444","379.605670523","378.503230598","4096","0","0","0","0","4616.7326","220.06905923","27.5086324038","36.3218","36.7601","37.0615","811442176","62816256","127","1016","12319","127","0","3048"
"calibrated-g32-b16-t8-p512-n128","0","True","case-12-run-0.json",,"False","False","16","False","8192","2048","2032","574.366","3890.4595","3829.1223","2139.39366732","2105.66386824","8192","0","0","0","0","3190.1822","636.954215342","39.8096384589","25.1929","25.5072","25.8032","966455296","125632512","127","2032","12319","127","0","3048"
