model,batch,threads,prompt_tokens,output_tokens,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
bc256,1,8,512,128,2147.2249843,2141.19956524,2151.91240708,120.050368219,116.801199576,120.196493821
Q4_0-pure,1,8,512,128,1073.72213958,1064.63454548,1078.31471205,101.151969604,100.114990344,101.443071626
Q4_0,1,8,512,128,892.206938338,888.449445752,897.682279033,88.1648663563,88.0565320162,88.3785664579
Q4_K_M,1,8,512,128,673.796096141,672.901077627,677.023808627,84.2909370053,84.2027878946,84.4162318455
IQ4_XS,1,8,512,128,853.144788335,839.354031826,853.901747263,88.7600617742,88.1838317652,88.9268123232
bc256,1,8,4096,2,1877.68418645,1863.09728279,1877.85093165,83.3944892921,81.0405608007,84.7515085769
Q4_0-pure,1,8,4096,2,969.99621261,966.055986105,986.212859792,72.4385720909,71.7627809513,72.697664951
Q4_0,1,8,4096,2,860.684023164,853.269302583,862.541957054,66.2563191964,65.9700232214,66.5827723735
Q4_K_M,1,8,4096,2,661.629046368,656.805465943,666.89157976,64.6241138418,64.081614344,65.0266934577
IQ4_XS,1,8,4096,2,827.820308102,826.022316558,828.15182433,66.4818471316,65.9787284579,66.5530827388
bc256,16,8,512,128,2133.71723574,2133.66594074,2152.34000898,619.162519314,618.376136354,622.679450349
Q4_0-pure,16,8,512,128,1060.59973238,1055.22503202,1061.67565752,326.134220025,318.152864592,329.893741908
Q4_0,16,8,512,128,916.356608631,914.71725461,932.356478988,290.067181815,277.035173392,296.560913561
Q4_K_M,16,8,512,128,705.109703304,696.145842758,708.869716755,259.644297024,253.683042065,260.367592143
IQ4_XS,16,8,512,128,884.348790358,881.634195078,896.783669823,259.744516214,255.269750027,261.319544098
