model,batch,threads,prompt_tokens,output_tokens,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
calibrated,1,8,512,128,2169.79676802,2119.66765929,2173.25420198,119.943824735,119.263686658,120.122778722
Q4_0-pure,1,8,512,128,1071.23839971,1066.44982187,1072.23761121,100.606458903,100.350158842,100.657978219
Q4_0,1,8,512,128,894.280656011,884.473890054,897.842529994,88.8354850057,88.7585233517,88.9374302069
Q4_K_M,1,8,512,128,679.796114275,676.829955859,680.624068462,83.9126555151,82.7069152815,83.914640442
IQ4_XS,1,8,512,128,842.566318773,836.710407664,849.008061763,80.2112068446,79.512367554,86.1002472636
calibrated,1,8,4096,2,1887.37643294,1879.53536564,1892.11865598,81.8303819842,80.3361263527,82.7855688196
Q4_0-pure,1,8,4096,2,983.860484548,978.471734649,987.093035591,67.7938524535,66.4103228206,72.1985170425
Q4_0,1,8,4096,2,860.691492489,859.982719722,861.059096382,67.0735797169,66.3301516971,67.4468013354
Q4_K_M,1,8,4096,2,663.525923299,660.180128278,665.820682104,64.4504311734,63.641570674,64.6608859835
IQ4_XS,1,8,4096,2,823.989123665,821.778758179,824.436125744,66.9608479922,66.9138016407,67.8062639427
calibrated,16,8,512,128,2161.42983861,2154.45087934,2164.2723963,613.335217609,612.202903083,617.068416064
Q4_0-pure,16,8,512,128,1085.5271928,1076.52862202,1087.31094981,351.30070469,306.526143738,354.955813766
Q4_0,16,8,512,128,934.310821054,931.144162485,936.182842909,294.858852939,291.562847025,296.189390843
Q4_K_M,16,8,512,128,708.639950733,707.606181676,711.49916844,264.857619608,264.765607907,265.372547142
IQ4_XS,16,8,512,128,899.563444891,898.316129881,900.670560887,268.084488832,267.511124158,268.51057672
