model,batch,threads,prompt_tokens,output_tokens,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
bc256,1,6,512,128,404.174761529,400.78702109,407.516367185,62.27640579,61.8948655957,62.3971731435
Q4_0-pure,1,6,512,128,230.633698994,229.514636697,231.211364005,47.4171510614,46.64908142,47.5491845667
Q4_0,1,6,512,128,213.160654285,213.10633912,214.399974367,42.336257174,42.0296570129,42.3689928714
Q4_K_M,1,6,512,128,184.737581554,184.192923026,186.080823863,39.8938472472,39.8101571968,39.9438559603
IQ4_XS,1,6,512,128,230.810831821,229.192540971,231.026776615,40.8169578521,40.5973740174,40.9344881702
bc256,1,6,4096,2,319.008559081,317.686005244,319.09315903,45.1123030183,44.6395470407,45.3745912997
Q4_0-pure,1,6,4096,2,185.923725939,185.780823473,186.142211519,31.4059442533,31.0942556752,32.7402373851
Q4_0,1,6,4096,2,172.860859303,171.915813861,173.838420731,29.5842924684,29.3529181482,29.6576765648
Q4_K_M,1,6,4096,2,152.72952612,152.524923499,152.836544309,27.9862982442,27.6317921121,28.7552584741
IQ4_XS,1,6,4096,2,184.952154652,184.344483968,185.176334313,29.162190392,28.92694904,29.2548280413
bc256,16,6,512,128,376.117537333,376.035438419,377.235845039,179.360614202,179.2419347,179.398922957
Q4_0-pure,16,6,512,128,216.052975443,214.920375583,216.060440801,91.0637440272,90.9420422845,91.1622575934
Q4_0,16,6,512,128,199.31570277,199.09227555,199.736201279,79.657743983,79.6209762263,79.728894203
Q4_K_M,16,6,512,128,172.200922532,171.618207123,172.349741079,74.7280608721,74.5781753928,74.770849331
IQ4_XS,16,6,512,128,215.516612937,215.145002785,215.727404309,76.7806976064,76.7703752731,76.8303254265
