model,batch,threads,prompt_tokens,output_tokens,prefill_median,prefill_min,prefill_max,decode_median,decode_min,decode_max
bc256,1,8,512,128,2167.74330475,2167.58551972,2169.3809973,122.708240749,122.501826403,122.841424088
Q4_0-pure,1,8,512,128,1199.4715831,1102.18729758,1349.44561203,108.589814002,108.18963912,109.275281882
Q4_0,1,8,512,128,966.450525103,891.684519558,972.522314634,94.0154694963,90.9437170295,94.316094202
Q4_K_M,1,8,512,128,702.524469679,691.713255074,704.774665142,87.2950633512,86.79128142,88.3372883549
IQ4_XS,1,8,512,128,1010.86924121,892.92174359,1081.30224118,94.2108317736,94.0701842371,94.336797513
bc256,1,8,4096,2,1906.66673079,1904.60206663,1911.41567392,77.6249738792,77.2632491792,79.4728660165
Q4_0-pure,1,8,4096,2,1007.51895779,940.922646543,1075.11474898,75.3211240804,74.8804813916,77.0267193365
Q4_0,1,8,4096,2,878.776823999,836.842815309,945.150190379,71.682332004,71.6318677859,71.9964433757
Q4_K_M,1,8,4096,2,698.65830517,694.221361874,747.868999141,68.1427522517,67.9368687136,68.493408708
IQ4_XS,1,8,4096,2,873.309563291,786.753689208,989.902510558,72.1963590799,69.3030709923,72.2049239281
bc256,16,8,512,128,2178.9389187,2171.44350995,2180.36228574,613.654665828,611.259438137,614.344991282
Q4_0-pure,16,8,512,128,1064.87704207,956.322040384,1226.82338192,469.835536024,464.907442749,470.217043586
Q4_0,16,8,512,128,1055.63086763,983.6290272,1058.01803955,383.056800146,382.377937014,384.498994124
Q4_K_M,16,8,512,128,645.644905591,639.705984782,706.305579802,333.665730028,330.69437341,334.167802413
IQ4_XS,16,8,512,128,992.578790807,926.964023248,1001.789263,339.486081903,333.097932871,340.522000503
